appName,userName,reviews,rating,at,category
BRImo,Triono Ono,Bagus,5,2024-10-19 00:39:11,Finance
BRImo,Baso Sujew,Rudet pake primo itu suka elor tiba2,2,2024-10-19 00:36:04,Finance
BRImo,Gesexx Gesexx,Okebaik,4,2024-10-19 00:17:52,Finance
BRImo,Muhamad Turmuji,Semoga ada fitur cek saldo tanpa login ke aplikasi,5,2024-10-19 00:15:45,Finance
BRImo,Indraaa lesmanaaa,Keren,5,2024-10-19 00:14:05,Finance
BRImo,Yohanes Mahak,Bagus,5,2024-10-19 00:13:45,Finance
BRImo,Kiad Syamsu,"Saldo saya tiba-tiba hilang, aplikasi paling sampah",3,2024-10-19 00:12:57,Finance
BRImo,yamaha izy,Kenapa briguna saya tidak bisa di proses padahal saya punya gaji tetap,5,2024-10-19 00:12:43,Finance
BRImo,Syujar Azril,bagus,5,2024-10-19 00:12:15,Finance
BRImo,Aditia Mares,Bgus 👍,5,2024-10-19 00:11:34,Finance
BRImo,barnabas suarliak,Sangat Membantu...Terima kasih Brimo🙏😇,5,2024-10-19 00:09:02,Finance
BRImo,Gery T M Siregar,ok,5,2024-10-19 00:06:07,Finance
BRImo,Abroa Game,"Terlalu sering update minnn, pas udah diupdate malah eror",1,2024-10-19 00:06:02,Finance
BRImo,Fitri Ani,Sangat sangat mudah untuk bertransaksi apapun,5,2024-10-18 23:58:41,Finance
BRImo,hasan bhasri,sangat bagus,5,2024-10-18 23:52:30,Finance
BRImo,Victor Alberth,"bikin akun m-banking error mulu, pdhl udh pake wifi bagus ama jaringan yg lain juga udh diganti ganti, tetep aja ga connect. sampah.",1,2024-10-18 23:49:02,Finance
BRImo,Oerang Djowo,Perlu di berikan bonus bonus atau undian berhadiah deh bagi nasabah,5,2024-10-18 23:47:37,Finance
BRImo,Dela Nur laila,Sangat membantu,5,2024-10-18 23:40:41,Finance
BRImo,Eka Putra,saya suka lebiih enteng pakainya,5,2024-10-18 23:38:03,Finance
BRImo,Koboy Ganteng,Tolong lah. Kenapa saya gabisa login. Dengan catatan username atau password salah. Mohon penjelasannya dari pihak brimo. Bagai mana cara mengatasinya,1,2024-10-18 23:36:20,Finance
