appName,userName,reviews,rating,at,category
"CamScanner - PDF scanner, QR",Gloriosanto Ndaumanu,Good,4,2024-10-19 00:12:59,Productivity
"CamScanner - PDF scanner, QR",Ra Darul Mustaqim,Aplikasi sangat membantu. Tapi iklan nya sangat mengganggu kebanyakan iklan.,1,2024-10-18 23:26:12,Productivity
"CamScanner - PDF scanner, QR",Ali Wafa,Hebat,5,2024-10-18 20:10:23,Productivity
"CamScanner - PDF scanner, QR",Ibrahim Algazali,rekomendasi,5,2024-10-18 20:04:58,Productivity
"CamScanner - PDF scanner, QR",Ananda Sukrisna,Gagal mengupdate aplikasi,1,2024-10-18 19:52:27,Productivity
"CamScanner - PDF scanner, QR",Abdul Halim,Good,5,2024-10-18 17:12:17,Productivity
"CamScanner - PDF scanner, QR",guru sman3krw,Sangat Bermanfaat dan membantu sekali,5,2024-10-18 16:56:11,Productivity
"CamScanner - PDF scanner, QR",Yuriz Sheza,Mantap,5,2024-10-18 15:27:47,Productivity
"CamScanner - PDF scanner, QR",Rendi Al Fajri,ft nya kalo abis scan gabisa di potong,1,2024-10-18 15:24:20,Productivity
"CamScanner - PDF scanner, QR",loka jaya mbeling,Aplikasi mempermudah kegiatan cuman masih ada iklannya padahal sya sudah berlangganan,5,2024-10-18 14:38:50,Productivity
"CamScanner - PDF scanner, QR",Oddy Dianta,Bagus,5,2024-10-18 14:21:49,Productivity
"CamScanner - PDF scanner, QR",Jaya Kusuma Mandiri,Good app,5,2024-10-18 14:05:37,Productivity
"CamScanner - PDF scanner, QR",RIZALDI JULYAN,Kok jadi ribet gini sih,1,2024-10-18 13:25:35,Productivity
"CamScanner - PDF scanner, QR",a_h braderdisini,Ok..bagus,5,2024-10-18 12:49:58,Productivity
"CamScanner - PDF scanner, QR",Amahappy Speri,Good,5,2024-10-18 09:44:42,Productivity
"CamScanner - PDF scanner, QR",A Arief,"Scan banyak halaman sekaligus mudah, gambar tidak presisipun bisa jadi rapi.",5,2024-10-18 09:40:19,Productivity
"CamScanner - PDF scanner, QR",arwin bakri,mantap,5,2024-10-18 08:44:45,Productivity
"CamScanner - PDF scanner, QR",Ade Arista,Best,5,2024-10-18 06:58:30,Productivity
"CamScanner - PDF scanner, QR",Gendon Marendon,Mantapppp hasilnya bagus sesuai ekspektasi,5,2024-10-18 06:26:37,Productivity
"CamScanner - PDF scanner, QR",M Ihsan,Apk ini bagus lah,5,2024-10-17 21:47:29,Productivity
"CamScanner - PDF scanner, QR",Azizah Nur,Sangat terbantu. Tapi CamScanner yang sekarang terlalu banyak iklannya.,4,2024-10-17 19:09:33,Productivity
"CamScanner - PDF scanner, QR",Iqbar Alaudin,Sangat membantu thankyou,5,2024-10-17 18:53:29,Productivity
"CamScanner - PDF scanner, QR",Riandi Saniyah,👌,5,2024-10-17 18:25:47,Productivity
"CamScanner - PDF scanner, QR",Hanan Aulia1618,Sangat membantu,5,2024-10-17 13:41:45,Productivity
"CamScanner - PDF scanner, QR",richie pravita hari,Good,5,2024-10-17 12:56:11,Productivity
"CamScanner - PDF scanner, QR",M sofyan Nur,mantap mas,5,2024-10-17 12:16:26,Productivity
"CamScanner - PDF scanner, QR",Mardi Sura,Membantu yg terbaik,5,2024-10-17 11:25:52,Productivity
"CamScanner - PDF scanner, QR",Muhamad Akmal,Ok,5,2024-10-17 10:51:48,Productivity
"CamScanner - PDF scanner, QR",Abtar Abtari Atay,Bagus,5,2024-10-17 09:58:46,Productivity
"CamScanner - PDF scanner, QR",Andry Dronk,Nice,5,2024-10-17 09:16:39,Productivity
"CamScanner - PDF scanner, QR",RJ. Isa Anshary,Kembangkan lebih baik lagi,5,2024-10-17 08:18:40,Productivity
"CamScanner - PDF scanner, QR",Ferin Tika,Oke sangat membantu,5,2024-10-17 06:52:32,Productivity
"CamScanner - PDF scanner, QR",Eky Jehatu,Sangat membantu dan praktis,5,2024-10-17 06:22:40,Productivity
"CamScanner - PDF scanner, QR",Guruh Susanto,Sangat membantu,5,2024-10-17 06:04:41,Productivity
"CamScanner - PDF scanner, QR",france sukan,Like,4,2024-10-17 01:10:05,Productivity
"CamScanner - PDF scanner, QR",Inu Skarman zebua,Bgus,5,2024-10-17 00:18:46,Productivity
"CamScanner - PDF scanner, QR",SIRAT ADI PURNOMO_ TEMPUREJO JEMBER,Mantap,5,2024-10-16 21:40:24,Productivity
"CamScanner - PDF scanner, QR",Mohamad Sandi,terbaik dan termudah,5,2024-10-16 20:34:10,Productivity
"CamScanner - PDF scanner, QR",Dol Ansari,Good app,5,2024-10-16 19:06:59,Productivity
"CamScanner - PDF scanner, QR",Qonita Wardati,"Iklannya banyak banget, mana durasinya lumayan lama semua di pencet x malah ke page lain",1,2024-10-16 17:48:11,Productivity
"CamScanner - PDF scanner, QR",hary sumardi,Mantap,5,2024-10-16 17:37:34,Productivity
"CamScanner - PDF scanner, QR",Hendra Wijaya,amazing,5,2024-10-16 17:36:51,Productivity
"CamScanner - PDF scanner, QR",Husni Nurul Padilah,Aplikasi sangat membantu.. bagus layak bintang 🌟🌟🌟🌟🌟,5,2024-10-16 16:32:27,Productivity
"CamScanner - PDF scanner, QR",Ihsan Naufal,memudahkan kerja,5,2024-10-16 16:10:39,Productivity
"CamScanner - PDF scanner, QR",Muhammadsakman Unjung,Good,5,2024-10-16 14:51:16,Productivity
"CamScanner - PDF scanner, QR",Roni Sijabat,Sangat membantu sekali,5,2024-10-16 14:26:00,Productivity
"CamScanner - PDF scanner, QR",Anik Sajekti,Mantap Betul,5,2024-10-16 13:54:59,Productivity
"CamScanner - PDF scanner, QR",Laila Lela,Mantap,5,2024-10-16 13:49:26,Productivity
"CamScanner - PDF scanner, QR",albinus bassi,Gooood bro,5,2024-10-16 12:33:14,Productivity
"CamScanner - PDF scanner, QR",M.idrus Fitriyanto,"Iklannya sangat mengganggu bos, kalau mau kasih iklan, iklan baris aja jgn sampai yg menutupi layar penuh dan secara bergantian,...sangat tidak menyangka makin kesal setiap pakai camscanner ini, bahkan hanya untuk baca saja.",2,2024-10-16 11:42:44,Productivity
"CamScanner - PDF scanner, QR",Widodo Lestari,Bagus,5,2024-10-16 11:27:55,Productivity
"CamScanner - PDF scanner, QR",15 HANIF TAUFIQURRAHMAN,MASYA ALLAH,5,2024-10-16 11:02:03,Productivity
"CamScanner - PDF scanner, QR",jaenal ali anggara,gk ngebaca spreedshet payah,1,2024-10-16 10:21:20,Productivity
"CamScanner - PDF scanner, QR",asep tanumiharja,Good apps Sangat membantu,5,2024-10-16 10:18:15,Productivity
"CamScanner - PDF scanner, QR",Dasrit Kamudi,Good,5,2024-10-16 09:10:02,Productivity
"CamScanner - PDF scanner, QR",Bagas Winardi,Bagus,5,2024-10-16 08:58:11,Productivity
"CamScanner - PDF scanner, QR",Isbandi Almaghvira,Mantab,5,2024-10-16 08:39:17,Productivity
"CamScanner - PDF scanner, QR",Agus Agus,Sangat membantu semua tugas saya terimakasih CamScanner,5,2024-10-15 23:30:38,Productivity
"CamScanner - PDF scanner, QR",TUAHNO PROWANTO,Mantap,5,2024-10-15 23:18:05,Productivity
"CamScanner - PDF scanner, QR",Winda Maryanti,Terbaik,5,2024-10-15 22:19:12,Productivity
"CamScanner - PDF scanner, QR",Heri Kurniawan,Sangat membantu,5,2024-10-15 21:57:36,Productivity
"CamScanner - PDF scanner, QR",Dini Hidayati,Alhamdulillah sangat membantu adanya aplikasi CamScanner🙏🏻🙏🏻🙏🏻,5,2024-10-15 21:16:37,Productivity
"CamScanner - PDF scanner, QR",FITROUS SHOLIKHAH,Sangat membantu,5,2024-10-15 20:33:41,Productivity
"CamScanner - PDF scanner, QR",Sri Wahyu,Bagus,5,2024-10-15 16:01:00,Productivity
"CamScanner - PDF scanner, QR",Johan Tuiyo,Ok,4,2024-10-15 15:34:39,Productivity
"CamScanner - PDF scanner, QR",cipto aji,Jos mantap,5,2024-10-15 15:10:31,Productivity
"CamScanner - PDF scanner, QR",Zezen Jaeni,Sangat membantu,4,2024-10-15 14:29:19,Productivity
"CamScanner - PDF scanner, QR",victoriQ adhil,Ok,5,2024-10-15 13:48:24,Productivity
"CamScanner - PDF scanner, QR",surya andri,Berguna banget,5,2024-10-15 12:47:34,Productivity
"CamScanner - PDF scanner, QR",fajar Saputra,Top,5,2024-10-15 12:22:06,Productivity
"CamScanner - PDF scanner, QR",Risna Wati,Mantap,5,2024-10-15 12:06:25,Productivity
"CamScanner - PDF scanner, QR",Yoku Erwin,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5,2024-10-15 10:46:17,Productivity
