appName,userName,reviews,rating,at,category
Canva: Editor Video & Foto AI,Mia vintrama,lumayan bagus desain nya dan sangat membantu sayang nya banyak iklan dan prabayar,4,2024-10-18 22:45:01,Art & Design
Canva: Editor Video & Foto AI,Yayu Jufri,bagus,5,2024-10-18 22:44:52,Art & Design
Canva: Editor Video & Foto AI,Inara Lubis,Aplikasi ini sangat lah berguna bagi siswa siswi dan para guru,5,2024-10-18 22:38:19,Art & Design
Canva: Editor Video & Foto AI,Ridho Muhammad,mantapp,5,2024-10-18 22:30:46,Art & Design
Canva: Editor Video & Foto AI,Siti Yulfiana,Sangat sangat bagus,4,2024-10-18 22:30:12,Art & Design
Canva: Editor Video & Foto AI,Agus Hernawan,ok bngt,4,2024-10-18 22:28:04,Art & Design
Canva: Editor Video & Foto AI,Aam Aminah,ok,5,2024-10-18 22:13:54,Art & Design
Canva: Editor Video & Foto AI,Khasroy Khasroy,sangat bagus,5,2024-10-18 21:57:59,Art & Design
Canva: Editor Video & Foto AI,Luthfi Luthfi,"ribet amat apa2 bayar,mau hal kecil juga bayar ngotak lah dikit",1,2024-10-18 21:53:52,Art & Design
Canva: Editor Video & Foto AI,Rohmatumila Kdd,baik,5,2024-10-18 21:53:38,Art & Design
Canva: Editor Video & Foto AI,Rizki Maulia,"apk keren,bisa membuat stiker untuk bisnis,berguna untuk membuat vc dan lamaran kerja",5,2024-10-18 21:48:37,Art & Design
Canva: Editor Video & Foto AI,Hanafi Abdullah,botot,4,2024-10-18 21:41:41,Art & Design
Canva: Editor Video & Foto AI,Irwan Adi,sangat bagus,5,2024-10-18 21:38:24,Art & Design
Canva: Editor Video & Foto AI,Ekawati Diah,keren saya bisa berkreasi sesuai xengan apa yg saya harapkan konten dan design sangatbervariatif dan berkelas,5,2024-10-18 21:26:34,Art & Design
Canva: Editor Video & Foto AI,Indah Lestari,Bagus,5,2024-10-18 21:23:56,Art & Design
Canva: Editor Video & Foto AI,Zen Raphael,kok gabisa di simpan.,1,2024-10-18 21:23:13,Art & Design
Canva: Editor Video & Foto AI,Davina Qurotul Aini,cocok bgtt buat ngedit!!,5,2024-10-18 21:19:08,Art & Design
Canva: Editor Video & Foto AI,Makhdar Mutawakal,Bagus,5,2024-10-18 21:13:59,Art & Design
Canva: Editor Video & Foto AI,Setya Channel,good apps,5,2024-10-18 21:10:56,Art & Design
Canva: Editor Video & Foto AI,Zahra Utiya,sgt bermanfaat,5,2024-10-18 21:09:10,Art & Design
Canva: Editor Video & Foto AI,Rifqi mubarok iik,mudah digunakan dan tidak rumit,5,2024-10-18 21:06:07,Art & Design
Canva: Editor Video & Foto AI,Aini Rahmawangi,cukup baik,4,2024-10-18 20:58:23,Art & Design
Canva: Editor Video & Foto AI,Syima Sampit,Membuat kegiatan mengedit jadi menyenangkan 🔥🔥,5,2024-10-18 20:53:20,Art & Design
Canva: Editor Video & Foto AI,Rida Rida,Karena aku telah melihat gmbr yng indah,4,2024-10-18 20:49:14,Art & Design
Canva: Editor Video & Foto AI,Michael Immanuel,Buriq.,1,2024-10-18 20:48:31,Art & Design
Canva: Editor Video & Foto AI,MUH. FITRAH NOVRIANSYAH,Baik Apalagi di premium gratis hehe,5,2024-10-18 20:30:18,Art & Design
Canva: Editor Video & Foto AI,Entri Nurjanah,baguss bngttttt💐💐💐,5,2024-10-18 20:25:07,Art & Design
Canva: Editor Video & Foto AI,Neysha rahdatul Aisy,"bagus banget ini, Canva bermanfaat untuk mendesain makalah, cover laporan kegiatan,untuk logo brand, banyak deh pokok nya",5,2024-10-18 20:13:45,Art & Design
Canva: Editor Video & Foto AI,Fairuz Elramadhan,mantap dan mudah,5,2024-10-18 20:10:58,Art & Design
Canva: Editor Video & Foto AI,Dedi Setia,Terumakasih,5,2024-10-18 20:07:34,Art & Design
Canva: Editor Video & Foto AI,Wahyu Napitupulu,karna sangat berguna untuk remaja ke atas,5,2024-10-18 20:07:29,Art & Design
Canva: Editor Video & Foto AI,Dedik Setiawan,good,5,2024-10-18 19:58:15,Art & Design
Canva: Editor Video & Foto AI,Azita Ghaisani Jariyanto,sangat bagus aplikasi ini,5,2024-10-18 19:56:17,Art & Design
Canva: Editor Video & Foto AI,Zul Lubis,keren,5,2024-10-18 19:49:42,Art & Design
Canva: Editor Video & Foto AI,urly citraa,lemot gabisa bikin dokumen bertabel dengan bener,1,2024-10-18 19:47:27,Art & Design
Canva: Editor Video & Foto AI,Rasa Pratama,"Canva bisa membantu pekerjaan kantor maupun pekerjaan sekolah,utamanya market day pokok nya bagus banget",5,2024-10-18 19:44:17,Art & Design
Canva: Editor Video & Foto AI,Eraponsel,SGT luar biasa👍🏻👍🏻👍🏻👍🏻,5,2024-10-18 19:36:55,Art & Design
Canva: Editor Video & Foto AI,Kamila nufus,bagus dan sangat aesthetic ide ide nya cuman agak ngelag,4,2024-10-18 19:26:30,Art & Design
Canva: Editor Video & Foto AI,Dwi adi Saputra,Baik,4,2024-10-18 19:18:01,Art & Design
Canva: Editor Video & Foto AI,Slamet Riyadi,bagus apk nya,5,2024-10-18 19:11:50,Art & Design
