appName,userName,reviews,rating,at,category
CapCut - Editor Video,bgsawxz_,"dikit dikit pro dikit dikit berbayar dikit dikit premium, saya selaku pengguna capcut udh 3 tahun buat vidio editing jadi males gegara dikit dikit pro.",1,2024-10-18 22:55:35,Video Players & Editors
CapCut - Editor Video,Kartini Karni,bagus,5,2024-10-18 22:53:54,Video Players & Editors
CapCut - Editor Video,tania niania1610 (nia),bgus tp bnyk iklan😢,2,2024-10-18 22:52:42,Video Players & Editors
CapCut - Editor Video,Nazwa Vina,"cap cut skrng banyak bgt iklanya huhuh pake pro jg masi tetep terhambat klo ekspor vid,yuk bisa yuk capcut balik ky dulu:(",3,2024-10-18 22:52:14,Video Players & Editors
CapCut - Editor Video,Rumah cinta Rumah cinta,wowo sangat bagus,3,2024-10-18 22:50:40,Video Players & Editors
CapCut - Editor Video,Helga Tel,Apk nya bgus Hanya saja iklan nya yang agak menjengkelkan,3,2024-10-18 22:49:32,Video Players & Editors
CapCut - Editor Video,DICKA RIDHO ALFAREZI,"Sudah kikir banyak bug lagi, mau ngedit selalu aja ada ""belum ada media"" emang bgs*",1,2024-10-18 22:48:58,Video Players & Editors
CapCut - Editor Video,Akmal Ludin,ga ada angin ga ada hujan loading nya lama banget,1,2024-10-18 22:48:16,Video Players & Editors
CapCut - Editor Video,Kartini Neng,Enak sih buat ngedit,3,2024-10-18 22:46:46,Video Players & Editors
CapCut - Editor Video,Inayah Maulida,"halah capcut sekarang udah ngga asik banget, tutup ajalah",1,2024-10-18 22:46:27,Video Players & Editors
CapCut - Editor Video,Zul Annas,"ekspor doang iklan atau berbayar, lama2 jelek ni aplikasi. maruk",1,2024-10-18 22:46:04,Video Players & Editors
CapCut - Editor Video,Wahyuni,Mantap,4,2024-10-18 22:45:57,Video Players & Editors
CapCut - Editor Video,Auliya Rezky,Udah gk suka banyak yg bayar,1,2024-10-18 22:45:21,Video Players & Editors
CapCut - Editor Video,Iwan Magfirah,"capct ga seasik dulu,dikit dikit pro dikit dikit pro kebelet haji lu?",1,2024-10-18 22:45:19,Video Players & Editors
CapCut - Editor Video,Fauzi Aaaa,sangat membantu dan bikin puas,5,2024-10-18 22:45:12,Video Players & Editors
CapCut - Editor Video,Linda Riyani,Suka aja sihh rorrr☝🧏‍♀️,5,2024-10-18 22:43:31,Video Players & Editors
CapCut - Editor Video,Sutan Saat Yuniarto Tambunan,Mantap,5,2024-10-18 22:41:50,Video Players & Editors
CapCut - Editor Video,Tedy Syah,Tpi sayang sekali ga bisa di unduh tidak cukup ruangan,5,2024-10-18 22:39:53,Video Players & Editors
CapCut - Editor Video,Zaz Kiya,"gajelas monyet banyak iklan,pro,foto gak muncul",1,2024-10-18 22:38:21,Video Players & Editors
CapCut - Editor Video,Fazrialparizky,Mantap,5,2024-10-18 22:37:00,Video Players & Editors
CapCut - Editor Video,Ani Skw,"sering muncul iklan, gabisa buka cc, klo dibuka cuma muncul layr putih doang",1,2024-10-18 22:34:54,Video Players & Editors
CapCut - Editor Video,Dani Setiawan Pratama,"Banyak iklan, kebelet haji",1,2024-10-18 22:34:44,Video Players & Editors
CapCut - Editor Video,Rehan,Sekarang tambah lemut,1,2024-10-18 22:33:33,Video Players & Editors
CapCut - Editor Video,musadat alfarizi,Mantap,5,2024-10-18 22:33:28,Video Players & Editors
CapCut - Editor Video,Mukhammad Iqbal Fakhrudin,dikit dikit bayar,2,2024-10-18 22:28:01,Video Players & Editors
CapCut - Editor Video,Primajaya,pro swmua🤣🤣🤣🤣🤣🤣🤣𓆩🤣𓆪 𓆩🤣𓆪 𓆩🤣𓆪 𓆩🤣𓆪 𓆩🤣𓆪 𓆩🤣𓆪 𓆩🤣𓆪,1,2024-10-18 22:27:22,Video Players & Editors
CapCut - Editor Video,Luthfi Abidin,Matapz,5,2024-10-18 22:26:16,Video Players & Editors
CapCut - Editor Video,Deni Nrs,Mantap,5,2024-10-18 22:25:35,Video Players & Editors
CapCut - Editor Video,raafi raafi,Dikit dikit harus pro,1,2024-10-18 22:24:06,Video Players & Editors
CapCut - Editor Video,dedek tenda03,dikit' pro iklannya juga banyak.,1,2024-10-18 22:21:18,Video Players & Editors
CapCut - Editor Video,Di Din,gajelas,1,2024-10-18 22:21:04,Video Players & Editors
CapCut - Editor Video,Akbar _kunz,kikir mah kikir aja bos😹,1,2024-10-18 22:18:21,Video Players & Editors
CapCut - Editor Video,Sipaling Wibu,Gila aplikasi apa ini? 😡 kadang kadang ngebug kadang kadang kagak terus banyak fitur pronya dan banyak iklan 😡,1,2024-10-18 22:18:17,Video Players & Editors
CapCut - Editor Video,Tokisaki valdiana,makin sini makin ngelag apalah lu ini,1,2024-10-18 22:17:07,Video Players & Editors
CapCut - Editor Video,125_Mid'hat Hidayat,"dikit dikit iklan,lama kelamaan ga bisa edit, emang harus ga usah di download aplikasi ini,nih bintang buat kamu",1,2024-10-18 22:16:42,Video Players & Editors
CapCut - Editor Video,Muhammad Abror,Nambah ke sini nambah iklannya dan gk jelas gk ada tanda Xnya,4,2024-10-18 22:15:28,Video Players & Editors
CapCut - Editor Video,Muhammad Vikri,"bagus sih bagus, tp semua aja pro in, mana pas mau ngedit ada tulisan media tidak ada, benerin jangan dikit dikit pro",3,2024-10-18 22:14:44,Video Players & Editors
CapCut - Editor Video,Fadil Dil,Bnyak iklan,1,2024-10-18 22:13:31,Video Players & Editors
CapCut - Editor Video,Peni Fardiana,kana bagus tapi ko aga eb nya mahal,1,2024-10-18 22:13:17,Video Players & Editors
CapCut - Editor Video,Mutiara Hanyfa,Bagus banget,5,2024-10-18 22:13:14,Video Players & Editors
CapCut - Editor Video,Aldy Fajar,Mau haji kah?? Skrng jdi mata duittan ni capcut ayolah masa harus serba bayar udh enak enak gratiss jadi males gw make ni apk,1,2024-10-18 22:11:41,Video Players & Editors
CapCut - Editor Video,Arip Sadewa,Saya udah instal tapi tidak bisa,5,2024-10-18 22:07:35,Video Players & Editors
CapCut - Editor Video,Marsya Acaa,Tolong di perbaiki bug2 di capcut pliss!!,2,2024-10-18 22:06:42,Video Players & Editors
CapCut - Editor Video,yohanes damanik,aplikasi ini bagus buat edit tugas sekolah,5,2024-10-18 22:06:33,Video Players & Editors
CapCut - Editor Video,Girlfriend Makeuuuyoww,"ini capcut gimana sih? padahal penyimpanan hp masih banyak, terus udah update juga, hp udah saya restart berkali kali tapi tetap aja ga bisa masukin foto ke template, tolong dong ya perbaiki",1,2024-10-18 22:00:25,Video Players & Editors
CapCut - Editor Video,Davina Nabhan Varadine,dikit dikit pro,1,2024-10-18 22:00:04,Video Players & Editors
CapCut - Editor Video,Cucum Sumyati,tidak bisa potong suara dan ngelag + apk kga jelas🙊,1,2024-10-18 21:58:35,Video Players & Editors
CapCut - Editor Video,Giya Na,Dikit dikit bayar anjir,1,2024-10-18 21:58:26,Video Players & Editors
CapCut - Editor Video,tiannurdyn,"dulu saya seneng banget sama apk ini cuman, gara gara serba pro jadii kek kurang gtu :) ntahh kenapaa, padaha ini apk editing yang enak buat mobile menurut sayaa, jdi ya saya agak kecewa dengan capcut yang serba pro, soalnya ya kasian buat para youtuber pemula termasuk saya :)",3,2024-10-18 21:58:23,Video Players & Editors
CapCut - Editor Video,Novi November,👍🏻,5,2024-10-18 21:56:44,Video Players & Editors
CapCut - Editor Video,izza_ny,hilangkan fitur pro kembalikan semua kek dulu,1,2024-10-18 21:56:16,Video Players & Editors
CapCut - Editor Video,Al Semifta,"Bagus aplikasiny , sayang banget sekarang kebanyakan pakai pro mahal juga",5,2024-10-18 21:55:22,Video Players & Editors
CapCut - Editor Video,Masrudi Masrudi,Bagus,5,2024-10-18 21:55:13,Video Players & Editors
CapCut - Editor Video,Makkaohijao 888,"Ketika Aplikasinya dah laris manis banyak orang, beh updatenya dikit2 iklan ,banyak yang berbayar, vm Segede kepala adminnya, Lol kasih B1 guys rame2",1,2024-10-18 21:54:42,Video Players & Editors
CapCut - Editor Video,Agustika Safrina,Sangat senang mengunakan nya,5,2024-10-18 21:53:18,Video Players & Editors
CapCut - Editor Video,Risky Jaya,"Parah bener sekarang capcut, buset dahh iklan nyaa",1,2024-10-18 21:52:13,Video Players & Editors
CapCut - Editor Video,shinta nurian,Sekarang apa apa harus gabung pro😔,3,2024-10-18 21:51:35,Video Players & Editors
CapCut - Editor Video,bintang bintang ppp,"aplikasi ini sangat bagus tetapi terlalu berlebihan menaruh iklan, sebelumnya belum ada iklan di aplikasi ini saya sangat suka, memasang iklan boleh tetapi jangan terlalu berlebihan, juga dapat mengurangi penggunaan aplikasi ini jika terlalu bangak iklan FAHAMMM!!!!!!!!!!!!!",1,2024-10-18 21:51:06,Video Players & Editors
CapCut - Editor Video,kiswah kiswah,apa' pro dan bayar,2,2024-10-18 21:50:44,Video Players & Editors
CapCut - Editor Video,Ghafi Handi putra,Cap cut saya eror tidak bisa digunakan katanya tidak ada data coba periksa data kembali suda dengan berbagai cara saya coba tapi tidak bisa saya mohon mudah² sistem cap cut saya tidak bermasalah lagi.,1,2024-10-18 21:50:07,Video Players & Editors
CapCut - Editor Video,Indri Girsang,App yg sangat membantu dan inovatif,5,2024-10-18 21:50:04,Video Players & Editors
CapCut - Editor Video,Nanda Triansyah,"Dulu capcut kalo mau eskpost template masih bisa kan , sekarang apaan bgt disuruh bayar disuruh bayar . tolong dong capcut nanti kedepan nya nggak usah pakai bayar bayar gitu dong yaa 😭😭",2,2024-10-18 21:49:15,Video Players & Editors
CapCut - Editor Video,Fadia Chandra,kok gak bisa masukin foto padahal udh dikasih izin. percuma kek gitu. rusak lama' nih apk.kek dulu bagus-bagus enggak pernah ngelag lah ini dikit' ngelag apaan.maaf tak kasih bintang satu tolong balikin cap cut kek dulu,1,2024-10-18 21:47:56,Video Players & Editors
CapCut - Editor Video,Yesika _Unesa,"kenapa ya akhir"" ini kalo buka capcut media tidak muncul atau tidak ditemukan? padahal udah update dan setting aplikasi pun udah diizinkan semua.",3,2024-10-18 21:47:19,Video Players & Editors
CapCut - Editor Video,Marliza Nasution,Marlisa,5,2024-10-18 21:46:20,Video Players & Editors
CapCut - Editor Video,Ratna Dewi,Kebelet haji ni semua nya proo,1,2024-10-18 21:45:13,Video Players & Editors
CapCut - Editor Video,Adriyansyah,"sekalian semuanya lu pro in, sampe ngerating pun lu pro in anj",1,2024-10-18 21:44:46,Video Players & Editors
CapCut - Editor Video,May Ardila,media g muncul,1,2024-10-18 21:44:30,Video Players & Editors
CapCut - Editor Video,rasmini Dhea,template ny alay² yng kluar,1,2024-10-18 21:43:45,Video Players & Editors
CapCut - Editor Video,Muhammad Lili,Mantep,5,2024-10-18 21:43:04,Video Players & Editors
CapCut - Editor Video,Aisyah Ayudia Inara,aplikasi ini sangat menghibur dan bagus saya menyukainya,5,2024-10-18 21:43:03,Video Players & Editors
CapCut - Editor Video,Ratna Dewi,Banyak iklan nya,3,2024-10-18 21:41:17,Video Players & Editors
CapCut - Editor Video,Didi Sunardi,Setelah di update ke versi Terbaru Jadi lemot... Padahal berbayar bukan gratis Kacau,1,2024-10-18 21:36:14,Video Players & Editors
CapCut - Editor Video,SupreMe 883,"Capcut kebelet umroh Napa dikit""fiturnya pro anjim😭😭😭",1,2024-10-18 21:35:43,Video Players & Editors
CapCut - Editor Video,Yaiamane Yaia,"Apk babi Milih² jaringan, Banyak kali iklannya Hapus aja di play store apk ni gak jelas",1,2024-10-18 21:34:58,Video Players & Editors
CapCut - Editor Video,Andhika RF edp,"Besok besok semua filter capcut di pro, juga kalo mau dowload capcut bayar sekalian, kalo mau cari untung itu dari awal rilis bukan dari sekarang. APLIKASI ANEH",1,2024-10-18 21:34:53,Video Players & Editors
CapCut - Editor Video,Muhamad Afgan rizki rahayu,Klo bisa batas pemakaian gratis nya jangan di batas yaa sama tanpa logo capcut nya juga jangan di pro in kaya dulu lagi gapapa kalo ada satu dua video yang pro mah,1,2024-10-18 21:34:18,Video Players & Editors
