appName,userName,reviews,rating,at,category
ChatGPT,muhmmd saputra04,sangat membantu saya dalam persoalan,5,2024-10-19 00:01:00,Productivity
ChatGPT,DEF Future,gud job CHATY,5,2024-10-18 23:24:58,Productivity
ChatGPT,LASTRI,"Thanks ChatGPT OpenAI. Pasti semakin Canggih, Maju, sukses dan berkah selalu aamiin. 🙂👍",5,2024-10-18 23:18:29,Productivity
ChatGPT,Sugiyono Yono,Ok,5,2024-10-18 23:17:53,Productivity
ChatGPT,Pras Aww,Kasih gratis lah atau premium ya jangan mahal lah kasih lah yg 45ribu 1bln,3,2024-10-18 23:01:57,Productivity
ChatGPT,Rudolf Malaihollo,Amazing,5,2024-10-18 22:56:50,Productivity
ChatGPT,•Not_Senkaiiz z 𐰁 .ᐟ,keren Banget Ni A.I ngebantu banget buat curhat.. cari ide.. nugas pokonya Berguna Banget! Kembangkan Terus Ya!,5,2024-10-18 22:37:34,Productivity
ChatGPT,AlPAJRI FEBRIAN,bagus pekerjaan jadi lebih mudah,5,2024-10-18 22:08:48,Productivity
ChatGPT,Yogi,bagus,5,2024-10-18 22:07:12,Productivity
ChatGPT,Aditiya m.p Adit,mantap,5,2024-10-18 21:59:54,Productivity
ChatGPT,Kemi Suharni,Sangat keren tapi tolong agar tidak online,5,2024-10-18 21:56:39,Productivity
ChatGPT,putri nadeak,BAGUSSSS BANGETTTT,5,2024-10-18 21:55:14,Productivity
ChatGPT,Ubaidillah,sangat membantu,5,2024-10-18 21:48:32,Productivity
ChatGPT,Putri Nabila,Bagus bgt pliss makasiii yang udah bikin ini apk😭🥰,5,2024-10-18 21:40:14,Productivity
ChatGPT,Dian Safitri,"it's really helpfull, thank you!!",5,2024-10-18 21:37:30,Productivity
ChatGPT,Fahrul Narwan,apk ny bagus,5,2024-10-18 21:36:41,Productivity
ChatGPT,Anggun situmorang,I'M SO FUAKING LOVE YOU,5,2024-10-18 21:36:39,Productivity
ChatGPT,Marok Ko,sangat sangat membantu dalam tugas sekolah,5,2024-10-18 21:31:00,Productivity
ChatGPT,wanda prasetyo,sangat membantu sekalii 😍😍😍,4,2024-10-18 21:24:37,Productivity
ChatGPT,Hadziq Marie,manatap,5,2024-10-18 21:22:18,Productivity
ChatGPT,Yo Gi,apk ini sangat membantu. luar biasa,5,2024-10-18 21:16:27,Productivity
ChatGPT,IGO'Rs can,good,5,2024-10-18 21:12:51,Productivity
