appName,userName,reviews,rating,at,category
DANA Dompet Digital Indonesia,Sri Ayu,Nggk bisa,5,2024-10-18 22:55:13,Finance
DANA Dompet Digital Indonesia,Itel A70,Dana cicil saya tidak muncul,5,2024-10-18 22:54:49,Finance
DANA Dompet Digital Indonesia,April Lia,"Dana ini malingnya orang dalam apa ya , uangbisa transfer dengan sndrinyaaa",1,2024-10-18 22:54:47,Finance
DANA Dompet Digital Indonesia,TanamalJR Dtt19,guud JOB GBU,5,2024-10-18 22:54:46,Finance
DANA Dompet Digital Indonesia,Cukka Ulu,Baik,5,2024-10-18 22:53:54,Finance
DANA Dompet Digital Indonesia,Kontol Lodon,Dana Cici belum muncul di akun sya,5,2024-10-18 22:53:48,Finance
DANA Dompet Digital Indonesia,Dewi Sholeha,Sangat puas,5,2024-10-18 22:53:37,Finance
DANA Dompet Digital Indonesia,Rudisbl Sbl,Tap,1,2024-10-18 22:52:36,Finance
DANA Dompet Digital Indonesia,Suhantoro Toro,sangat membantu,5,2024-10-18 22:52:26,Finance
DANA Dompet Digital Indonesia,Angah Rohma,Bagus .tapi sayang dana cicil nya gak nampak di akun saya,5,2024-10-18 22:52:05,Finance
DANA Dompet Digital Indonesia,Putri Anjasari,Good banget dana nya bosku,5,2024-10-18 22:51:37,Finance
DANA Dompet Digital Indonesia,Tarbin Kelana,mudah,4,2024-10-18 22:48:52,Finance
DANA Dompet Digital Indonesia,Sri Rejeki,Dana cicil tidak muncul di akun dana saya.,5,2024-10-18 22:47:53,Finance
DANA Dompet Digital Indonesia,blue pulcra,"bintang 3 dulu, kenapa setelah aku premiumin dananya ga bisa dipencet 'pengaturan profil' nya? padahal udah update apk, udah restart hp berkali-kali, tapi tetep sama aja",3,2024-10-18 22:47:27,Finance
DANA Dompet Digital Indonesia,Hasan Jamin,mantap sekali apl nya,5,2024-10-18 22:47:15,Finance
DANA Dompet Digital Indonesia,Hengki Riyan,Keren banget,5,2024-10-18 22:45:30,Finance
DANA Dompet Digital Indonesia,Pranky Jahar,Dana paylater donk,5,2024-10-18 22:44:36,Finance
DANA Dompet Digital Indonesia,Ade Frmnsyh,Gak ngerti lagi sama dana saldo emas saya hilang dan tidak kembali lagi payahhh,1,2024-10-18 22:43:42,Finance
DANA Dompet Digital Indonesia,Haryadi nang90,Bagus sekali untuk bisnis,5,2024-10-18 22:43:24,Finance
DANA Dompet Digital Indonesia,anakliar,apikkk,5,2024-10-18 22:41:48,Finance
DANA Dompet Digital Indonesia,Santi Riski,Susah login buat ngirim juga transaksi susah mohon diperbaiki,5,2024-10-18 22:37:09,Finance
DANA Dompet Digital Indonesia,Lukman arifin,bagus,4,2024-10-18 22:36:46,Finance
DANA Dompet Digital Indonesia,Rohim Abdur,bintang bicara..,5,2024-10-18 22:36:19,Finance
DANA Dompet Digital Indonesia,Gun Rose,Tukang buruh,4,2024-10-18 22:33:50,Finance
DANA Dompet Digital Indonesia,Zul Kipli,Opsional,5,2024-10-18 22:32:56,Finance
DANA Dompet Digital Indonesia,Kaji Boyen,Katanya stelah du update ada fitur dana cicil tapi kok punya qw gk muncul aneh,2,2024-10-18 22:31:38,Finance
DANA Dompet Digital Indonesia,Tuti Tk,Mantap gan 👌👌,5,2024-10-18 22:28:46,Finance
DANA Dompet Digital Indonesia,Amir Sakif,transaksinya selalu gagal,2,2024-10-18 22:26:09,Finance
DANA Dompet Digital Indonesia,Ernaaa Manis,dana cicil tidak muncul,5,2024-10-18 22:21:37,Finance
DANA Dompet Digital Indonesia,Acef BCR,Katanya di lindungi bank indonesa...uang saya hilang 550.000 gimana tanggung jawab dari pihak dana..ini tiba-tiba ada transaksi belanja...tolong kembalikan uang saya,1,2024-10-18 22:21:20,Finance
DANA Dompet Digital Indonesia,Dian Saputra,Dana cicil tidak muncul Muncul,5,2024-10-18 22:21:09,Finance
DANA Dompet Digital Indonesia,Mita Yanti,"Sangat membantu terimakasih 🙏 semoga fitur dana cicil tersedia, Ammin 🤲",5,2024-10-18 22:20:33,Finance
DANA Dompet Digital Indonesia,Uly yatul Ulfa,bagus,3,2024-10-18 22:19:46,Finance
