appName,userName,reviews,rating,at,category
Facebook Lite,muhammad Din,Belum tau,1,2024-10-19 00:24:47,Social
Facebook Lite,Yohanes Mahak,Bagus,5,2024-10-19 00:13:32,Social
Facebook Lite,Regger Shob,Ajeng kale,5,2024-10-19 00:09:34,Social
Facebook Lite,Gren STR,Ok,3,2024-10-19 00:08:45,Social
Facebook Lite,Abjack Istele,Indonesia,1,2024-10-18 23:52:26,Social
Facebook Lite,Rama Dhani,👍,4,2024-10-18 23:50:02,Social
Facebook Lite,Dicky Alfarizy,Rodok tolol FB ne,1,2024-10-18 23:34:53,Social
Facebook Lite,RIYAN Ganteng,Kenapa kalu buat cerita video Gak ada suara nya tolong perbaiki,1,2024-10-18 23:32:25,Social
Facebook Lite,Sarlina sarlin,Bagus skx,5,2024-10-18 23:30:50,Social
Facebook Lite,Monel Kastelo,Bagus,5,2024-10-18 23:26:30,Social
Facebook Lite,Agi Anggraeni,bagus sekali,5,2024-10-18 23:20:52,Social
Facebook Lite,Jaka,Terima kasih telah membuatku menjadi admin group lebih dari 10 group manca negara sampai aku kena blokir pihak fb 😃😃,5,2024-10-18 23:17:13,Social
Facebook Lite,Kasman Simanjuntak (Kasman simanjuntak),(Baros toba batak juntak sunda minang Kasman simanjuntak),5,2024-10-18 23:13:16,Social
Facebook Lite,Ina Kaway,Kirim Facebook lite baru,1,2024-10-18 22:56:06,Social
Facebook Lite,Frans Gabby,bagus,5,2024-10-18 22:54:40,Social
Facebook Lite,Mhmmd Ricky,Kenapa di cerita kita tidak ada suara cerita orang lain ada suara,3,2024-10-18 22:51:28,Social
Facebook Lite,Buana Hebat,apk ini sangat bagus,5,2024-10-18 22:44:29,Social
Facebook Lite,Wahono No,Oke,5,2024-10-18 22:42:52,Social
Facebook Lite,Fadli Fadli,mantap,4,2024-10-18 22:31:23,Social
Facebook Lite,Faridz Furkon Furkon,Ok,5,2024-10-18 22:30:36,Social
Facebook Lite,Roby saputra,ujuuuuuu,5,2024-10-18 22:27:02,Social
Facebook Lite,Aziz Wasis,"mungkin Ade ini ,, hidup di lingkungan yang keras",5,2024-10-18 22:20:03,Social
Facebook Lite,muhamad Rio,DERIL,5,2024-10-18 22:18:35,Social
Facebook Lite,ekha kasih,like,5,2024-10-18 22:15:04,Social
Facebook Lite,Ayuida Rianti,Sangat bagus,5,2024-10-18 22:14:18,Social
Facebook Lite,Serafina Sonalut,terbaik dan terdepan,5,2024-10-18 22:12:40,Social
Facebook Lite,Ujang Bayu,biarlah bintang nya tiga aku gabisa komen sama temen,3,2024-10-18 22:11:57,Social
Facebook Lite,junaidi junaidi,Titok,5,2024-10-18 22:06:47,Social
Facebook Lite,Sintia Eka Nurfalah,"Lebih suka fb yg dulu sih,makin kesini makin aneh ada aja masalahnya kadang chat inbox suka ngilang sendiri padahal ada notifnya,sekarang kalo bikin story video pas di post jadi gaada suaranya",3,2024-10-18 22:03:16,Social
Facebook Lite,Anim Mous,"Hey developer! I haven't open facebook this month, but how come it's spend 18 GB data network? Can u explain here?",1,2024-10-18 22:03:08,Social
Facebook Lite,Deti Herdianti,sangat puas,5,2024-10-18 22:01:08,Social
Facebook Lite,Rido fadil,ku tebak Lo semua download apk ini cuma mau liat vidio kan hayo loo,5,2024-10-18 22:00:48,Social
Facebook Lite,Basri Gondrong,Baik,5,2024-10-18 22:00:04,Social
