appName,userName,reviews,rating,at,category
Facebook,Bus Lintas sumatera Wara Wiri,GROUP JUAL BELI FACEBOOK & MARKETPLAZE RUSAKKK PARAH GA DI TAYANGIN BODOH BODOH APLIKASI BUSUK ASU,1,2024-10-18 21:09:46,Social
Facebook,heri Aja,Mantap,5,2024-10-17 23:03:21,Social
Facebook,Angga Brazanata,Lemot banget sekarang,1,2024-10-17 23:02:13,Social
Facebook,Anggraini Holifah,Siap,5,2024-10-17 23:01:51,Social
Facebook,zul Lahay,sangat keren,5,2024-10-17 23:00:54,Social
Facebook,Papa Raya,Kenapa fb lag sekali bila liat video...,3,2024-10-17 23:00:08,Social
Facebook,Hastina Tina,"Makin kesini makin ksna apk nya kadang ga bisa kebuka, sekalinya kebuka malah legg terus 🗿",1,2024-10-17 22:59:28,Social
Facebook,Yhar72 Haryanto,halo salam hormat,4,2024-10-17 22:58:04,Social
Facebook,Nuri Aisy,Notifnya gak keliatann,3,2024-10-17 22:57:15,Social
Facebook,Tofan Romli,Bagus,5,2024-10-17 22:53:59,Social
Facebook,Hendra Mulyana,terbaik,5,2024-10-17 22:50:05,Social
Facebook,Doni Antoni,keren,5,2024-10-17 22:49:36,Social
Facebook,Pey,Penglaman saya cari kabar teman,5,2024-10-17 22:47:02,Social
Facebook,Rizal Halim nasution,apapun aplikasinya jika dipakai untuk jalan kebaikan..in shaa Allah akan menjadi berkah,5,2024-10-17 22:43:34,Social
Facebook,Cheng Nurseha,bagus,5,2024-10-17 22:43:33,Social
Facebook,Deddy Saputra,"facebook saya tidak muncul mode profesional,tolong dibantu",3,2024-10-17 22:43:26,Social
Facebook,Ema Nuela,ok,3,2024-10-17 22:42:39,Social
Facebook,Rezka Oktavian,Tiap ganti akun kena sesi kenapa ya,1,2024-10-17 22:41:59,Social
Facebook,Erik 99,"luar biasa mantap benar, saya kasih 5 bintang 🌟",5,2024-10-17 22:39:16,Social
Facebook,mahzoem chaw,Sudah 13 tahun saya di aplikasi ini kenapa saya harus kena spam tidak bisa like dan komentar hari ini sesudah mendaptar langganan ke meta. Jelaskan apa salah saya,2,2024-10-17 22:34:04,Social
Facebook,Oky Krip,sangat menyenanggkan,5,2024-10-17 22:32:51,Social
Facebook,Defviana -ana,"trims fb, semoga fitur monetisasiku segera terbuka semua",5,2024-10-17 22:29:46,Social
Facebook,eL moezza,semoga jln terbuka trus dengan lancar,5,2024-10-17 22:29:12,Social
Facebook,Amrin Subagiyo,semngat,5,2024-10-17 22:27:42,Social
Facebook,Sansan Jmsansan,T.o.p.bgt 💯😍,5,2024-10-17 22:26:23,Social
Facebook,Rahman Pmpk,Keren,5,2024-10-17 22:26:10,Social
Facebook,Andri Maualana,baik bermanfaat,5,2024-10-17 22:25:09,Social
Facebook,Ipeh Dly,senang dengan fcbook,5,2024-10-17 22:23:59,Social
Facebook,Abdul Latif,saya senang bisa bergabung dengan Facebook,5,2024-10-17 22:20:49,Social
Facebook,albert,Promo Telkomsel sangat mengganggu,1,2024-10-17 22:20:31,Social
Facebook,dirja_aska happy,semoga ada hasil nya,5,2024-10-17 22:19:20,Social
Facebook,Muhammad Azis,aplikasi terkeren,5,2024-10-17 22:17:46,Social
