appName,userName,reviews,rating,at,category
Fizzo - Reading Offline,Andre Andri yansyah,Ceritanya bagus bget dan seru,1,2024-10-19 01:36:50,Books & Reference
Fizzo - Reading Offline,Bang All,Sangat mnyenang kan,5,2024-10-19 01:35:59,Books & Reference
Fizzo - Reading Offline,Ayuwulan Agustin,"Jujur yh aplikasi nya bagus,cuma banyak iklan tp masih bisa diakalin Lho. Buka 1 bab ,lalu matikan data seluler, dan bagiku itu sudah bisa membuka beberapa bab. Nah disini aku ingin bertanya, baru kemarin sore saya melakukan fitur chat AI di fizzo, menurut saya itu seru Tapi nth mengapa dari semalam tidak muncul yah , fitur itu???? Adakah solusi bagiku?????",5,2024-10-19 01:30:27,Books & Reference
Fizzo - Reading Offline,Giandra Bahari,"Kenapa ini min , tidak bisa buat ambil hadiah harian sama klaim bonus nya min , gagal terus , perilaku berisiko tinggi kata nya , ada apa ini min , mohon bantuan nya",5,2024-10-19 01:14:43,Books & Reference
Fizzo - Reading Offline,Muhammad Zibrand27,Terlalu banyak iklan,4,2024-10-19 01:12:26,Books & Reference
Fizzo - Reading Offline,Jisoo Kim,"Fizzo kebelet kaya apa gmn?? Msa iya semuanya harus premium dulu. Bnyk iklan seakan-akan mreka semiskin itu buat butuh duit. Semu fitur di buat premium, ap mksdnya gtu?? Coba balikkan fizzo yg lama bsa gsi?? Yg ad org makin hilang minat sama fizzo kalau kyagni",1,2024-10-19 01:05:39,Books & Reference
Fizzo - Reading Offline,Agusrini75.ar@gmail.com Arini,"Bacaan bagus sayangnya sekarang bnyk iklan, buka 1bab muncul iklan, enak dulu bener""gratis sekrg hrs ambil premium kl tidak mau terganggu dengan iklan",4,2024-10-19 01:01:49,Books & Reference
Fizzo - Reading Offline,Erma Sulistyowati,Bagus,5,2024-10-19 00:58:17,Books & Reference
Fizzo - Reading Offline,Nuraeni Na,Lumyn,4,2024-10-19 00:57:30,Books & Reference
Fizzo - Reading Offline,Pangestu Ajja,Lumayan lah,5,2024-10-19 00:48:06,Books & Reference
Fizzo - Reading Offline,Haris Haris Gintulangi,Ikut situs in,5,2024-10-19 00:47:11,Books & Reference
Fizzo - Reading Offline,House Ofblessings,Menganggu,5,2024-10-19 00:45:11,Books & Reference
Fizzo - Reading Offline,Kurniawan Kurni,Sangat sangat membuat hatiku tenag ( bagus sekali untuk membaca dn dapat cuan lagi),5,2024-10-19 00:41:25,Books & Reference
Fizzo - Reading Offline,iwan gunawan,Lumayan menghibur,5,2024-10-19 00:36:11,Books & Reference
Fizzo - Reading Offline,Adi Mulyono,Bagus sih tp klok baca komik kek aneh gitu bisa gk klok translate itu jangan ubah namanya karna kebanyakan komik yang aku baca itu komik cina trus klok namanya di ubah jadi aneh jdi kurang menarik klok baca komin,3,2024-10-19 00:22:04,Books & Reference
Fizzo - Reading Offline,Diki Saneno,Mantab ini apk novel terbaik setau saya,5,2024-10-19 00:17:37,Books & Reference
Fizzo - Reading Offline,Utun Uni,So bad,1,2024-10-19 00:17:34,Books & Reference
Fizzo - Reading Offline,Herman Suryana,makin banyak iklan ganggu,1,2024-10-19 00:16:08,Books & Reference
Fizzo - Reading Offline,kacung bro,Jadi jelek bug gak bisa masuk akun,1,2024-10-19 00:15:01,Books & Reference
Fizzo - Reading Offline,Wanz Setiawan,aplikasi tolol udh ada dana 150 tapi akunya ga bisa di paks lago tolol aplikasi sampah jangan donlod aplikasi ga guna ini aflikasi yang membodohi,1,2024-10-19 00:14:41,Books & Reference
Fizzo - Reading Offline,irfan santuy,Kegunaan tombol unduh apa? Dibaca offline gk bisa jdi gak guna tombol unduh,5,2024-10-19 00:11:33,Books & Reference
Fizzo - Reading Offline,Aries Bahtiar,Banyak di gantung ceritanya,4,2024-10-19 00:08:12,Books & Reference
Fizzo - Reading Offline,Ahmad Dahlan,Mantap,5,2024-10-19 00:01:01,Books & Reference
Fizzo - Reading Offline,Hagjaja Babjaja,keren,5,2024-10-18 23:57:10,Books & Reference
Fizzo - Reading Offline,RINI Hartoyo,Kenapa keluar Mulu padahal udah byr tuk 1 bln (waktu abis ),2,2024-10-18 23:56:28,Books & Reference
Fizzo - Reading Offline,Muhamad Taufik,"Bagus, banyak pilihan alur ceritanya",5,2024-10-18 23:55:32,Books & Reference
Fizzo - Reading Offline,Miftakul Munir,Seru,4,2024-10-18 23:55:05,Books & Reference
Fizzo - Reading Offline,Rena Mustika022,Bagus,5,2024-10-18 23:52:53,Books & Reference
Fizzo - Reading Offline,Andri Jansyah,"Bagus si,cuma banyak yg ga sampe tamat ceritanya",4,2024-10-18 23:52:27,Books & Reference
Fizzo - Reading Offline,Adit Rahman,"Fizzo sekarang iklannya banyak iklan judi online, mohon untuk pihak fizzo untuk memblokir iklan judol itu.",2,2024-10-18 23:51:51,Books & Reference
Fizzo - Reading Offline,Rini puspita,"aplikasinya bagus tapi setelah update makin kesini iklannya makin banyak, masa satu bab satu iklan,mau fokus baca novel malah harus ribet dulu sama iklannya yang lama itu😮‍💨",1,2024-10-18 23:51:22,Books & Reference
