appName,userName,reviews,rating,at,category
Getcontact,Rangga syahputra Rangga,Good,3,2024-10-19 00:42:41,Communication
Getcontact,Kahar Sebastian,Aplikasi sampah 🤮🤮🤮,1,2024-10-19 00:40:14,Communication
Getcontact,Azhar Hamam,udah ga worth it sekarang jadi berbayat padahal dulu nggan,1,2024-10-19 00:23:54,Communication
Getcontact,Aulia Fitri,apk jelek,1,2024-10-19 00:21:31,Communication
Getcontact,Dicky Satria,Ok,5,2024-10-19 00:13:17,Communication
Getcontact,M A L I K,Oh,1,2024-10-19 00:05:29,Communication
Getcontact,Mohd_ Azwari,Udah ngaco sekarang,1,2024-10-18 23:53:36,Communication
Getcontact,Saskiahikmah Bule,GK BS gratis,1,2024-10-18 23:35:59,Communication
Getcontact,Firja Tullah01,"Premium aja mulu""",1,2024-10-18 23:31:28,Communication
Getcontact,Aczel_Farel,Nguawor,1,2024-10-18 23:31:19,Communication
Getcontact,Cindy Anatasya Putri,PELIT,1,2024-10-18 23:28:47,Communication
Getcontact,Ismail Fahmi,"Aplikasi harus premium mulu, aplikasi gaguna",1,2024-10-18 23:21:59,Communication
Getcontact,pratama hendra,"Aplikasi yang buruk, ada batas pengguna",1,2024-10-18 23:01:03,Communication
Getcontact,Evita Hestiwi,I feel dissatisfied because the first entry must be premium and not a recommendation,1,2024-10-18 23:00:35,Communication
Getcontact,Riri Anjeli Miranti Putri,males bayar semua,1,2024-10-18 23:00:33,Communication
Getcontact,Irfan Suryana,Apk gini aja langganana sampah anying,1,2024-10-18 22:54:44,Communication
Getcontact,Axcyyl,"Apk Serakah, Mau Login Aja Di Persulit, Minta Kode Otp Gak Pernah Masuk",1,2024-10-18 22:45:53,Communication
Getcontact,Muhamad Ilyas,Kenapa harus premium ya sekarang? 👎👎👎👎👎👎👎👎👎,1,2024-10-18 22:39:47,Communication
Getcontact,Saipul Ipul,lemot,1,2024-10-18 22:36:32,Communication
Getcontact,Bang pi'i,Tak sesuai expectasi,1,2024-10-18 22:35:19,Communication
Getcontact,Vincentius Brilliant,jadi mbayar,1,2024-10-18 22:30:24,Communication
Getcontact,Muhamad Rehan,kok harus premium sihh ahh malesss,1,2024-10-18 22:28:13,Communication
Getcontact,Bang irrr,Kok sekarang bayar,1,2024-10-18 22:28:02,Communication
Getcontact,Alvin Dhimas,"Dulu bisa lihat tagar nya tanpa premium sekarang harus bayar buat lihat tagarnya, jadi malas kalau gini",1,2024-10-18 22:22:29,Communication
Getcontact,Fazaaa,Apk gajelas gk bisa login,1,2024-10-18 22:15:30,Communication
Getcontact,Aditya rio Juniawa,Udah gak berguna nih apk beda kayak versi dulu yang serba mudah,1,2024-10-18 22:14:03,Communication
Getcontact,CLRA ARSABELL,bgus,5,2024-10-18 22:13:46,Communication
Getcontact,Saya Vicky,Bertarif anj,1,2024-10-18 22:10:35,Communication
Getcontact,Ardian Ilham,Aplikasi payah. Untuk cek tagar aja bayar padahal dulu ada limitnya 2x. Padahal datanya di dapat dari kontak Pengguna!,1,2024-10-18 22:09:42,Communication
Getcontact,Isti Azizah,Kenapa harus berbayar sih heran padahal dulu enggak,1,2024-10-18 22:05:39,Communication
Getcontact,Rendi Geblek,harus berbayar di saat mendesak,1,2024-10-18 22:03:42,Communication
Getcontact,lit macth,Hapus dari playstore apl sampah,1,2024-10-18 22:02:21,Communication
Getcontact,DESTIN PRABUDI PUTRI,"halah, baru sekali search udah harus premium wkwk",1,2024-10-18 22:00:22,Communication
Getcontact,Virtual Tour,Setelah berbayar hapus aplikasi,1,2024-10-18 21:58:28,Communication
Getcontact,Ramzy 8B,burik,1,2024-10-18 21:56:14,Communication
Getcontact,Imam Kanafi,mantap,4,2024-10-18 21:51:12,Communication
Getcontact,amane,"kok gini sih, di iklan doang yg bagus",1,2024-10-18 21:44:53,Communication
Getcontact,Ganesa Toala,"Uninstal Aja, udah dapat access di banyak kontak rakyat Indonesia... sekarang di suruh bayar",1,2024-10-18 21:41:40,Communication
Getcontact,Yanto Yanti,"Apasih? Giliran rame langsung dijadiin premium, makan tuh dikomenan bintang 1 semua wkwkwk🤮🤮🤮",1,2024-10-18 21:37:25,Communication
Getcontact,aurellia maharani,bro? baru satu kali lihat udah di suruh premium,1,2024-10-18 21:29:42,Communication
Getcontact,Aldi Syam,Seperti keluhan yang lain dulu apk ini gratis tapi sekarang pembaharuannya sudah tidak layak di pakai karena berbayar jadi tidak usah di download lagi teman-teman karena apk ini sudah tidak worth it,1,2024-10-18 21:24:49,Communication
Getcontact,Sari Banun,Jelek gabisa liat tagar padahal baru download,1,2024-10-18 21:23:47,Communication
Getcontact,Byz Hsna,upgrade❎ downgrade✅,1,2024-10-18 21:23:41,Communication
Getcontact,Elelvellyn Je,Gatau,5,2024-10-18 21:21:59,Communication
Getcontact,Amelia Putri,bagusan yang dulu klo sekarang harus premium dulu baru bisa lihat haduuu angel²,1,2024-10-18 21:13:28,Communication
Getcontact,Mas Jo,percuma download 😂,1,2024-10-18 21:02:39,Communication
Getcontact,Wenty Zesa,kebanyakan bayar,1,2024-10-18 20:56:23,Communication
