appName,userName,reviews,rating,at,category
Gojek - Transportasi & Makanan,Aril Lian,Baik,5,2024-10-19 01:54:28,Travel & Local
Gojek - Transportasi & Makanan,Muchamad Zainuri,Gojek terbaik,5,2024-10-19 01:41:02,Travel & Local
Gojek - Transportasi & Makanan,Hafifahnurul Fitri,"Kenapa ga bisa tautkan akun gopay? Ga bisa bayar pake metode lain kecuali tunai. Dan udah di hapus trus instal ulang pas mau login gabisa, dibilang nya service nya lagi sibuk",1,2024-10-19 01:28:04,Travel & Local
Gojek - Transportasi & Makanan,Albert Moon Hiola,Mantul,5,2024-10-19 01:12:15,Travel & Local
Gojek - Transportasi & Makanan,rafi fakhri,"Makin mahal aja tuu biaya pelayanan sampe sekali order aja bisa 12rb, shopee aja cmn 4rb",1,2024-10-19 00:24:22,Travel & Local
Gojek - Transportasi & Makanan,Dika Lola,"Halo tim gojek, berhubung saya tidak bisa atau tidak tahu cara untuk berkomunikasi dengan pihak gojek, saya ingin bertanya kenapa saya selalu menerima pemberitahuan bahwa langganan gagal di perpanjang karna saya kurang saldo gopay. Padahal saya tidak ada langganan apapun Tolong tanggapannya",1,2024-10-18 23:37:15,Travel & Local
Gojek - Transportasi & Makanan,DRUCHANNEL deylanrizkyumbara,☺️👌🏻,5,2024-10-18 23:10:54,Travel & Local
Gojek - Transportasi & Makanan,Enjelina Enjelina,"Saya kena tipu oleh oknum a/n Gojek setelah sy mencari data Call Center Gojek di internet, dia minta uang 500ribu hanya untuk aktifkan akun lama sy.. JADI TOLONG PASTIKAN DI INTERNET TIDAK BEREDAR NOMOR CALL CENTER PALSU / atau pecat saja oknum tidak bertanggungjawab yang berani menipu costumer.",2,2024-10-18 22:50:23,Travel & Local
Gojek - Transportasi & Makanan,Arizal Fox,"ku kasih bintang 5 kalok lagu ""surga itu makan"" udah ilang",1,2024-10-18 22:50:00,Travel & Local
Gojek - Transportasi & Makanan,Dinar Mas,Ok,5,2024-10-18 22:48:13,Travel & Local
Gojek - Transportasi & Makanan,Dian Arianti,Oke,5,2024-10-18 22:44:12,Travel & Local
Gojek - Transportasi & Makanan,Nea Andara,baikkk,5,2024-10-18 22:36:55,Travel & Local
Gojek - Transportasi & Makanan,zikrullah latief,Okeh,5,2024-10-18 22:28:11,Travel & Local
Gojek - Transportasi & Makanan,Modern Combat77,Ok,4,2024-10-18 22:27:05,Travel & Local
Gojek - Transportasi & Makanan,Purnomo Nomo,Klo ribet Gua gak pa ke nih,3,2024-10-18 22:05:01,Travel & Local
Gojek - Transportasi & Makanan,Rindyani Ririn,Top bangett sihhh 👍👍👍,5,2024-10-18 21:59:02,Travel & Local
Gojek - Transportasi & Makanan,Nina Wijaya,Tepat waktu,5,2024-10-18 21:50:17,Travel & Local
Gojek - Transportasi & Makanan,Mizzod Aries,Good,5,2024-10-18 21:46:55,Travel & Local
Gojek - Transportasi & Makanan,Wahyudi T Prayitno,Kasian driver cuma di jadikan robot gojek buat pencetak cuan...miris.,5,2024-10-18 21:44:48,Travel & Local
Gojek - Transportasi & Makanan,Mamat Cassanova,Daerah Parung kebanyakan pada nolak orderan,2,2024-10-18 21:44:16,Travel & Local
Gojek - Transportasi & Makanan,Nurul Qamariyah,Selalu bisa di andalkan,5,2024-10-18 21:39:32,Travel & Local
Gojek - Transportasi & Makanan,Jona Jonatha,Agak males sih soalnya daftar nya pake nomer ribet,2,2024-10-18 21:39:28,Travel & Local
Gojek - Transportasi & Makanan,ANDRI WIBOWO,"Mohon gojek bagi driver yang gak mau nerima gocar hemat langsung di sanksi, hari ini saya pesan sampai 2 kali sama driver di cancel, dan 1x drivernya malah gak respon dan lokasinya menjauh agar saya yang ngeklik cancel. Padahal saya pelanggan setia aplikasi gojek, kalau begini terus bisa2 pindah aplikasi lain semua..",2,2024-10-18 21:35:11,Travel & Local
Gojek - Transportasi & Makanan,ryanfadil irama,apk gjls masa gua mesenin istri gojek alamat rumah gua gabisa kedetect,1,2024-10-18 21:32:51,Travel & Local
Gojek - Transportasi & Makanan,Naufal Haddad,Maaf akun saya kok dibekukan dan maaf saya gak akan memakai aplikasi ini lagi maaf ya,1,2024-10-18 21:29:53,Travel & Local
Gojek - Transportasi & Makanan,RXDOO __,"Minta tolong blgnya dong. Aku pesen dimana, titiknya dimana. Aku pesen gofood katanya gojek lagi sibuk tapi tiba2 ada yang ngirim. Entah ini bug atau gimana minta tolong benerin. Ngerugiin banget sumpah.",3,2024-10-18 21:27:44,Travel & Local
Gojek - Transportasi & Makanan,Skyy,okwhh,4,2024-10-18 21:23:40,Travel & Local
Gojek - Transportasi & Makanan,Riko Leo,Mantap,5,2024-10-18 21:11:59,Travel & Local
Gojek - Transportasi & Makanan,Qurota A'yun,"Tolong ya gojek kasih solusi terkait sistem untuk mencari driver gofood. Saya gatau sistem di driver bagaimana, tpi sering banget driver ini entah kepencet atau gimana, di chat ga dibales, gk kasih info apa², nunggu hampir sejam tiba-tiba ganti driver. Makanan saya sering bgt dateng dingin dan udah gaenak. Mau komplain dan kasih bintang 1 ke driver juga gabisa karena beliau bukan driver yang awal, ke resto juga bukan tanggung jawab mereka.",1,2024-10-18 21:07:36,Travel & Local
Gojek - Transportasi & Makanan,Chairul Annam,Sangat membantu,5,2024-10-18 21:05:07,Travel & Local
Gojek - Transportasi & Makanan,Wetrezz Mrjunky,Promo gofood tidak masuk akal,1,2024-10-18 21:03:47,Travel & Local
Gojek - Transportasi & Makanan,Naila Putri,Gojek kenapa sie sekarang mapnya milih yang muter kan jadi lebih jauh dah mahal,4,2024-10-18 21:01:42,Travel & Local
Gojek - Transportasi & Makanan,CV AM JAYA OTOMOTIF BENGKEL MOBIL TIBAN,Bikin lama pesanan aja anjjjjnk... 10tahun pake gojek. Baru skarang kayak taeeeeeek,1,2024-10-18 20:54:09,Travel & Local
Gojek - Transportasi & Makanan,Alamsyah Kurnia,Good,5,2024-10-18 20:54:02,Travel & Local
Gojek - Transportasi & Makanan,sendi get,Knapa notifikasi pesanan ga muncul ya?,4,2024-10-18 20:45:36,Travel & Local
Gojek - Transportasi & Makanan,Risma Riana,Bagus dan cepat,5,2024-10-18 20:43:58,Travel & Local
Gojek - Transportasi & Makanan,Maria Efrita,Sistem aplikasi cacat. SDM mitranya sialan semua. KUALITAS JASA SANGAT BURUK,1,2024-10-18 20:25:58,Travel & Local
Gojek - Transportasi & Makanan,Nabila Siti,"gojek keren banget. drivernya cepet sampai, selalu ada promo. drivernya banyak yang ramah, tapi ada juga driver yg buruk, dia marah karena saya kasih 6rb (padahal dapet harga promo kemerdekaan) dan dia ngga terima saya kasih uang 100 perak (jumlahnya 5 jadi 500) katanya ga berlaku. akhirnya saya kasih lebih dan dia bilang ngga ada kembalian. saya fine"" aja dan pas masuk ke rumah saya ngedenger dia ngedumel. sepanjang perjalanan juga bikin degdegan karena bawanya hampir kena motor/mobil lain.",5,2024-10-18 20:24:42,Travel & Local
Gojek - Transportasi & Makanan,Welchan Luchan,"Fitur"" memuaskan banyak diskon",4,2024-10-18 20:21:00,Travel & Local
Gojek - Transportasi & Makanan,Ucok Tobing,exelent,5,2024-10-18 20:08:26,Travel & Local
Gojek - Transportasi & Makanan,Kim Jong Un,"LENGAH DIKIT UDAH 14 TAHUN AJA Gak berasa, udah 14 tahun kita bersama xD Dulu, …mesen ojek mesti ke gang depan, …delivery cuman bisa berapa restoran, …ngirim barang nyampenya gak instan. Sekarang, lengah dikit, …ojek dateng, laper ilang, paket nyampe, …ke luar negeri dikit, kangen GoRide, kangen GoFood, kangen GoSend, …ehh tau-tau, udah 14jt+ km (rasa-rasanya sih) kita ngaspal :3 PERBAIKI AJA DULU APLIKASINYA, BIKIN RESPONSIF DAN TIDAK MEMBINGUNGKAN USER! LENGAH DIKIT USER PINDAH KE SEBELAH!",1,2024-10-18 20:05:37,Travel & Local
Gojek - Transportasi & Makanan,Edwin Mosart,good,5,2024-10-18 20:02:46,Travel & Local
