appName,userName,reviews,rating,at,category
Google Gemini,Thomas Maskap,Baik & okey,5,2024-10-18 23:27:58,Productivity
Google Gemini,Zai nuri,mantap,5,2024-10-18 23:10:12,Productivity
Google Gemini,Pramudia Fajar,bagus,5,2024-10-18 23:01:41,Productivity
Google Gemini,Widya Astuti,sangat membantu! sukses terus Gemini thank you!,5,2024-10-18 22:57:54,Productivity
Google Gemini,gtw 93,keren sih ..,5,2024-10-18 22:48:39,Productivity
Google Gemini,nur faizah,"Dulu awal coba bagus tapi jujur ga suka sama versi sekarangnya pernah nanya pertanyaan yang sama sepeeti sebelumnya yg dulu bisa di jawab tapi sekarnag ga bisa, dan😓 alasan lainnya karna jawabn nya kurang memuaskan jadi untuk itu saya kasih nilai 1/5",1,2024-10-18 22:13:05,Productivity
Google Gemini,Mia Yulianti,menyenangkan,5,2024-10-18 21:58:28,Productivity
Google Gemini,Yuniarto Wibowo,sangat membantu,5,2024-10-18 21:49:41,Productivity
Google Gemini,Yustex Rebam,Terima aksih,5,2024-10-18 21:41:29,Productivity
Google Gemini,MadMad,good 👍,5,2024-10-18 21:25:18,Productivity
Google Gemini,Abas Denis,sangat membantu sekali cocok untuk pemula,5,2024-10-18 21:23:36,Productivity
Google Gemini,Gladis Zulfa,karna bisa membantu mengerjakan tugas,5,2024-10-18 21:13:07,Productivity
Google Gemini,Aufa Maharani,bagus 👍👍,5,2024-10-18 21:12:57,Productivity
Google Gemini,putra wibawamulya channel,coba,5,2024-10-18 21:11:22,Productivity
Google Gemini,Ary Nizar,"Yang mau berlangganan fikir fikir dulu ya. Biayanya mahal dan buruk tanggapan bot nya. Untuk trial 1 bulan bisalah. Habis tu jangan, bagus ke chtgpt atau lainnya, biayanya hampir mirip.",1,2024-10-18 21:00:22,Productivity
Google Gemini,Muhammad Suhaimi,"Apk yg bagus,Saya Suka",4,2024-10-18 20:40:30,Productivity
Google Gemini,Riski Bakay,baguss,5,2024-10-18 20:33:26,Productivity
Google Gemini,Panji Kurniawan,ya sangat membantu untuk di jadikan bahan mencari referensi dan informasi,4,2024-10-18 20:31:51,Productivity
Google Gemini,Fifin Fidiawanto,bagus,5,2024-10-18 20:31:11,Productivity
Google Gemini,Hendri,bagus,5,2024-10-18 20:30:47,Productivity
Google Gemini,Kausar Al Ghiffary,gud,5,2024-10-18 20:23:09,Productivity
Google Gemini,Naura Yasa,"lumayan buat belajar dan praktis buat yang mals nyari soal di berfungsi banget si, mb nya dikit, ga ada iklan, ga error, &enak buat belajar tapi aku kasi 4bintang doang😅🙏",4,2024-10-18 20:18:13,Productivity
Google Gemini,Muhammad Nur Hidayat SS,Sangat bagus dan lengkap penjelasan nya,5,2024-10-18 20:07:07,Productivity
Google Gemini,rosadalimadhua nonggi,Sangat membantu dan menambah wawasan,5,2024-10-18 19:55:50,Productivity
Google Gemini,Nay Hidayah,k gskaglagkh,4,2024-10-18 19:44:17,Productivity
Google Gemini,Amanda Dwilestari,bagus,5,2024-10-18 19:23:38,Productivity
Google Gemini,Egi Aldiansyah,bagusss bangettt cuyyyy,5,2024-10-18 19:22:04,Productivity
Google Gemini,Linda Aprianti,sangat membantu,5,2024-10-18 19:18:43,Productivity
Google Gemini,FADHIL,Bagus,5,2024-10-18 19:02:22,Productivity
Google Gemini,Nathan Gamer,ga bisa buat gambar,1,2024-10-18 18:54:59,Productivity
Google Gemini,Muhamad Dani,bagus,4,2024-10-18 18:46:42,Productivity
Google Gemini,AHMAD REFENDI,apk top,5,2024-10-18 18:43:55,Productivity
Google Gemini,raka destama,bagus,5,2024-10-18 18:38:33,Productivity
Google Gemini,JURNI LAUTETU,Aplikasi ini sangat berguna,5,2024-10-18 18:28:20,Productivity
Google Gemini,Vian Reptyrect93,"Teman ngobrol dikala stress, trimakasih",5,2024-10-18 18:20:13,Productivity
Google Gemini,Bank Hr,good...,4,2024-10-18 18:18:21,Productivity
Google Gemini,Unknow,"Overall udh bagus semua, gada kekurangan, yang kurang cuman fitur ingatan",5,2024-10-18 18:01:00,Productivity
Google Gemini,Ramalan situmorang Situmorang,bagus,5,2024-10-18 17:25:54,Productivity
Google Gemini,Ema Herlina,aplikasi keren dan sangat bermanfaat,5,2024-10-18 16:43:46,Productivity
Google Gemini,Ari Septiadi Nauli,"Mahal doang, fitur masih banyak yang kurang,,kalau masih coba-coba harga harusnya menyesuaikan fungsi aplikasi, jangan cuma pengen untung besar doang tapi layanannya ga sebanding",1,2024-10-18 16:41:30,Productivity
Google Gemini,Vanpetra 10,mantap aplikasi,2,2024-10-18 15:12:11,Productivity
Google Gemini,Cok Alit,keren,5,2024-10-18 15:06:13,Productivity
Google Gemini,Zaky Raihan,app bangsat,1,2024-10-18 14:56:30,Productivity
Google Gemini,Jamiludin,aplikasi yg sangat membantu bagus sekali terimakasi,5,2024-10-18 14:50:51,Productivity
Google Gemini,Hendri Arif,membantu dalam mengembangkan ide,5,2024-10-18 14:40:48,Productivity
Google Gemini,Ali Arifin,sangat membantu 🤝,5,2024-10-18 14:39:20,Productivity
Google Gemini,Syukron Malik,kereeeen,5,2024-10-18 14:29:53,Productivity
Google Gemini,Da Vicon,sangat membantu sekali,5,2024-10-18 13:53:08,Productivity
Google Gemini,abhe maz,semoga ditingkatkan lagi,5,2024-10-18 13:40:43,Productivity
Google Gemini,Ma'mun Syukron,jos,5,2024-10-18 13:37:40,Productivity
Google Gemini,Oming Nicu,Aku tidak suka perubahan suara Google Gemini aku suka suara yang seperti semula aku tidak suka suara yang berubah,1,2024-10-18 13:29:22,Productivity
Google Gemini,Habibffplg 926,Bagus banget,5,2024-10-18 13:27:28,Productivity
Google Gemini,rangga septian,aplikasi ai yang sangat bagus,5,2024-10-18 12:52:33,Productivity
Google Gemini,mahen,"secara keseluruhan aplikasi gemini sangat bagus dan membantu saat ini. tapi untuk developer, mohon tambahkan fitur ""memori"" seperti pada ""ChatGPT"". ini membantu agar dapat mengingat apa yang di inginkan pengguna. contohnya seperti jawaban yang singkat, padat, dan jelas agar di setiap sesi, pengguna tidak terus-terusan meminta jawaban yang di inginkan.",5,2024-10-18 12:34:01,Productivity
Google Gemini,GERARDUS SETIADI,sangat membantu,5,2024-10-18 12:06:44,Productivity
Google Gemini,Adetria Halim,mantap,4,2024-10-18 12:03:32,Productivity
Google Gemini,FAHRI GAMING,baguss,5,2024-10-18 11:20:19,Productivity
Google Gemini,Yunus Harahap,Mantap,5,2024-10-18 11:01:09,Productivity
Google Gemini,yuyun amiek,sangat membantu untuk mencari solusi,5,2024-10-18 10:55:17,Productivity
Google Gemini,Ar Fandey,nice,3,2024-10-18 10:28:42,Productivity
Google Gemini,Krinius Klaping,sangat membantu,5,2024-10-18 10:20:40,Productivity
Google Gemini,elviana winasari,coba dulu,4,2024-10-18 10:20:28,Productivity
Google Gemini,Ereysela Pudinaung,jawaban yang kita cari cepat banget akan muncul,5,2024-10-18 09:59:05,Productivity
Google Gemini,Burunghantu Potter,Sangat membantu saya,5,2024-10-18 09:43:43,Productivity
Google Gemini,elisabeth Serra Eka putri,l love gemini,5,2024-10-18 09:31:02,Productivity
Google Gemini,Dewi Ratnasari,sangat mudah di gunakan dan sangat membantu,4,2024-10-18 09:21:57,Productivity
Google Gemini,Oppo A18,Baru dnlwod,1,2024-10-18 09:10:31,Productivity
Google Gemini,Riyandha Yudha,its working,5,2024-10-18 09:06:35,Productivity
Google Gemini,Rizky fernando,apknya sangat bagus untuk ngobrol dan mencari alternatif lainnya,5,2024-10-18 08:58:50,Productivity
Google Gemini,Subastian (Ian),sangat membantu kerennn,5,2024-10-18 08:16:52,Productivity
Google Gemini,Erni Septia,bagus,5,2024-10-18 08:16:33,Productivity
Google Gemini,Dyundun Ruuun,jelek,1,2024-10-18 08:01:49,Productivity
Google Gemini,Imam Malik,kereeen,5,2024-10-18 07:56:33,Productivity
Google Gemini,Ahmad Yani,mantap,5,2024-10-18 07:56:09,Productivity
Google Gemini,Gunawan Stones,semoga menjadi baik untuk semua,5,2024-10-18 07:54:40,Productivity
Google Gemini,Miden Antonius,saya suka aplikasi ini,5,2024-10-18 07:32:22,Productivity
Google Gemini,Ade Fitriansah,AI yang sangat bisa diandalkan saat ide lagi mentok,5,2024-10-18 07:29:20,Productivity
Google Gemini,Arlan Latief,smart,5,2024-10-18 07:25:29,Productivity
Google Gemini,elin adu,GEMINI sangat membantu saya,5,2024-10-18 07:22:58,Productivity
Google Gemini,Rachman,bagusss,4,2024-10-18 07:10:27,Productivity
Google Gemini,Ahza Wisam,keren banget,5,2024-10-18 06:44:41,Productivity
Google Gemini,Arverlyta lyta,sangat baguss,5,2024-10-18 06:43:59,Productivity
Google Gemini,Sardiwan Simanjuntak,kren,5,2024-10-18 05:52:55,Productivity
Google Gemini,Kangmas Collection (Kangmas Soeyanto Channel),Terbaik,4,2024-10-18 05:14:13,Productivity
Google Gemini,Reza setiawan Ihsan fadhilah,bisa lebih baik lagi,4,2024-10-18 04:59:10,Productivity
Google Gemini,Nani Andriani,sangat membantu,5,2024-10-18 04:53:59,Productivity
Google Gemini,Baja Hitam,sangat membantu,5,2024-10-18 04:20:34,Productivity
Google Gemini,HENGKI ROTAMA,"membantu,sangat puas",5,2024-10-18 03:19:41,Productivity
Google Gemini,SULUNG PAMBRASTO,"Aplikasinya mantul banget, deh!!!!",5,2024-10-18 01:49:51,Productivity
Google Gemini,Muztard,good enough,3,2024-10-18 01:31:47,Productivity
Google Gemini,Herman Ac (Sidimpuan jaya ac),mantap,5,2024-10-18 01:03:04,Productivity
Google Gemini,M. Ridwan Ali,"Lumayan lah AI nya, tapi yg cukup merepotkan adalah harus berpindah pindah dari google assistant ke gemini, padahal saya masih membutuhkan google assistant. Kalau aja tidak perlu mengubah atau menjalankan aplikasinya secara mandiri itu lebih bagus",5,2024-10-17 22:45:49,Productivity
Google Gemini,Versen Meo,teriamakasih untuk pembuat aplikasi karna sudah membantu,5,2024-10-17 22:32:10,Productivity
Google Gemini,Aldrin Symu,Masih butuh banyak peningkatan.,3,2024-10-17 22:31:23,Productivity
Google Gemini,Martha pardede,can keep a secret 😎,5,2024-10-17 22:09:02,Productivity
Google Gemini,maulana alg,tingkatkan,4,2024-10-17 22:05:05,Productivity
Google Gemini,Hastromijaya S.pd K,sangat membantu,5,2024-10-17 22:03:55,Productivity
Google Gemini,Ida Nubatonis,jawaban nya sedikit kurang tepat sih tapi sudah lumayan baik,1,2024-10-17 21:47:11,Productivity
Google Gemini,Assah Silfa,Bagus,5,2024-10-17 21:46:02,Productivity
Google Gemini,Muhamad risky,mantulll,5,2024-10-17 21:43:43,Productivity
