appName,userName,reviews,rating,at,category
"GoPay: Transfer, Bayar, Tabung",Tonni K,"Go pay, emang oke 👌👍👍",5,2024-10-18 23:25:17,Finance
"GoPay: Transfer, Bayar, Tabung",Arie Xl,Bagus skali,5,2024-10-18 23:22:07,Finance
"GoPay: Transfer, Bayar, Tabung",Endha Dipha,Awal yang bagus.. semoga goopay tdk mengecewakan..,4,2024-10-18 23:21:47,Finance
"GoPay: Transfer, Bayar, Tabung",#-allangabe -fox#,pertahankan,5,2024-10-18 23:18:21,Finance
"GoPay: Transfer, Bayar, Tabung",Kasman Simanjuntak (Kasman simanjuntak),(Baros batak toba juntak sunda minang),5,2024-10-18 23:10:34,Finance
"GoPay: Transfer, Bayar, Tabung",Muhidin Asep,Mntap,5,2024-10-18 23:03:12,Finance
"GoPay: Transfer, Bayar, Tabung",Heru Din,Trimakasih,5,2024-10-18 22:59:35,Finance
"GoPay: Transfer, Bayar, Tabung",Mad Rudi,sangat bagus,5,2024-10-18 22:51:15,Finance
"GoPay: Transfer, Bayar, Tabung",Puji Jackoe,Trimakasih,5,2024-10-18 22:50:54,Finance
"GoPay: Transfer, Bayar, Tabung",Rasika terbaik Danyandra waw,Mudah terpercaya,5,2024-10-18 22:49:59,Finance
"GoPay: Transfer, Bayar, Tabung",Hari Hamka Jatnika,mantaffff,5,2024-10-18 22:44:39,Finance
"GoPay: Transfer, Bayar, Tabung",Nofri Nofri,bagus,5,2024-10-18 22:36:17,Finance
"GoPay: Transfer, Bayar, Tabung",Dika Ganteng,Aplikasi yah kenapah mental terus saat qr ambil poto mohon perbaiki sayah kasih bintang 4 dulu,4,2024-10-18 22:29:45,Finance
"GoPay: Transfer, Bayar, Tabung",Raid88,Terjamin dan terbaik,5,2024-10-18 22:21:25,Finance
"GoPay: Transfer, Bayar, Tabung",Zhona Bhuta,sangat membatu,4,2024-10-18 22:19:26,Finance
