appName,userName,reviews,rating,at,category
GoTube: Pemutar Video & Musik,Sahrial Iyal,Mantap,5,2024-10-19 00:36:38,Entertainment
GoTube: Pemutar Video & Musik,Ramadon Madon,Ok,5,2024-10-19 00:28:03,Entertainment
GoTube: Pemutar Video & Musik,Rizwan Lapendozz357,Keren banget,4,2024-10-19 00:12:31,Entertainment
GoTube: Pemutar Video & Musik,Aditya Arianto,Mantap,5,2024-10-19 00:04:30,Entertainment
GoTube: Pemutar Video & Musik,Wahyudi Yudi,Bagus,5,2024-10-19 00:01:34,Entertainment
GoTube: Pemutar Video & Musik,Isti Ibra,"katanya tidak ada iklan,ternyata banyak sekali iklan judi online gak pentingnya saat masuk ke aplikasi ini.maaf ya cuma dapat 1 bintang.",1,2024-10-18 23:57:45,Entertainment
GoTube: Pemutar Video & Musik,Haikal Saputra,Sangat menyenangkan,5,2024-10-18 23:44:26,Entertainment
GoTube: Pemutar Video & Musik,Rendi Anto,Oke banget,4,2024-10-18 23:35:58,Entertainment
GoTube: Pemutar Video & Musik,Dedi Ahmad zunaedi,bagus pisan ini mah cocok sesuai dengan keinginan.. oke..!!,5,2024-10-18 23:35:24,Entertainment
GoTube: Pemutar Video & Musik,Jafar Abdu Latief,Menonton iklan bukan masalah. Namun waktu dan penempatan iklan pada update saat ini sangat menyebalkan.,2,2024-10-18 23:33:52,Entertainment
GoTube: Pemutar Video & Musik,Duri,Keren,5,2024-10-18 23:24:04,Entertainment
GoTube: Pemutar Video & Musik,Kude Kicau,"Ko GK bisa d buka go tube nya,malah msuk ke google ke FB... Knp...???",1,2024-10-18 23:20:39,Entertainment
GoTube: Pemutar Video & Musik,Sis Wanto,Iklan sangat mengganggu Go tube makin hari makin sampah isinya,1,2024-10-18 23:18:42,Entertainment
GoTube: Pemutar Video & Musik,Bojes Sasongko,Mulai kebanyakan iklan,2,2024-10-18 23:15:08,Entertainment
GoTube: Pemutar Video & Musik,Safa Manis,Tidak ada,5,2024-10-18 23:14:13,Entertainment
GoTube: Pemutar Video & Musik,Ade Ade,Yah,5,2024-10-18 23:11:05,Entertainment
