appName,userName,reviews,rating,at,category
Grab - Taxi & Food Delivery,Kadek sueca,cara pembatalan pesanan tidak tersedia,1,2024-10-19 00:43:46,Travel & Local
Grab - Taxi & Food Delivery,Budi Silpianto,baru pertama menggunakan app grab ga mengecewakan,5,2024-10-19 00:38:30,Travel & Local
Grab - Taxi & Food Delivery,Fathan,"Sudah mulai Bagus dari segi tampilan, tapi promonya tidak seperti dulu ada yang 24 jam",5,2024-10-19 00:01:15,Travel & Local
Grab - Taxi & Food Delivery,angga nugroho,Wah jarak deket pilih hemat menunggunya 1 jam 30 menit. Standart tarif 16 rb prioritas 19 rb. Wes unistal ae apk iki gak guna blas. Saat datang makanan dingin. Terus yak apa maksudmu grab.,1,2024-10-18 23:56:11,Travel & Local
Grab - Taxi & Food Delivery,Ronin,buruk lupa pin malah nunggu stel ulang lama akhirnya aku hapus ganti gojek,1,2024-10-18 23:39:50,Travel & Local
Grab - Taxi & Food Delivery,Wisnu anggollo,"kusus mlm ini, buka searlok knp ga bs ke grab, mlh nyuruh mulu alamat tujuan?",2,2024-10-18 23:00:44,Travel & Local
Grab - Taxi & Food Delivery,Brian Natanael20,terimakasih,5,2024-10-18 22:53:40,Travel & Local
Grab - Taxi & Food Delivery,Hani Hani,ok,5,2024-10-18 22:37:20,Travel & Local
Grab - Taxi & Food Delivery,Rahma Yanti,"grab sekarang jdi gini ya???pesen makanan aja nunggu nya sampe setengah jam dengan notif pesanan kamu diterima,mesen jam 10 dipastikan datangnya jam 10 lebih 40 tolong kalo misalkan kaya gini tuh diperbaiki dong jangan dibikin lama sampe setengah jam nungguin makanan lagi laper2 nya tapi harus nunggu lagi setengah jam",1,2024-10-18 22:22:30,Travel & Local
Grab - Taxi & Food Delivery,Galih Sudarman,Sering dapet harga murah,5,2024-10-18 22:02:52,Travel & Local
Grab - Taxi & Food Delivery,Heri Hariyanto,safety driving 👍,5,2024-10-18 22:02:48,Travel & Local
Grab - Taxi & Food Delivery,Devi ayu Nur widyawati,baik,5,2024-10-18 22:00:24,Travel & Local
Grab - Taxi & Food Delivery,Anya Chandra,mantap,5,2024-10-18 21:57:17,Travel & Local
Grab - Taxi & Food Delivery,faridatun nuriyah,mantap,4,2024-10-18 21:49:29,Travel & Local
Grab - Taxi & Food Delivery,YanTian 214,Apalh ini grab pesenanmu sudah diterima,1,2024-10-18 21:46:39,Travel & Local
Grab - Taxi & Food Delivery,Muh Zar,okke trimakasih bnyak mas sangat memuaskn,5,2024-10-18 21:37:20,Travel & Local
Grab - Taxi & Food Delivery,LNN,"Kenapa tidak bisa masuk ? Hanya bertuliskan verifikasi ovo, lanjut gagal , dan lewati verifikasi akan terhapus akun grab, apa sdh ada yang lain gunakan akun grab saya?",3,2024-10-18 21:25:54,Travel & Local
Grab - Taxi & Food Delivery,Muhammad Nazri,Good,5,2024-10-18 21:24:09,Travel & Local
Grab - Taxi & Food Delivery,Moza Sary,sangat baik,5,2024-10-18 21:16:23,Travel & Local
Grab - Taxi & Food Delivery,Srining Rahayu,baik,5,2024-10-18 21:13:40,Travel & Local
Grab - Taxi & Food Delivery,TS Jeni,bagus sesuai waktu,5,2024-10-18 21:12:04,Travel & Local
Grab - Taxi & Food Delivery,Viiecky chanel,good,5,2024-10-18 21:01:25,Travel & Local
Grab - Taxi & Food Delivery,Ali Mansur,good,5,2024-10-18 20:31:38,Travel & Local
Grab - Taxi & Food Delivery,Nabila 03,Aplikasi aneh gak guna selalu saja ada komplen,1,2024-10-18 20:28:57,Travel & Local
Grab - Taxi & Food Delivery,Black Devil,"Kenapa di driver ongkir nya murah, dan pas saya pesan food malah kena ongkir mahal dan ada pajak segala,",2,2024-10-18 20:28:42,Travel & Local
Grab - Taxi & Food Delivery,Beni Satrio,mantap,5,2024-10-18 20:23:15,Travel & Local
Grab - Taxi & Food Delivery,Nia Cantik,Ya bener sihh ongkir murah kalau pesen makan tp ya gaa harus nunggu lebih dari satu jam jugaa buat pengantaran aja,1,2024-10-18 20:21:22,Travel & Local
Grab - Taxi & Food Delivery,Suratman Man,Aku puas dengan pelayanan aplkasi grab,5,2024-10-18 20:16:48,Travel & Local
Grab - Taxi & Food Delivery,Novita Megasari,keren grab mah,5,2024-10-18 19:51:54,Travel & Local
Grab - Taxi & Food Delivery,Sabrina Yuniati,pelayanan ramah,5,2024-10-18 19:39:46,Travel & Local
Grab - Taxi & Food Delivery,Mursalim dg tutu,kendaraan bersih,5,2024-10-18 19:28:49,Travel & Local
Grab - Taxi & Food Delivery,Febry Tree Boy,mantap,5,2024-10-18 19:12:40,Travel & Local
