appName,userName,reviews,rating,at,category
Identitas Kependudukan Digital,Kim Red,Gak guna online kok Harus scan ke dukcapil,1,2024-10-19 01:16:52,Productivity
Identitas Kependudukan Digital,Jaka,Terima kasih tok baénlah...,5,2024-10-18 23:07:42,Productivity
Identitas Kependudukan Digital,Muhammad S,ok lancar,5,2024-10-18 21:26:48,Productivity
Identitas Kependudukan Digital,Farid Hariyadi,Sangat membantu,5,2024-10-18 19:50:52,Productivity
Identitas Kependudukan Digital,Sunyoto Widodo,Hebat,5,2024-10-18 16:57:28,Productivity
Identitas Kependudukan Digital,Wawan Petong,Dan and yg pnting SC😜🤓,4,2024-10-18 16:22:42,Productivity
Identitas Kependudukan Digital,BoT gaming,Sangat mengecewakan aplikasi tidak bisa di buka dengan alasan terjadi kesalahan koneksi,1,2024-10-18 15:37:10,Productivity
Identitas Kependudukan Digital,Sigit Nugraha,Aplikasi online tp harus dtg ke kantor hadeh... Tolong di benahi sistem nya,1,2024-10-18 15:00:54,Productivity
Identitas Kependudukan Digital,Denny kesaulya,Mereka sedang berpikir gimana cara nya ngeruk uang negara,1,2024-10-18 12:07:29,Productivity
Identitas Kependudukan Digital,May Yuniarsih,"Ga jelas bgt app, masa kudu QRcode...dimana2 klo online mah ga ush hrs dtg ke dukcapil QRcode , sama aja itu mah kudu jln ke dukcapil...",1,2024-10-18 11:35:14,Productivity
Identitas Kependudukan Digital,Iswinarno Iswinarno,"Aplikasi gk jelas,masa aplikasi dr pemerintah kayak gini....aplikasi gk ada gunanya...",1,2024-10-18 11:34:01,Productivity
Identitas Kependudukan Digital,Muhammad Abdur Rosyid,"Ini 1 hp buat 1 identitas? Kalo ada 5 orang berarti butuh 5 hp gitu? Yaelah emang ya tipikal aplikasi pemerintah itu ribet nyusahin masyarakat. Benerin dulu deh birokrasimu, grusak grusuk jadi digital padahal kalo mau ngapa ngapain suruh fotokopi KTP. Oh ya yakin nih data aman? Ga jebol lagi, ujung ujungnya juga data masyarakat ke leak ke publik",1,2024-10-18 11:20:35,Productivity
Identitas Kependudukan Digital,Angga hardian,Jelek error terus,1,2024-10-18 01:14:29,Productivity
Identitas Kependudukan Digital,Andi Bopih,Bagus,5,2024-10-18 01:06:25,Productivity
Identitas Kependudukan Digital,Adi Purwanto,Aplikasi bangke.mau login jaringan gagal Mulu.njir..emang.,1,2024-10-18 00:08:51,Productivity
Identitas Kependudukan Digital,Tendek 028,sangat membantu bgus,5,2024-10-17 23:52:51,Productivity
Identitas Kependudukan Digital,Citra pratiwi,"Gabisa dibuka , aplikasi jelek",1,2024-10-17 23:26:50,Productivity
Identitas Kependudukan Digital,Pak Martono,udah instal IKD kok gk bisa dibuka!!? udah di ulang tetap gk bisa di buka!!?,1,2024-10-17 23:17:58,Productivity
Identitas Kependudukan Digital,Usnandar ndar,Buruk sekali,1,2024-10-17 23:09:42,Productivity
Identitas Kependudukan Digital,Hanan Athayazidan,Terjadi kesalahan koneksi terus,1,2024-10-17 22:45:45,Productivity
Identitas Kependudukan Digital,Sum Mini,"Kenaa tidak bisa di akses, dan gangguan? Seharusnya bila sedang ada gangguan di muat di halaman awal aplikasi saat di buka",1,2024-10-17 22:45:39,Productivity
Identitas Kependudukan Digital,MAISYARO sharo,Aplikasi apa ini? Sudah tidak bisami dipake lagi. Padahal utu hari antrian panjang buat daftar ini. Sepertinya belum terlalu siap pemerintahnya untuk menggunakan apliaksi online,1,2024-10-17 22:44:51,Productivity
Identitas Kependudukan Digital,Pedro Marja,Bagus,5,2024-10-17 22:14:37,Productivity
Identitas Kependudukan Digital,Raffi Risandi,aplikasi tolol kaga bisa dibuka,1,2024-10-17 22:07:16,Productivity
Identitas Kependudukan Digital,Firmansyah,"Aplikasi broken, tidak bisa login. Selalu ada notif terjadi kesalahan koneksi, dan ini tidak kunjung diperbaiki. Tolong developer, ini aplikasi segera perbaiki. Anggaran saja yang besar, maintenance 0.",1,2024-10-17 21:48:28,Productivity
Identitas Kependudukan Digital,nicky sriwahyuni,"Kenapa setiap aplikasi ini digunakan, tampilan selalu loading,padahal jaringan saya bagus kok,,,susah di gunakan sebagaimana mestinya",1,2024-10-17 21:42:26,Productivity
Identitas Kependudukan Digital,Citra Dia,gak bisa kebuka. terjadi kesalahan koneksi terus. padahal lagi penting.. Mana KK gak ada. parah emang ni app,3,2024-10-17 21:32:45,Productivity
Identitas Kependudukan Digital,EyeTuUki,Suka susah buka aplikasi ktp elektronik atau digital ini.Gangguan terus gak bisa kalau orang sedang ada keperluan mendadak,1,2024-10-17 21:24:09,Productivity
Identitas Kependudukan Digital,Bambang Hermanto,👍👍👍👍,5,2024-10-17 21:22:53,Productivity
Identitas Kependudukan Digital,ichsanul redhoramadan,"Aplikasi gk guna, gk bisa kebuka",1,2024-10-17 21:15:43,Productivity
Identitas Kependudukan Digital,Purnadi 22,mantappp. .,5,2024-10-17 20:55:19,Productivity
Identitas Kependudukan Digital,Hardimansyah Hasibuan,Bagus,4,2024-10-17 19:16:42,Productivity
Identitas Kependudukan Digital,Nurman Developer,Dear Developer. Mohon perhatikan lagi tekait infrastuktur ini terkadang sulit terkoneksi. Dan perihal Layanan Jangan sampai berbulan bulan baru selesai.,1,2024-10-17 18:00:15,Productivity
Identitas Kependudukan Digital,If Kochenk,Apk nya ga bisa dibuka Jadi males,1,2024-10-17 17:53:35,Productivity
Identitas Kependudukan Digital,Ama Deo,Oke,5,2024-10-17 17:33:42,Productivity
Identitas Kependudukan Digital,jongjiman,payah gak bisa login error mulu,1,2024-10-17 17:29:36,Productivity
Identitas Kependudukan Digital,Tatang Tatang,kesalahan koneksi ko bisa.padahal wifi data aktiv,1,2024-10-17 17:29:11,Productivity
Identitas Kependudukan Digital,Mangrifatun Solehah,"Sangat cocok untuk yang baru lahir dsn batu nikah urus semua online,",5,2024-10-17 17:20:17,Productivity
Identitas Kependudukan Digital,kentum delpan,Engga bisa terhubung,4,2024-10-17 17:15:59,Productivity
Identitas Kependudukan Digital,Dewi Nurul Ikhsani,"Saya pakai apk ini karena data yg dikasih dukcapil digital, tapi malah kesalahan koneksi terus ga bisa di buka. Bukannya jadi mudah malah tambah susah pakai apk kaya gini, jelek sekali.",1,2024-10-17 17:12:58,Productivity
Identitas Kependudukan Digital,ahmad gozali,"Aplikasi gak bisa dibuka,",1,2024-10-17 16:56:49,Productivity
Identitas Kependudukan Digital,anggota jalan kucing,"Aplikasi tidak berguna, kesalahan koneksi terus",1,2024-10-17 16:48:02,Productivity
Identitas Kependudukan Digital,Faiz,Kok gak bisa dibuka yaa info nya tidak ada jaringan terus padahal sinyal wifi dan data seluler ada jaringannya,1,2024-10-17 16:15:55,Productivity
Identitas Kependudukan Digital,Michelin,Oke banget,5,2024-10-17 16:06:12,Productivity
Identitas Kependudukan Digital,Mahendra Setya,Gak bisa di buka,1,2024-10-17 16:05:37,Productivity
Identitas Kependudukan Digital,Mismar Baturaja,Parah memang aplikasi sekelas pemerinta kayak gini. Sampah,1,2024-10-17 15:44:32,Productivity
Identitas Kependudukan Digital,Rama Rahmat Kameli,"Online tp tetep harus ke disdukcapil buat minta barcode, apa gunanya aplikasi ini ?",1,2024-10-17 14:59:40,Productivity
Identitas Kependudukan Digital,Ru Di,ok,4,2024-10-17 14:31:33,Productivity
Identitas Kependudukan Digital,Misna 62,Sangat berguna,5,2024-10-17 13:55:43,Productivity
Identitas Kependudukan Digital,Ita Angkut,Aplikasinya sangat membantu kami.,3,2024-10-17 13:52:02,Productivity
Identitas Kependudukan Digital,Joko Ragil,"Kalau mau ganti hp, bagaimana mana Pak mentri??? Minta solusi nya?",3,2024-10-17 12:34:10,Productivity
Identitas Kependudukan Digital,arya bandicot,"Program gak jelas mau ngurus apa2 harus ada ktp fisik urusan bank, pajak, bpjs dll. Bahkan ada tempat2 tertentu yg kalo di kunjungi hrs tahan ktp. Sementara ktp asli harus nunggu 3 bulan lagi proses perbaikan",1,2024-10-17 12:14:55,Productivity
Identitas Kependudukan Digital,M Asep Phalevi,"Barcod nya salah mulu ,padahal udah nyari di gogel tetep salah gimna sih",1,2024-10-17 11:27:02,Productivity
Identitas Kependudukan Digital,Adzkia Puspa Anjari,"Era Digital itu ada untuk memudahkan, tetapi kenapa ini malah mempersulit ya? Maaf aplikasi ini menurut saya ga guna, karena sering bug, QR ga fungsi, koneksi bagus luar biasa aja ini aplikasi gamau konek. Tolong dibenahi kalau memang mau upgrade kualitas pelayanannya, jangan malah downgrade.",1,2024-10-17 10:06:37,Productivity
Identitas Kependudukan Digital,Risti Candra,Aku udah Donglot 2 kali ko hasil nya sama ajh. Gak bisa di daftarin aneh,1,2024-10-17 09:54:33,Productivity
Identitas Kependudukan Digital,Durodi,Yang bikin aplikasi ini siapa si Aplikasi kok lama banget dibukannya gvlok,1,2024-10-17 09:38:46,Productivity
Identitas Kependudukan Digital,Angga Sutrisno,ktp fisik sudah tidak ada tapi ngurus dokumen harus pake ktp fisik mau di swasta atau pemerintahan masih perlu ktp fisik. tolong di selaraskan dengan kebijakan,4,2024-10-17 09:25:44,Productivity
Identitas Kependudukan Digital,Arum Ap Wulan,Ha? Scan QR code di disdukcapil? Situ sehat? Ngapain online kalo tetep harus kesana wkwwkwk,1,2024-10-17 09:20:53,Productivity
Identitas Kependudukan Digital,Abiyu Anwar Hilaldi,Coba... Di permudahkan basos lewat aplikasi KTP DIGITAL INI. seperti DTKS DAN KJP,5,2024-10-17 09:12:36,Productivity
Identitas Kependudukan Digital,Halangbaya Bayan,"Kami merasa bahagia mendengar/melihat bahwa: OM akan segera diresmikan di akhir thn,2024 in",5,2024-10-17 08:58:10,Productivity
Identitas Kependudukan Digital,Prasetyo Sabbur,Sangat membantu,5,2024-10-17 08:13:29,Productivity
Identitas Kependudukan Digital,Kukuh Priambudi,"Lemah, manual gak ke dukcapil, segera dong buatkan e-kyc nya",1,2024-10-17 08:06:09,Productivity
Identitas Kependudukan Digital,Fana Sia,Pelayanan lambat menungggu sampai berjam jam tdk di respon ..contoh kalau mau cetak kk menunggunya lambat sekali .... maaf ya satu bintang,1,2024-10-17 07:53:15,Productivity
Identitas Kependudukan Digital,Dian Pramana,Kenapa tidak bisa di instal di hp saya,1,2024-10-17 04:28:11,Productivity
Identitas Kependudukan Digital,Dani Ridah,Sangat baik,5,2024-10-16 22:49:29,Productivity
Identitas Kependudukan Digital,Rawi Fadilla,"Buang"" kuota kntl apk sampah sama kaya pemerintahnya sampah Cuih, tua Bangka tak tau teknologi Cuih kntl",1,2024-10-16 21:24:48,Productivity
Identitas Kependudukan Digital,Choi Divangga,Sangat inovatif,5,2024-10-16 20:41:08,Productivity
Identitas Kependudukan Digital,Okky Hernanda,APLIKASI SAMPAH!!!!!! BIROKRASI LURING NYA DULU DIBENERIN BARU MERAMBAH KE DIGITAL!!!! PERCUMA BUAT APLIKASI TAPI MASIH HARUS DATANG KE KELURAHAN BUAT MINTA BARCODE NYA!!!!! SAMPAH!,1,2024-10-16 19:47:48,Productivity
Identitas Kependudukan Digital,BIGBOSS SULIS,aplikasi tolol,1,2024-10-16 18:55:37,Productivity
Identitas Kependudukan Digital,Erry Kusuma,"Takut ah aktifkan ini, ntar data kecurian kayak kemarin pada bilang bukan kesalahan kami, virus disalahkan, minimal data bisa terjamin pasti kupertimbangkan untuk mengaktifkan, selama belum ada jaminan dari vendor yang kredibel suatu contoh SAMSUNG pake KNOX ada 80% tingkat kepercayaan keamanan data.",1,2024-10-16 18:34:25,Productivity
Identitas Kependudukan Digital,Pipin Dinarti,"BAGI YANG PERANTAU INI SANGAT SULIT ,KALIAN BUAT APLIKASI INI BIAR MUDAH FAKTA NYA KALIAN MEMPERSULIT, DAN KALIAN BUAT APLIKASI DARI UANG RAKYAT.SADAR KALIAN SEMUA DUKCAPIL DI NEGRI INI KALAU TIDAK ADA UANG GAK AKAN JADI ITU YG NAMA NYA KTP KK SEGALA MACAM DOKUMEN.APA HARUS ADA UANG BIAR KALIAN SIGAP TANGGAP .",1,2024-10-16 17:55:01,Productivity
Identitas Kependudukan Digital,Ardi Irasli,Aplikasi gila,1,2024-10-16 16:11:57,Productivity
Identitas Kependudukan Digital,Wire jagat Putra,"Bikin emosi aplikasi ini dah di hapus ja kalau GK gunaaa,padahal sudah masukin kode QR,yg dikasi dukcapil, eh Masi ja bilang invalid token,bikin emosi ja, mana nunggu KTP asli lama,ngurus ini itu harus pakai KTP asli lagi,tolong lah gmna indonesia mau maju,mau nyetak KTP ja harus nunggu berbulan - bulan ..",1,2024-10-16 13:49:22,Productivity
Identitas Kependudukan Digital,Gista Salsabila,"Barcode yg ada, harusnya memunculkan info KTP tapi ini tidak bisa, download ktp digital pun tidak bisa",4,2024-10-16 13:02:49,Productivity
Identitas Kependudukan Digital,Yuslina Afrianto,Mempermuda warganya urusan kepemerintahan dengan onlen,4,2024-10-16 13:00:39,Productivity
Identitas Kependudukan Digital,andita riandini,Gakbisa login padahal disuruh download ini sama orang Capil hemmm meresahkan 😬😬😬,1,2024-10-16 12:51:42,Productivity
Identitas Kependudukan Digital,Shalmeera Thalib,Kenapa tidak bisa di buka lama loadingnya ya install ulang tetap aja susah d buka nya,2,2024-10-16 12:45:41,Productivity
Identitas Kependudukan Digital,Satria Dwi,"Aplikasi aneh. Orang disuruh datang ke dukcapil buat scan QR. Kalau gak siap secara birokrasi, ngapain didigitalkan?",1,2024-10-16 12:26:30,Productivity
Identitas Kependudukan Digital,Anton Pakhoy,Kalo daftarnya aplikasi ini tanpa harus ke kantor Capil baru w kasih bintang 5...,1,2024-10-16 11:18:26,Productivity
