appName,userName,reviews,rating,at,category
Instagram,Adrian,Sangat menyenangkan,5,2024-10-18 23:24:35,Social
Instagram,pro peler,Good,5,2024-10-18 23:24:33,Social
Instagram,Cindy Natalia,Ok,5,2024-10-18 23:24:23,Social
Instagram,Agam Suseno,Ok,5,2024-10-18 23:22:19,Social
Instagram,Diki Wahyudi,Bgus,5,2024-10-18 23:20:52,Social
Instagram,Santok Boy,Terimakasih,1,2024-10-18 23:20:14,Social
Instagram,Aura Phone,Biar bintang yang berbicara,5,2024-10-18 23:18:36,Social
Instagram,Nabilah Khairunnisa,"Sudah berapa hari instagram saya error, postingan, story, akun semuanya loading lama banget, padahal kuota banyak, jaringan bagus. Tolong segera diperbaiki. Terimakasih",1,2024-10-18 23:16:01,Social
Instagram,Dhifa Khaira,Saya tidak bisa follow orang,3,2024-10-18 23:15:01,Social
Instagram,Divoarsy Arsy,Ok,5,2024-10-18 23:14:00,Social
Instagram,Shella Sadega,Bagus sekali,5,2024-10-18 23:08:39,Social
Instagram,Bikas Moum#97,Mantap,5,2024-10-18 23:08:21,Social
Instagram,Farisha Maulida,seruuuu,5,2024-10-18 23:00:42,Social
Instagram,Fakhri maulana,woii kenapaa gabisa direpost apk rusakkkk,1,2024-10-18 23:00:40,Social
Instagram,Agus Thoriq,⭐⭐⭐⭐⭐,5,2024-10-18 23:00:29,Social
Instagram,Jek Jeki,Bguasss banggett efekk,5,2024-10-18 22:55:13,Social
Instagram,Jimmy Saputra,"Sangat mengecewakan instagram seminggu ini, ngelag gk jelas padahal aplikasi lain berfungsi dengan normal dan sinyal aman-aman saja.",1,2024-10-18 22:53:51,Social
Instagram,nawaharahap,okkkk...,5,2024-10-18 22:43:43,Social
Instagram,Fathan Maulana,keren,5,2024-10-18 22:43:31,Social
Instagram,Liza 80,Dari dulu sampai sekarang Aplikasi instagram tetap yang terbaik good aplikasi,5,2024-10-18 22:41:06,Social
Instagram,Jhon Patty,"Bagus ,mmbantu kita mngekspresikan hidup,serta hobi sbgai bentuk partisipasi dlm mmbangun teknologi yg bijak",5,2024-10-18 22:41:01,Social
Instagram,RIC_ GAMING,"Akun saya tiba-tiba hilang terus suruh ngisi kode verifikasi tapi gk di kirim² ke email, solusinya gimana?",2,2024-10-18 22:40:16,Social
Instagram,Rahmawa Yundu,Keren,5,2024-10-18 22:38:33,Social
Instagram,Sinar Wati,saya senang dsini banyak dapat teman,5,2024-10-18 22:35:26,Social
Instagram,Mira Wati,Baik,5,2024-10-18 22:35:04,Social
Instagram,NEO .m,Apk gje mau bikin akun diprsulit pdhl nmr telpon kode ferfikasi udh pas bikin sandi pncet berikutnya mlh gabisa udh dipenct brkli² pun gabisa Nh pas bikin akun pke hp yng berbeda pakai nomr yng sama malah bisa Nh abis itu saya pindahin akun nya ke hp saya masukin kode ferifikasi abis itu dsruh bkin sandi baru pas udh bikin sndi baru tulisanya trjdi kslhn pdhl kode ferifikasi sma nomrnya bnr saya pun mncoba brkli² bikin sandi baru tpi ttp tulisanya trjadi kslhn. Nh pas pke fersi lite mlh bsa anh,1,2024-10-18 22:34:07,Social
Instagram,Muara Uya,"Instagram makin ke sini makin ga ada vrivasi masa aku berbagi akun ini, malah semuanya juga ikutan kebagi",1,2024-10-18 22:33:59,Social
Instagram,Sandi Aja,Ini knpa Intgram lemot sekali ga bisa buka video SG smua lemot udh berapa hari wuy monton,1,2024-10-18 22:32:44,Social
Instagram,mugiyat mugik,"aku suka.dengan apl ini, dan bagus tidak ada masalah, mantap",5,2024-10-18 22:31:16,Social
Instagram,Rangga Mulya,Ini kenapa ig error apa gimana udah lima hari selalu loading gambar gk ada vidio gk ada terus padahal sinyal bagus tolong benerin lagi!!,1,2024-10-18 22:28:39,Social
Instagram,Tedy Efendi,Ini instagram lagi eror apa ya.dr kmren2 buka ig cuma muter2 doank.tolong di perbaiki,3,2024-10-18 22:28:29,Social
Instagram,Riki Alfarizi,"Aplikasi ini sangat membantu saya, ketika waktu luang, maupun dalam waktu yang sibuk, sekalipun.👍👍",5,2024-10-18 22:28:11,Social
Instagram,Muin Kosongtigasembilan,Saya suka,5,2024-10-18 22:25:09,Social
Instagram,muhamad Rio,DERIL,5,2024-10-18 22:24:59,Social
Instagram,Rama Civas,Mamtaap,5,2024-10-18 22:20:25,Social
Instagram,Ahmadin Tea,desbesty,5,2024-10-18 22:16:11,Social
Instagram,mul yadi,Good,4,2024-10-18 22:16:00,Social
Instagram,Rahmat Taufiq,Anearzahid,2,2024-10-18 22:13:49,Social
Instagram,Riski Ramadhan,Saya sukak bagat Instagram ini dan efek bagus bagus sekali☺️😊dan saya kasih bintang 🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟 sepeluh ❤️❤️❤️❤️💖💖💖💖💖💖dan saya kasih Alfiyu sepeluh,5,2024-10-18 22:08:11,Social
Instagram,Jon Satari,Sangat membantu?,5,2024-10-18 22:06:29,Social
Instagram,Ricky Hendra Panjaitan,"Mengapa akun Instagram punya saya tidak bisa lagi FOLLOW(mengikuti) akun-akun orang lain,ya?",1,2024-10-18 22:03:50,Social
Instagram,Aisha Mugni,parahh bagussbbgtttttttttttt,5,2024-10-18 22:01:00,Social
Instagram,Mar Diani,Oke banget,5,2024-10-18 21:57:53,Social
Instagram,Faishal Nurachman,"setelah update semua arsipan malah ga bisa di save ke galeri hp, klo dulu bisa",3,2024-10-18 21:57:51,Social
Instagram,Daniel Sirait,Aplikasi sangat bagus,5,2024-10-18 21:55:48,Social
Instagram,Indri rusdianti,ig ku dak pck dibukak,1,2024-10-18 21:55:33,Social
Instagram,Alif D. Alhaq,Terlalu sering bug,3,2024-10-18 21:53:20,Social
Instagram,Nahwa Ridatul,sangat mudah dipahamai dan digunakan,5,2024-10-18 21:52:37,Social
Instagram,Gamer Legend,Perbaiki chat komentar Instagram yang di batasi min,5,2024-10-18 21:49:46,Social
Instagram,Meivenly Luwuk,akun gua kok di ilang njir padahal ngak nga-ngapain😭,3,2024-10-18 21:44:42,Social
Instagram,Jonet Julianno,"Masih banyak bug, di bio profile saya lagunya tidak bisa muncul",2,2024-10-18 21:44:37,Social
Instagram,Ni'ik,Okay,5,2024-10-18 21:43:47,Social
Instagram,Soffi Putrisalsabila,Untuk fitur Ig nya bagus semua cuman sekarang ini Ig lagi banyak banyak nya iklan ya sedikit saran sih mending untuk apk kayak gini gak usah pake iklan bikin gak nyaman penguna udah gitu iklannya tenang judol lagi kalo bisa hilangkan aja deh iklan nya biar gak ganggu penguna,4,2024-10-18 21:41:47,Social
Instagram,RAZIQ ISKAK,Kenapa ini ada apa ini kenapa coba ngga bisa buat akun,2,2024-10-18 21:40:08,Social
Instagram,ItssMeePii,BAGUS BGT GA BOONG😘🥰😜😋😝,5,2024-10-18 21:39:45,Social
Instagram,Bang Ndaa,mantap,5,2024-10-18 21:35:52,Social
Instagram,darkness symple,Tolong video call nya di kembalikan seperti dulu,3,2024-10-18 21:33:11,Social
Instagram,riky,good very good,5,2024-10-18 21:32:48,Social
Instagram,Yanti Rosmayanti,"Di update malah lemot, udah di uninstal.. di instal lagi tetap muter muter dan ngelag",2,2024-10-18 21:32:04,Social
Instagram,bayu prasetyo,baguuus banget semangat developernya,5,2024-10-18 21:29:36,Social
Instagram,Erfin Rld,please woi Instagram tolong bug ini diperbaiki biar gua bisa upload postingan lebih dari 10 slide anjinggg 🗿,1,2024-10-18 21:29:06,Social
Instagram,metalica aulia,"hi instagram, kenapa akun saya di nonaktifkan padahal saya tidak pernah melanggar larangan, tolong ya balikin akun saya. terimakasih.",2,2024-10-18 21:26:42,Social
Instagram,Teguh Santoso,Sya suka aplikasi ini,5,2024-10-18 21:26:29,Social
Instagram,Febrie Kim,"gw kasih binta5 biar dibaca, kenapa ya dm kok tiba2 ilang²an Dari daftar sih. heran bgt tiba-tiba muncul, tiba-tiba ilang",5,2024-10-18 21:25:51,Social
Instagram,kanayaa,Bagus,5,2024-10-18 21:24:56,Social
Instagram,Alan II,"Gajelas banget apk nya sekarang, postingan foto yg bisa di geser malah gabisa,tapi ada detik nya kaya video,terus nge Scrol ke bawah malah mental keluar dari apk,gajelasssssssssss",1,2024-10-18 21:21:56,Social
Instagram,Fajar S,"Video lama ga bisa diplay, lama2 tambah busuk aja ni IG",1,2024-10-18 21:20:02,Social
Instagram,Shety Viccy Fera,"kadang ga bisa di update,sekali di update ga ada fitur terbaru padahal di hp lain ada fitur barunya,apa ig gw yg eror",2,2024-10-18 21:18:33,Social
Instagram,Layla Laylaanaknyamonton,"Login nya lama, terus jg gak bisa daftar Ig tolong di perbaiki lagi",1,2024-10-18 21:17:40,Social
Instagram,Gunk Jeff,Sangat memuaskan untuk berbagi bersama teman2 & keluarga. Thanks,5,2024-10-18 21:16:50,Social
Instagram,ahmad fauji,Terimakasih,5,2024-10-18 21:15:11,Social
Instagram,IPI DPW 4 Jateng,Saya tidak bisa follow orang,1,2024-10-18 21:14:55,Social
Instagram,Rohmaniyah Masitoh,buriqqq akun gua ga ada fitur komentar di sg ahh buriqq bgttt,1,2024-10-18 21:12:55,Social
Instagram,Hilman Ahmad rosyad,Aplikasi nya ngaco suka lag sendiri mau sampai kapan kek gini kadang suka eror sendiri,1,2024-10-18 21:12:25,Social
Instagram,Imam Satrio,Bagus,5,2024-10-18 21:12:16,Social
Instagram,Owen,tolong diperbaiki dong kenapa Instagram aku ga bisa post foto 16:9 dan ga bisa kolaborasi postingan😩😩😩 udah berkali-kali report problem tapi ga terselesaikan sampe sekarang,3,2024-10-18 21:07:32,Social
Instagram,Buaran 23,Sudah 2 bulan lebih akun saya tidak bisa menggunakan fitur siaran langsung!,2,2024-10-18 21:06:58,Social
Instagram,Anggi Lubis,Mantap,5,2024-10-18 21:04:49,Social
Instagram,Afri Yandi,Mantap,5,2024-10-18 21:04:35,Social
Instagram,Riki Ajhari,Bagus,5,2024-10-18 21:03:44,Social
Instagram,Rahma Danifitriabudi,Kenpa ig ini kalau mau live suka ngak timbul wajah tmn,4,2024-10-18 21:01:22,Social
Instagram,Hendra Hendra,sebenarnya udah lumayan tapi sering banget error mohon tindakan,5,2024-10-18 20:59:38,Social
Instagram,rifky amar,Kadang jaringan full gak bisa liat vidio reel sama gak bisa post stori ceritanya,2,2024-10-18 20:58:39,Social
Instagram,yudha iswanto,"Busukk. Semakin berat, internet lancarpun tetap berat, padahal aplikasi laen lancar jaya. Loading doang di semua menu haha, kusut",1,2024-10-18 20:53:48,Social
Instagram,Hafizd Hanafi Official,Kok eror sistem terus di buka cuma loading aja padahal sinyal penuh & buka apk yg lain aman² aja. Tapi kok instagram loading² terus,1,2024-10-18 20:53:48,Social
Instagram,Haikal Hermawan,baguzssssssssss,5,2024-10-18 20:51:48,Social
Instagram,Rionald Gultom,Mantap,5,2024-10-18 20:50:12,Social
Instagram,Dwi A.P.,"akun saya suka keluar sendiri, tolong keamanan nya ditingkatkan",1,2024-10-18 20:48:18,Social
Instagram,Handayanilagi Handayani,opsional,5,2024-10-18 20:48:17,Social
Instagram,ayesha atqiya,Baguss bangett,5,2024-10-18 20:47:03,Social
Instagram,Jhon Kram,Saya tidak bisah instal aplikasih ini,1,2024-10-18 20:44:59,Social
Instagram,Nisa Alma,Annisa,4,2024-10-18 20:44:23,Social
Instagram,Luh Sumiati,Ga bisa didownload,1,2024-10-18 20:44:09,Social
Instagram,Ahmad Sujani,Ok,5,2024-10-18 20:43:01,Social
Instagram,Doyok Ag,Ok,4,2024-10-18 20:42:02,Social
Instagram,Bisnis Bisnis,Kasih bintang 🌟🌟🌟🌟🌟,5,2024-10-18 20:39:26,Social
Instagram,Rino Sanjaya,sudah update 2x..trus di hapus instal ulang masih gk bisa liat video ma gambar,1,2024-10-18 20:38:59,Social
Instagram,Anissa,"Kurang puas, tidak dapat melakukan siaran langsung, tolong bantu perbaiki 🙏🏻🙏🏻",1,2024-10-18 20:35:47,Social
Instagram,Yudi bm,Buka vidio macet2 trus aneh,2,2024-10-18 20:35:23,Social
Instagram,Atika Salia,Sangat menghibur,5,2024-10-18 20:34:55,Social
