appName,userName,reviews,rating,at,category
Lazada | Bebas Pengiriman,Samsung A05,baik,5,2024-10-19 01:34:50,Shopping
Lazada | Bebas Pengiriman,Radif Zio,good,3,2024-10-19 01:33:10,Shopping
Lazada | Bebas Pengiriman,Andri Andri,good,5,2024-10-19 01:28:53,Shopping
Lazada | Bebas Pengiriman,senna illang,bagus,5,2024-10-19 01:25:54,Shopping
Lazada | Bebas Pengiriman,Abidin Batalipu,belum bisa memberikan informasi,5,2024-10-19 01:03:56,Shopping
Lazada | Bebas Pengiriman,Amel Meldi,ok bgt job,4,2024-10-19 01:02:45,Shopping
Lazada | Bebas Pengiriman,El fathan,"Sangat kecewa,, makin kesini banyak banget biaya tambahan, biaya penanganlah, apalah... Kadang harga berubah ketika di checkout,",1,2024-10-19 01:02:39,Shopping
Lazada | Bebas Pengiriman,Heri Yanto,baik sangat,5,2024-10-19 00:52:50,Shopping
Lazada | Bebas Pengiriman,Mariska,ok,5,2024-10-19 00:50:31,Shopping
Lazada | Bebas Pengiriman,Hussen bonsay,bagus,5,2024-10-19 00:48:12,Shopping
Lazada | Bebas Pengiriman,Romi alamsyah,nice,5,2024-10-19 00:41:50,Shopping
Lazada | Bebas Pengiriman,fita aulia,Harga terjangkau walau kadang barang mengecewakan atau !gk sesuai t@pi banyak yg sesuai,4,2024-10-19 00:36:16,Shopping
Lazada | Bebas Pengiriman,Bapak Abas,mantap,5,2024-10-19 00:26:24,Shopping
Lazada | Bebas Pengiriman,RAHMAT BUDIYANTO,"Potongan diskon pakai coin banyak tp harga barang di up + Game dapet beras gratis skrng dicurangi masa persenya ga naik² ngejar panen ke 100% tambah lama padahal nyawa utk menyirami sdh habis banyak .. mulai ga asikk nih game nya udah gitu hadiahnya itu² aja, coba tambahin dong hadiahnya saldo lazreward 15.000 kek biar tambah seru.. diupdate ya !!",2,2024-10-19 00:14:19,Shopping
Lazada | Bebas Pengiriman,gareng satu,Pin nya gimana si. Udah 6 digit masih disuruh 6 digit mulu,1,2024-10-19 00:11:52,Shopping
Lazada | Bebas Pengiriman,Yosep Sudiarto,IMO this is the best marketplace I've ever known. No others come close.,5,2024-10-18 23:58:47,Shopping
Lazada | Bebas Pengiriman,Helmi nugroho,best,5,2024-10-18 23:56:45,Shopping
Lazada | Bebas Pengiriman,Puwanti Ningsih,mantap,5,2024-10-18 23:55:50,Shopping
Lazada | Bebas Pengiriman,Kurniawan Wahyu Widigdo,Gampang & bebas ongkir nya,5,2024-10-18 23:54:17,Shopping
Lazada | Bebas Pengiriman,MOHD JUNAIDI Sp,prosesnya sgt cepat,5,2024-10-18 23:51:21,Shopping
Lazada | Bebas Pengiriman,didi rosadi,"Kok skrg ini harga harga barangnya termasuk harga handphone,lebih mahal di lazada dibandingkan harga handphone di aplikasi toko sebelah",4,2024-10-18 23:49:16,Shopping
Lazada | Bebas Pengiriman,Risma Risma,membantu,5,2024-10-18 23:47:56,Shopping
Lazada | Bebas Pengiriman,Arnis Chairunissa,lebih hemat blanja d lazada,5,2024-10-18 23:46:59,Shopping
Lazada | Bebas Pengiriman,Arip Priono,good app,5,2024-10-18 23:42:00,Shopping
Lazada | Bebas Pengiriman,Deka Bhg,syat puas,5,2024-10-18 23:38:41,Shopping
Lazada | Bebas Pengiriman,Uta Kev,lazada terpercaya dan cepat pemrosesannya,5,2024-10-18 23:36:10,Shopping
Lazada | Bebas Pengiriman,Dani Irawan,mantap sangat membantu aplikasinya dan garibet,5,2024-10-18 23:36:07,Shopping
Lazada | Bebas Pengiriman,Mami dika,mantapppppp puoll lazada 👍👍👍👍👍👍👍,5,2024-10-18 23:34:39,Shopping
Lazada | Bebas Pengiriman,Arif Arif,sangat memuaskan.. potongan harga banyak.diskon ny juga besar2 mantap dah lazada,5,2024-10-18 23:31:00,Shopping
Lazada | Bebas Pengiriman,Baspoel Basispulo,Hapus aja game lazpanen.. Hoak mulu. Hadiah gratis Kentut.. 😂😂😂 Cape cape kumpulin air Belanja ini itu.. malah mulai dari awal. Kn bego,3,2024-10-18 23:28:26,Shopping
Lazada | Bebas Pengiriman,muawana 99,"saya kasih bintang 4 karna saya baru belanja di lazada,kalau barang sesuai keinginan saya kasih bintang5",4,2024-10-18 23:27:04,Shopping
Lazada | Bebas Pengiriman,Mursalih,ok,5,2024-10-18 23:26:10,Shopping
Lazada | Bebas Pengiriman,Atib Satibi,mantap sekali,5,2024-10-18 23:24:53,Shopping
Lazada | Bebas Pengiriman,Kirman Iki,Lazada ok,5,2024-10-18 23:21:14,Shopping
Lazada | Bebas Pengiriman,Adi Kusnadi,okay .top,5,2024-10-18 23:13:10,Shopping
Lazada | Bebas Pengiriman,Muhammad Mansyur s,lebih baik lagi,5,2024-10-18 23:10:02,Shopping
Lazada | Bebas Pengiriman,MR 99,bagus,5,2024-10-18 23:07:35,Shopping
Lazada | Bebas Pengiriman,Muhammad yusuf,ok lancar,5,2024-10-18 23:04:36,Shopping
Lazada | Bebas Pengiriman,Wayan Navi Navi,ok,5,2024-10-18 22:58:51,Shopping
Lazada | Bebas Pengiriman,Robi Ansyah,bagus,5,2024-10-18 22:57:21,Shopping
Lazada | Bebas Pengiriman,ORAL ROBERT. I,"kwalitas bagus,harga bersahabat,.lazada memang TOP",5,2024-10-18 22:49:48,Shopping
Lazada | Bebas Pengiriman,Andi Hermawan,belanja di lazada mudah & murah,5,2024-10-18 22:49:40,Shopping
Lazada | Bebas Pengiriman,Gista Yanto,gas,5,2024-10-18 22:46:00,Shopping
Lazada | Bebas Pengiriman,Dikin Daffa,Bagus,5,2024-10-18 22:45:57,Shopping
Lazada | Bebas Pengiriman,Supri Yono,sejauh ini saya puas belanja di Lazada,5,2024-10-18 22:43:21,Shopping
Lazada | Bebas Pengiriman,Sam Aldi,bagus,5,2024-10-18 22:38:31,Shopping
Lazada | Bebas Pengiriman,Rara Refanita,Aku sangat senang,5,2024-10-18 22:36:42,Shopping
Lazada | Bebas Pengiriman,Pengguna Google,"pelayanan yang baik, tergantung dari tokonya",5,2024-10-18 22:35:47,Shopping
Lazada | Bebas Pengiriman,Muhammad Karuniamuda,bahgsssss,5,2024-10-18 22:30:09,Shopping
Lazada | Bebas Pengiriman,Rio,"Pelit amat njir ga ada gratis ongkir?! pengguna baru padahal wkwkwk, nyesel gua download",1,2024-10-18 22:23:12,Shopping
Lazada | Bebas Pengiriman,Irma Qotrun Nada,"pembayaran pake QR tapi lama banget kode QR nya gak muncul, ribet",1,2024-10-18 22:20:19,Shopping
Lazada | Bebas Pengiriman,Jhony Badak JR,Tiap belanja online pasti pake aplikasi Lazada..,5,2024-10-18 22:16:29,Shopping
Lazada | Bebas Pengiriman,Agusss,sangat mudah untuk kebutuhan,5,2024-10-18 22:14:22,Shopping
Lazada | Bebas Pengiriman,Sisil Silfia,top,5,2024-10-18 22:13:56,Shopping
Lazada | Bebas Pengiriman,Nang Fayruzzi,ok banget,5,2024-10-18 22:12:06,Shopping
Lazada | Bebas Pengiriman,Hasan Albasri,mntap,4,2024-10-18 22:11:25,Shopping
Lazada | Bebas Pengiriman,Indra Ss,jos,5,2024-10-18 22:07:27,Shopping
Lazada | Bebas Pengiriman,Japnol Alalawi,terbaik pokokna mh hente kecewa,5,2024-10-18 22:07:21,Shopping
Lazada | Bebas Pengiriman,Maya Saroh Maya,bagus,5,2024-10-18 22:05:06,Shopping
Lazada | Bebas Pengiriman,aprilianti herlina,sangat membantu,4,2024-10-18 22:02:06,Shopping
Lazada | Bebas Pengiriman,yani mulyani,Bagus,5,2024-10-18 22:01:22,Shopping
Lazada | Bebas Pengiriman,Asiyah Jarah,lazada sangat baik dan tepat waktu tp sayang barang yg di pesan kemasan paket.y kurang baik,5,2024-10-18 21:58:30,Shopping
Lazada | Bebas Pengiriman,Desi Ekasari,biar bintang 5 yg berbicara,5,2024-10-18 21:56:53,Shopping
Lazada | Bebas Pengiriman,Papah Naila Chanel,Terima kasih lazada Karna telah memberi kemudahan dalam berbelanja,5,2024-10-18 21:55:12,Shopping
Lazada | Bebas Pengiriman,Senna Muhamad ridwan,banyak diskon😊😊,5,2024-10-18 21:54:12,Shopping
Lazada | Bebas Pengiriman,ary,puas,4,2024-10-18 21:53:19,Shopping
Lazada | Bebas Pengiriman,Dwi Mustofa,Mantap,5,2024-10-18 21:38:45,Shopping
Lazada | Bebas Pengiriman,Kaisen,skrng jatuĥ cinta ke lazada,5,2024-10-18 21:33:52,Shopping
Lazada | Bebas Pengiriman,Aris Kosim,bagus,5,2024-10-18 21:32:14,Shopping
Lazada | Bebas Pengiriman,irfan bae,lazada ok,5,2024-10-18 21:32:05,Shopping
