appName,userName,reviews,rating,at,category
Livin' by Mandiri,Bucek Pasae,Bgus,5,2024-10-19 00:51:13,Finance
Livin' by Mandiri,Asadel,Dengan apk ini saya senang sangat membantu untuk teransaksi gk ribet lagi,5,2024-10-19 00:49:46,Finance
Livin' by Mandiri,Yuda Yanan,Semakin tidak memuaskan ogah ak ksh bintang banyak Krn makin buruk,1,2024-10-19 00:42:05,Finance
Livin' by Mandiri,Faldhi DuaSatu,Kartu blm dikirim,5,2024-10-19 00:26:54,Finance
Livin' by Mandiri,Roberto Hutagol,Bgus,4,2024-10-19 00:20:46,Finance
Livin' by Mandiri,Moch Surya,"Kenapa apk saya ga bisa kebuka y? Data n jaringan lumayan normal,, knp langsung keluar lg??",3,2024-10-18 23:48:51,Finance
Livin' by Mandiri,Dian Pradita,Bukanya semakin baik malah sebaliknya,3,2024-10-18 23:46:46,Finance
Livin' by Mandiri,Grand Father,"Ga bisa menyimpan daftar transfer baru, jam maintenance yg ga menentu, aplikasi semakin besar namun beberapa konten malah tidak maksimal",4,2024-10-18 23:43:50,Finance
Livin' by Mandiri,Siska Elisabeth,Mau top up sama tf ke rkening lain ssh,1,2024-10-18 23:31:59,Finance
Livin' by Mandiri,fahrol rozi,Bagus,4,2024-10-18 23:21:55,Finance
Livin' by Mandiri,Rudi Rahman,"Nyesel bikin mandiri, sangat ribet dan menjengkelkan. Buat yang mau bikin mandiri mending jangan deh , kacau",1,2024-10-18 23:20:46,Finance
Livin' by Mandiri,Evy anggelina Bita,Susah buat updet lg harus hapus aplikasi byg lain padahal sdh hapus sebagian,5,2024-10-18 23:18:06,Finance
Livin' by Mandiri,Rika Tasikmalaya,"Livin ngk ada ahlak sering transaksi Mlah blm kluar trus mulai dlu payleter atau pinjaman ya buat urgent ,yg kluar trus malah KPR yg TDK dibutuhkan tloll",1,2024-10-18 23:16:21,Finance
Livin' by Mandiri,Nadia Hagani,Kok gak BS update y,1,2024-10-18 23:16:21,Finance
Livin' by Mandiri,Roki Roki,Bagus,5,2024-10-18 23:02:27,Finance
Livin' by Mandiri,dilan coklat dilan,bisa,5,2024-10-18 22:57:22,Finance
Livin' by Mandiri,Wilco Mobile,The best,5,2024-10-18 22:45:59,Finance
Livin' by Mandiri,Kartini Neng,Butuh sih,5,2024-10-18 22:45:59,Finance
