appName,userName,reviews,rating,at,category
Loklok-Kegilaan Klip&Momen TV,Anggraini Aja,👍👍👍👍👍👍,5,2024-10-19 00:45:11,Entertainment
Loklok-Kegilaan Klip&Momen TV,Dini Mei,sukaa bangettt a,5,2024-10-19 00:45:08,Entertainment
Loklok-Kegilaan Klip&Momen TV,Laila Latifah,Tolong kembalikan drama china bukan short.. Dan tolong kurangkan film dewasanya..saya telah menonton loklok dari lama dan ini agak mengganggu..semoga dinotice terimakasih,3,2024-10-19 00:40:10,Entertainment
Loklok-Kegilaan Klip&Momen TV,kind person,"Aplikasi yg mengupload film dewasa bahkan adengan 18+, PlayStore blokir apk ini",1,2024-10-19 00:11:22,Entertainment
Loklok-Kegilaan Klip&Momen TV,Rika Izwani,Kurang best,3,2024-10-18 23:46:33,Entertainment
Loklok-Kegilaan Klip&Momen TV,Keyzia,kurang² ngin film 25+,1,2024-10-18 23:28:50,Entertainment
Loklok-Kegilaan Klip&Momen TV,Fikrul Anwar,Malah gak jelass,1,2024-10-18 23:22:32,Entertainment
Loklok-Kegilaan Klip&Momen TV,Nadirah Dzakirah,bagus bangetttt huhuu maaf ya lagi sedih soalnya pokoknya apk ini bagus baget dehh,4,2024-10-18 22:55:34,Entertainment
Loklok-Kegilaan Klip&Momen TV,Muhammad Yusuf,Aplikasinya bgs tapi banyak iklan ngga jelas trs iklannya lama lagi tolong lah kalo bisa satu video satu iklan lah kayak dulu ini sekarang di tengah tengah ada iklan lagi jengkel banget harus nonton iklan mulu,1,2024-10-18 22:42:18,Entertainment
Loklok-Kegilaan Klip&Momen TV,Sari Rahmat,bagus penerjemhan nya. dan untuk iklan cukup normal🫰🫰,5,2024-10-18 22:33:58,Entertainment
Loklok-Kegilaan Klip&Momen TV,Imas Mirawati,keren,4,2024-10-18 22:17:49,Entertainment
Loklok-Kegilaan Klip&Momen TV,Irma Wulandari,iklan terlalu byak,4,2024-10-18 22:14:48,Entertainment
Loklok-Kegilaan Klip&Momen TV,rafa keren,keren banget,5,2024-10-18 22:13:45,Entertainment
Loklok-Kegilaan Klip&Momen TV,Adele Lyasalsa,sukses selalu,4,2024-10-18 22:09:42,Entertainment
Loklok-Kegilaan Klip&Momen TV,Muh Ali,Baguss sih tapi ada yang kurang aku cari tokyo rabengers gk ada,4,2024-10-18 21:59:30,Entertainment
Loklok-Kegilaan Klip&Momen TV,Elsa Widya,bahasa jelas dan gambar hd,5,2024-10-18 21:55:38,Entertainment
Loklok-Kegilaan Klip&Momen TV,Ms Marsya,bgus bgt,5,2024-10-18 21:36:48,Entertainment
Loklok-Kegilaan Klip&Momen TV,Alwi Sihab,Sangat baguss apk nyaa. Sukses selalu yaaa🖤,5,2024-10-18 21:35:48,Entertainment
Loklok-Kegilaan Klip&Momen TV,Beni Basri,baik,3,2024-10-18 21:34:55,Entertainment
Loklok-Kegilaan Klip&Momen TV,jamila mpw,iklan selalu menganggu 😤,4,2024-10-18 21:00:28,Entertainment
