appName,userName,reviews,rating,at,category
Mobile JKN,Moh Shoim,Sajgat. Elllll Ll,2,2024-10-18 23:24:43,Medical
Mobile JKN,DJ Siwil,Otp lama. Gak muncul muncul,1,2024-10-18 23:07:18,Medical
Mobile JKN,Muhammad Newin,"Oke, mantap",5,2024-10-18 23:04:26,Medical
Mobile JKN,Maulana Ibrahim,Aplikasi Sampah. Minta Kode OTP nya kok Pakai Pulsa. Dasar Aplikasi Sampah binatang,1,2024-10-18 22:32:52,Medical
Mobile JKN,Devi Kinal,Sangat membantu,5,2024-10-18 22:32:51,Medical
Mobile JKN,Ferina Tjeuw,Ini sengaja dibikin susah verifikasi biar orang ga bisa berobat pakai BPJS ya?? Mau daftar nunggu SMS otp sampe 3x coba gak ada SMS otp nya!!!!!,1,2024-10-18 22:31:23,Medical
Mobile JKN,cepi tamara,Aplikasi sangat membantu,5,2024-10-18 22:27:48,Medical
Mobile JKN,Maulana,Mempersulit bukan mempermudah,1,2024-10-18 22:20:05,Medical
Mobile JKN,Mafaza Alfarezel,Aplikasi apa ini.... Mau daftar aja susah banget.... Ga berguna,3,2024-10-18 21:48:38,Medical
Mobile JKN,Seyni Lolian Septianty_ilmu komunikasi,Bagussss,5,2024-10-18 21:42:36,Medical
Mobile JKN,Riandi Joy,Oceeeee,5,2024-10-18 21:18:56,Medical
Mobile JKN,mon yase,"aplikasi harus di perbaiki lagi, verifikasi aja ribet amat di suruh poto mya minimal 3 mb lagi aduh",1,2024-10-18 21:14:44,Medical
Mobile JKN,Ipih Nurhikmah Fitriani,Sangat membantu,5,2024-10-18 20:51:12,Medical
Mobile JKN,Raka WekaWeka,"Kenapa halaman verifikasi otp sms tidak muncul padahal nomor hp aktif,sudah ada pulsa, kode otp muncul tapi halaman verifikasinya yg tidak muncul",1,2024-10-18 20:42:30,Medical
Mobile JKN,Sarina Undu,Tingkatkan terus kemudaha dan tanpa berbayar menggunakan aplikasi ini,5,2024-10-18 20:36:37,Medical
Mobile JKN,Titin Tasrini03,Pelayanan baik,5,2024-10-18 20:33:12,Medical
Mobile JKN,Magdalen Nababan,gabisa daftar udh berulang kali bahkan pake nomor yg lain pake hp yang lain tapi nomor verifikasi nya ga masuk ke sms terus padahal apk lain bisa kalo harus verif tolong dong biar bisa daftar nomor verifikasi nya supaya bisa masuk,3,2024-10-18 20:27:56,Medical
Mobile JKN,Resya nafatunisa.3,Apasih kok g ada terkirim kode verfikasi ya pdhl udh 4 no hp g bisa jg,2,2024-10-18 20:20:48,Medical
Mobile JKN,JuzoVsx,DONGOK gabisa verif nomor,1,2024-10-18 20:20:13,Medical
Mobile JKN,azkia shoummi,Susah dibuka aplikasi nya,5,2024-10-18 20:06:40,Medical
Mobile JKN,Babas Babas,ok,5,2024-10-18 20:02:11,Medical
Mobile JKN,LIYUDI NDRAHA,Terimakasih atas bantuannya,5,2024-10-18 20:02:00,Medical
Mobile JKN,Deasy Bianca,Bgs klo mo berobat menanggapunya,5,2024-10-18 19:54:41,Medical
Mobile JKN,Yanee Al-Hawa,"Server error terus, tidak bisa untuk daftar antrean online, diwajibkan punya/pakai bukannya mempermudah malah mempersulit Tolong segera diperbaiki!!",1,2024-10-18 19:49:04,Medical
Mobile JKN,Dony Yasmine,Membantu,5,2024-10-18 19:48:02,Medical
Mobile JKN,Samsung A10s,Apk nya gak jelas masak udah daftar nomor hak terverifikasi gak jelas,1,2024-10-18 19:44:59,Medical
