appName,userName,reviews,rating,at,category
MyPertamina,Tata Sticker Telagasari,Saya naikin jadi bintang 3 dulu karna sudah semakin baik,3,2024-10-18 23:47:11,Business
MyPertamina,Tiara Global Mandiri,Ok,5,2024-10-18 23:45:23,Business
MyPertamina,ijonk sea,ok,5,2024-10-18 22:38:48,Business
MyPertamina,Ika Kurniawat,"terlalu rumit,seharusx tampilan QR muncul di profil gak perlu ribet daftar lagi,,,",1,2024-10-18 22:35:20,Business
MyPertamina,sz.farhan25,baru mencoba apk my pertamina,5,2024-10-18 22:35:03,Business
MyPertamina,misa rohaji,"parah ..gara2 email penuh jadi ngak bisa log in,ganti email baru,nik KTP ngak bisa masuk juga...",1,2024-10-18 22:11:30,Business
MyPertamina,Habib Ullah,Susah baget untuk buka program subsidi tepat..gak bisa tampil...,1,2024-10-18 22:00:57,Business
MyPertamina,Agus Salimack,mantap,5,2024-10-18 21:15:58,Business
MyPertamina,Achmad Zain Wahyudi,Mantap,5,2024-10-18 20:43:13,Business
MyPertamina,Dian Indra,"Sdh instal tapi verifikasi gagal trus sampe 3 kali pengajuan, padahal udh telp 135 tapi tetap gagal juga, kena pulsa mahal lagi Tlg donk perbaikan lagi sebelum di jalankan kebijakannya, terkesan dipaksakan",1,2024-10-18 20:36:50,Business
MyPertamina,Aghytz Throjanaweuh,APLIKASI APAAN TIFKA BISA MENAMBAH KENDARAAN. TOKONG SEGERA DI PERBAIKI.,2,2024-10-18 19:56:21,Business
MyPertamina,Yuni Queen,"Mau daftar saja selalu muncul ""terjadi kesalahan pada sistem, silahkan coba kembali beberapa saat"". Masyarakat dibuat ribet dan makin sulit nih. Kalo belum pinter=pinter amat ga usah bikin aplikasi yang ribet segala deh, bikin saja program di SPBU masukin nomor kendaraan, lalu muncul bisa atau tidak isi BBM Subsidi, itu lebih mudah kan ..",1,2024-10-18 19:27:01,Business
MyPertamina,Agus Winarda,Error ketika forget password. Sudah masukkin NIK. Ada bug kah?,3,2024-10-18 19:24:48,Business
MyPertamina,Ng Kurniawan,Good,5,2024-10-18 19:21:41,Business
MyPertamina,Hanif Athallah,Aplikasi sering log out sendiri.. tolong diperbaiki.. setiap mau menggunakan selalu login ulang terus,2,2024-10-18 18:57:18,Business
MyPertamina,Rony Pattiasina,"Sepertinya blm siap, disempurnakan lg",5,2024-10-18 18:34:59,Business
MyPertamina,David sandi pratomo,"Semua Spbu di purwakarta, tidak bisa bayar dengan my pertamina. Hanya menerima pembayaran cash",1,2024-10-18 18:28:06,Business
MyPertamina,Dila Amalia Pebriana,"Aplikasi lo jelek, pendaftarannya gagal mulu padahal udah sesuai dengan ketentuan",1,2024-10-18 18:06:37,Business
MyPertamina,black coffee420,"Apk sampah birokrasi sampah, mau liat QR Code aja ribet kali kayak sampah",1,2024-10-18 18:01:27,Business
MyPertamina,Eko Vita,Aplikasi ga guna udah jelas poto mobilnya masih aja di tolak,1,2024-10-18 17:53:22,Business
MyPertamina,Wissye Van Pamelen,Mantap 👍,5,2024-10-18 17:45:49,Business
MyPertamina,apoel Purba,Bagus,5,2024-10-18 17:43:17,Business
MyPertamina,Aripin Yusuf,"Dapat poin nya darimana tiap digunakan tidak pernah ada poin yang didapat lewat scan barcode kaya aplikasi sebelah, harusnya poin otomatis masuk tiap digunakan jadi gak cuma harkos",2,2024-10-18 17:36:44,Business
MyPertamina,Sayuti Coki-coki,Aplikasi terbaru,5,2024-10-18 17:01:33,Business
MyPertamina,tuti ariesniati,Semoga dgn memakai aplikasi ini akan lebih efisien dan praktis dlm pembayaran.,4,2024-10-18 16:55:13,Business
MyPertamina,Cahaya Hati,Ok,5,2024-10-18 16:08:19,Business
MyPertamina,Kamat Jaya,Baik,5,2024-10-18 15:52:20,Business
