appName,userName,reviews,rating,at,category
MyTelkomsel - Beli Pulsa/Paket,Gilang Nor Atmojo,Sampah gak bisa buat login,1,2024-10-19 00:50:54,Tools
MyTelkomsel - Beli Pulsa/Paket,Anton Anton,"Semakin busuk aj ini jaringannya, paket semakin mahal, klau mau tawarin yg bagus bukan yg busuk di tawarin, gk usah SMS melulu yg gk ada manfaatnya.",1,2024-10-19 00:47:09,Tools
MyTelkomsel - Beli Pulsa/Paket,Rahmawati Dewi,min kenapa nomor yang kita punya dan nomor yang dikirim verifikasi di my telkomsel bisa beda? solusinya bagaimana?,3,2024-10-19 00:38:55,Tools
MyTelkomsel - Beli Pulsa/Paket,Aneuk Acèh Selayang OFFICIAL,"Saya mintak tolong kepada pihak telkomsel , tolong permurahkan paket telpn serta internet kpada saya, sebang saya tak mampu mebeli paket dengan harga mahal Saya mau paket Nelpon paling murah",5,2024-10-19 00:36:07,Tools
MyTelkomsel - Beli Pulsa/Paket,Manshing Star,"Makin kemari kok makin lelet. Tolong dibikin simpel, praktis dan mudah membukanya🙏",3,2024-10-19 00:35:41,Tools
MyTelkomsel - Beli Pulsa/Paket,Adi Junaidi,Bintang 1 aja.soal ya negara ini masih banyak mafia pungli.kartu Telkomsel sekarang udah gk beres.isi pulsa sampai 50 atau 100 ribu.tapi masa aktiv kartu sim y ko malah gk nambah ko mangkin hangus.kartu telkomsel sekarang sudah gk layak di beli,1,2024-10-19 00:35:30,Tools
MyTelkomsel - Beli Pulsa/Paket,Ramadhani Dnai,"Tolong buat developer perbaiki sinyal bukan cuma harga paket doang yang mahal kami sebagai pengguna setia telkkom di buat kecewa oleh sinyal yang ga masuk akal sering naik turun tolong buat developer perbaiki lagi sinyal kita,Disni kita paket beli bukan minta!",1,2024-10-19 00:33:13,Tools
MyTelkomsel - Beli Pulsa/Paket,Iqbal febri,"Transaksi cepat dan gampang banget, nggak perlu antri di konter",5,2024-10-19 00:24:00,Tools
MyTelkomsel - Beli Pulsa/Paket,Muhamad Iqbal,fitur sampah jaga pulsa tapi tetep ke ambil telkomsel babi,1,2024-10-19 00:19:57,Tools
MyTelkomsel - Beli Pulsa/Paket,Ggaming Gg,Telkomsel provider yang paling mantap dan harganya murah jaringannya juga lancar mantap telkomsel,5,2024-10-19 00:13:45,Tools
MyTelkomsel - Beli Pulsa/Paket,Suganda Ganda,"Setelah update kenapa gaka opsi lain utk pembayaran..???? Biasa saya beli bisa dari BCA mobile, skrg kok cuma bisa pake pulsa :/",1,2024-10-19 00:07:42,Tools
MyTelkomsel - Beli Pulsa/Paket,Godha Afriyanto,"Mahal doang,pulsa nyedot sendiri,aplikasi ribet,cs ga solutif,tanya apa. Jawab apa,",1,2024-10-19 00:04:27,Tools
MyTelkomsel - Beli Pulsa/Paket,Rusdi Saad,"Makin ga jelas aja, fungsi dasarnya my Telkomsel apa??",1,2024-10-19 00:02:53,Tools
MyTelkomsel - Beli Pulsa/Paket,Hidman Dompu,Mohon menu nya sama di Myindihome semua orang bisa kecewa menu nya gk jelas mohon di perbaiki🙏🙏🙏,1,2024-10-18 23:50:30,Tools
MyTelkomsel - Beli Pulsa/Paket,Ganda Sumarlin,"Jaringan lemot akhir"" Ini daerah sungai lilin musi banyuasin sumatera Selatan .",1,2024-10-18 23:47:14,Tools
MyTelkomsel - Beli Pulsa/Paket,M.Yazsardi Eka Irawan,Sinyal semakin lemot,2,2024-10-18 23:41:45,Tools
MyTelkomsel - Beli Pulsa/Paket,Dhimas Anggito Wicaksono,Sering crash ketika melakukan transaksi,4,2024-10-18 23:39:40,Tools
MyTelkomsel - Beli Pulsa/Paket,Sahrimin Nasution,Telkomswl mmg yg terbaik mnrt saya,5,2024-10-18 23:39:32,Tools
MyTelkomsel - Beli Pulsa/Paket,Abonk agus,garcep Telkomsel,5,2024-10-18 23:38:22,Tools
MyTelkomsel - Beli Pulsa/Paket,Tengku Hasnan,"Jaringan ilang2 mulu, udh mau bangkrut ya ng kuat perbaiki jaringan.",1,2024-10-18 23:38:13,Tools
MyTelkomsel - Beli Pulsa/Paket,Sebentar lagi Wisuda,baik,5,2024-10-18 23:38:10,Tools
MyTelkomsel - Beli Pulsa/Paket,tohiroh iroh,Kak kenapa makin kesini jaringanya lemot ka. Semoga Telkomsel bisa membantu,3,2024-10-18 23:37:33,Tools
MyTelkomsel - Beli Pulsa/Paket,Mink Tamb,ok,5,2024-10-18 23:37:22,Tools
