appName,userName,reviews,rating,at,category
Shopee 11.11,Reasa Yasnori,"Ketika search produk menggunakan fitur foto disearchnya lama munculnya,,, padahal jaringan syaa juga lancar dan pernah muncul produknya kurang pas",3,2024-10-18 23:20:53,Shopping
Shopee 11.11,Gilhamsyah Gilham,BGus aplikasi nya,5,2024-10-18 23:20:11,Shopping
Shopee 11.11,Syuja Simatupang,Sangat membantu untuk keperluan saya,4,2024-10-18 23:19:37,Shopping
Shopee 11.11,Felista Angelina,Nyaman belanja d sni,5,2024-10-18 23:18:22,Shopping
Shopee 11.11,Andi Bastiadi,Mantap,5,2024-10-18 23:16:50,Shopping
Shopee 11.11,Slamet Baggio,Suka lebih membantu,5,2024-10-18 23:16:24,Shopping
Shopee 11.11,Brother Chaswan,Mntappp,5,2024-10-18 23:15:29,Shopping
Shopee 11.11,moza herzha,Pengiriman cepat,5,2024-10-18 23:15:15,Shopping
Shopee 11.11,Amirhan Nasution,Belanja di Shopi pasti murah murah,5,2024-10-18 23:15:06,Shopping
Shopee 11.11,Khairi Rijal,Keren,5,2024-10-18 23:14:16,Shopping
Shopee 11.11,Yonatan enriko,Sangat puas,5,2024-10-18 23:13:06,Shopping
Shopee 11.11,Andin Aja,Alhamdulillah amanah,5,2024-10-18 23:11:13,Shopping
Shopee 11.11,H Hyren,"Kecewa dengan pengiriman, barang belum dikirim tapi langsung dikembalikan ke penjual . Cod cek dulu, belum diantar belum di cek Suruh Transfer duluan.",2,2024-10-18 23:09:30,Shopping
Shopee 11.11,Tamaita Putri,Lebih teliti lagi buat Mimin ada banyak penipuan di apk shopee,2,2024-10-18 23:09:20,Shopping
Shopee 11.11,Ratna Sari,Aplikasi yg sangat bagus,5,2024-10-18 23:07:50,Shopping
Shopee 11.11,Udin Sudarajat,Apk shopee nya bagus tapi sayang klw mu beli gak bisa bayar di tempat Kaya dulu lagi,1,2024-10-18 23:06:59,Shopping
Shopee 11.11,Indra Santosa,Penjual gak amanah langsung blokir,5,2024-10-18 23:06:34,Shopping
Shopee 11.11,Fixri Firmansyah,"Semenjak pake spx shopee gak kek dulu, soalnya gw pernah mengalami hal yg mengecewakan paket gw dibawa keliling dulu keluar provinsi lagi, harusnya datang tgl 17 eh telat 2 hari dong karna dibawa jalan2 dulu,itu salah sortir apa gmna ya",2,2024-10-18 23:06:31,Shopping
Shopee 11.11,Muhidin Hub's,Saldo paylater nya kecil,1,2024-10-18 23:05:41,Shopping
Shopee 11.11,Nunung Fajar ningsih,"Tolong ditingkatkan lagi,agar costumer lebih puas, terimakasih",5,2024-10-18 23:03:32,Shopping
Shopee 11.11,Farida Farida,ok,5,2024-10-18 23:03:01,Shopping
Shopee 11.11,Clash DBP,Hapus pihak ketiga yang mengan,1,2024-10-18 23:02:58,Shopping
Shopee 11.11,Abdul Munir Simamora,Pelayanan terbaik dan sangat Bagus.,5,2024-10-18 22:59:17,Shopping
Shopee 11.11,Heri Handaka,Biarkan bintang yg bicara,3,2024-10-18 22:58:56,Shopping
Shopee 11.11,Jihan Akun,Bagus mantapppppp,5,2024-10-18 22:56:36,Shopping
Shopee 11.11,Albiyan Pradipta,Shoopee bagus tingkatkan terus Dan terus maju melayani kebutuhan,5,2024-10-18 22:56:16,Shopping
Shopee 11.11,Yuliana Hello,Baik,5,2024-10-18 22:55:07,Shopping
Shopee 11.11,aldi sahputra aldi,aku mencintai dia dia mencintai orang lain terus orang lain mencintai sapa,5,2024-10-18 22:54:30,Shopping
Shopee 11.11,Julma Hardani,"Harga murah, banyak diskon, cashback dan graris ongkir",5,2024-10-18 22:54:21,Shopping
Shopee 11.11,Mutyyz,"apkk yg sangat"" bagus",5,2024-10-18 22:54:09,Shopping
Shopee 11.11,Gusti Nur Alif,"Pengiriman pakai shope exspres lelet minta ampun, reguler sampai 8 hari belum sampai 2 juga.. Pengiriman buruk sekali, cs tidak mengerti pertanyaan",1,2024-10-18 22:52:24,Shopping
Shopee 11.11,yulian cahyo,Bertahun2 tetep aja....... Kalo scroll2 produk terus pasti lag....kalo cuma ganti tampilan aja sapa yg gak bisa min?,5,2024-10-18 22:51:43,Shopping
Shopee 11.11,Yoza Yy,Ok,5,2024-10-18 22:51:10,Shopping
Shopee 11.11,Kadar novi Mauludiana,Shoppe is thebest,5,2024-10-18 22:50:44,Shopping
Shopee 11.11,Riyanto Yanto,Sponsor menggangu,1,2024-10-18 22:48:36,Shopping
Shopee 11.11,Naufal Ferdilana,baik,5,2024-10-18 22:48:35,Shopping
Shopee 11.11,Deris Komala,Mantap,5,2024-10-18 22:48:20,Shopping
Shopee 11.11,Arjuna Sitinjak,aplikasinya bagus tapi aku masih akun baru gak bisa belanja gak bisa pakai voucher geratiss Ongki,1,2024-10-18 22:47:21,Shopping
Shopee 11.11,Rezky Boco,"sudah berapa kali beli produk, pengiriman nya selalu lama sekali. aneh",1,2024-10-18 22:46:43,Shopping
Shopee 11.11,Sinta Setiawati,Cepat dan amanah,5,2024-10-18 22:44:51,Shopping
