appName,userName,reviews,rating,at,category
ShopeePay – QRIS Paylater,MARGONO ELEKTRONIK,good,5,2024-10-18 22:41:54,Finance
ShopeePay – QRIS Paylater,Akmal arka123,memudahkan,3,2024-10-18 22:39:19,Finance
ShopeePay – QRIS Paylater,Zayn Alba,sangat membantuu perbanyak voucher cashback nya,5,2024-10-18 22:31:35,Finance
ShopeePay – QRIS Paylater,Siti Koriah,sangat suka banyak manfaatnya,5,2024-10-18 22:11:33,Finance
ShopeePay – QRIS Paylater,Damiri Damiri,ok sangat membantu,5,2024-10-18 22:06:45,Finance
ShopeePay – QRIS Paylater,Lidia putri,Aplikasi bagus dan membantu,5,2024-10-18 22:06:33,Finance
ShopeePay – QRIS Paylater,Herman Wijaya,ok.. good..,5,2024-10-18 22:01:46,Finance
ShopeePay – QRIS Paylater,Fdj yie,Baru donlod tpi langsung saya apus. Karna gk ada login saat masuk apl. Ngeri bngt bs d gunain gitu aja gk seperti shopee. Dr pd ilang saldo n limit. Mending langsung uninstal,1,2024-10-18 21:53:07,Finance
ShopeePay – QRIS Paylater,Bakron Aby,Film bokeh bapak terbaru,5,2024-10-18 21:52:32,Finance
ShopeePay – QRIS Paylater,Allang Gumara,mantap,5,2024-10-18 21:47:20,Finance
ShopeePay – QRIS Paylater,agan (Agan210188),Okey 👍 👍,5,2024-10-18 21:34:11,Finance
ShopeePay – QRIS Paylater,Mamah Rully,gajelas tiba² akun saya di batasi mna itu akun kedua saya lagi jdi gk pke ktp,1,2024-10-18 21:28:07,Finance
ShopeePay – QRIS Paylater,Ayu Imasria,"Mau top up, dikasih no virtual account nya dr sistem shopee, setelah transfer dana tidak masuk, lalu hub pusat bantuan, jawabannya dana sdh masuk ke akun lain, tidak bisa di tarik, dan nuduh saya kasih kode otp ke orglain, padahal gk pernah. Kecewa sekali, kali ini ditipu shopee, mau top up lagi, takut dana gk masuk. Hati hati pengguna shopee modus penipuan di shopee.",1,2024-10-18 21:23:37,Finance
ShopeePay – QRIS Paylater,Asmawati woretma,memuaskan,4,2024-10-18 21:19:07,Finance
ShopeePay – QRIS Paylater,Akiamimi Mimi,Gagal terus,4,2024-10-18 21:18:17,Finance
ShopeePay – QRIS Paylater,Rahmat Hidayat,¥*:(?) .c.,3,2024-10-18 21:02:35,Finance
ShopeePay – QRIS Paylater,Acuy Acuy,Terimakasih SAMSUNG Kami cukup puas dengan produk2 Samsung,5,2024-10-18 21:01:49,Finance
ShopeePay – QRIS Paylater,Sapto Aji,barusan coba dan bagus,4,2024-10-18 20:58:11,Finance
ShopeePay – QRIS Paylater,Mamah Regina,ok,5,2024-10-18 20:35:26,Finance
ShopeePay – QRIS Paylater,Agustin Tika Uswayana,trimakasih shopepay,5,2024-10-18 20:29:01,Finance
ShopeePay – QRIS Paylater,Deasy Bianca,Kasih bintang 5 tp pay later susah,5,2024-10-18 19:52:06,Finance
