appName,userName,reviews,rating,at,category
Telegram,Aris _Sfn,min balikin chat lama saya sm ayuu,3,2024-10-18 23:26:06,Communication
Telegram,Agung Darkness,"unable to send SMS Mulu, anjirlahh",1,2024-10-18 23:19:35,Communication
Telegram,Khafiz Nur fajar,Buat daftar lama,1,2024-10-18 22:59:03,Communication
Telegram,Fadlan Suganra,saya tidak bisa login.. pas login tidak ada notifikasi ke no hp selalu mengarahkan ke telegram di device lama sedangkan device lama saya sudah tidak bisa di gunakan,1,2024-10-18 22:40:03,Communication
Telegram,Riski Setiawan,Tidak bisa d buka,1,2024-10-18 22:30:25,Communication
Telegram,Sovi Vi,Kecewa masukin no Tlp tidak dapat kode verif nya ⭐,1,2024-10-18 22:29:54,Communication
Telegram,Anang Setyawan,Asaya anggota baru menggunakan apk in GK bisa ferifukasi ya,5,2024-10-18 22:25:15,Communication
Telegram,Michael Sirait02,"telegram kocak, mau sampe kapan kode verifikasinya ditunggu? sampe kiamat? saya sangat kecewa dengan kinerja telegram bagian kode verifikasi, saya cape dan muak dengan semua step² yang ga jelas. Ini termasuk penipuan sangat kecewaaaa, smph!!!!",1,2024-10-18 22:24:15,Communication
Telegram,Andi Rustandi,Ka tolong telegram saya blokir...soal nya telegram saya ada yang hack ka..,5,2024-10-18 22:20:40,Communication
Telegram,Matcha,Padahal nomornya belum ke daftar tapi pas login kode Verifikasinya dikirim ke perangkat lain sih,1,2024-10-18 22:19:42,Communication
Telegram,Nur Anissa Danau poso,Bagus tapi sayang sekarang ribet mau buat telegram nomor baru,5,2024-10-18 22:19:36,Communication
Telegram,Fio Vsko,"KOK KM KALO AKU SPEK SPEK SLALU BIKIN NGLAG SIH, DISLIKE DISLIKE NOT COOL YOMAN 👎👎👎😾😾😾",1,2024-10-18 22:17:48,Communication
Telegram,Rijal Budi,"Nomer saya tiba tiba terblokir bagaimana untuk membetulkan agar bisa dipakai kembali, terima kasih",5,2024-10-18 22:14:37,Communication
