appName,userName,reviews,rating,at,category
Threads,Bambang Yulistyo,Moga bagus,5,2024-10-19 00:19:18,Social
Threads,Trisno Sutrisno,Bagus cepat,5,2024-10-19 00:08:46,Social
Threads,Abdul Rohim,Pengen nyoba di sinih,3,2024-10-18 23:13:36,Social
Threads,Sartikha sartikha,Suka bngt kita bs mendapatkan info lebih cepat,5,2024-10-18 22:44:42,Social
Threads,Tony Putra,Mantap,4,2024-10-18 22:13:41,Social
Threads,Naila Kayra,"ini seprti FB tempo dlu, bgus bagus",5,2024-10-18 20:51:27,Social
Threads,M Falah,bagus,5,2024-10-18 20:15:58,Social
Threads,Suparlin Lin,lumayan Bagus. buat cari teman,4,2024-10-18 18:13:16,Social
Threads,Epaz dead,"lumayan bisa mengusir kegabutan dn mengenal orang"" baru",5,2024-10-18 17:39:19,Social
Threads,Kiwiel Sparwau black,lumayan,5,2024-10-18 16:01:06,Social
Threads,Lien Bie,Ig n thread ga bisa memfilter laporan org.. pdahal jelas² mereka yg pake bahasa kasar kenapa akun saya yg di banned... 👎👎👎👎,1,2024-10-18 15:55:33,Social
Threads,Hendra gunawan Gunawan 10,Mantap,5,2024-10-18 14:58:08,Social
Threads,Mustofa Arjuna satria,Mantap,5,2024-10-18 14:56:13,Social
Threads,Alvarezz,Isinya Ngacengan semua 👍,5,2024-10-18 14:45:15,Social
Threads,Rysky Anak pantai,terbaik untuk kita semua,5,2024-10-18 13:49:28,Social
Threads,Herlambang Tanos Efren,lumayan smoga tetap seperti saat ini ya threads,5,2024-10-18 13:14:23,Social
Threads,Uni Risco,Saya suka,5,2024-10-18 11:59:11,Social
Threads,Muh Irfan,baik,5,2024-10-18 11:46:23,Social
Threads,Toto. F,Bagus.👍,5,2024-10-18 11:14:17,Social
Threads,Dera Rahmaniyah,Ok,5,2024-10-18 11:14:07,Social
Threads,Hidayat Official,bagus Sangat berguna bagi saya,5,2024-10-18 09:36:32,Social
Threads,ifan gaming,Waduh,5,2024-10-18 08:19:23,Social
Threads,Suzan Lesmana,"Good, useful",5,2024-10-18 06:32:57,Social
Threads,Raja Anggi Ramadhan Harahap,Good,5,2024-10-18 04:22:36,Social
Threads,Achmad Jadmiko,Oke,5,2024-10-18 00:05:24,Social
Threads,Fauji Rinto,topcer,5,2024-10-17 23:52:34,Social
Threads,Galaxy Fiksi no fiksi galaxy,Ulasan bersefat publik..serta menyertakan..infu Aku dan..perang....anda..kami berikan ulasan..Thveads rating Aplikasi...ini..tandai sebagai tidak pantas...tandai sebagai spam...1 orang merasa kan ulasan ini berguna...banyak yang membeloker.....asal kan aku facebook di polikan ..akan kami kasi 5 bentang..,5,2024-10-17 23:31:21,Social
Threads,Moh yasin Yasin,sangat mambantu bagi kau muda mudi,5,2024-10-17 22:24:30,Social
Threads,Jejensuhendar Suhendar,pelaman bisa apa saja,1,2024-10-17 22:06:33,Social
Threads,Muhammadaby Daffa,Sangat bagus,5,2024-10-17 20:44:59,Social
Threads,Putu Adi artono,Bagus,5,2024-10-17 19:54:18,Social
Threads,Nur Qotimah,very good application thanks to the one who made this application greetings from Indonesia,5,2024-10-17 19:44:58,Social
Threads,Fitri Ibrahim,𝑭𝒊𝒕𝒓𝒊 𝑰𝒃𝒓𝒂𝒉𝒊𝒎,5,2024-10-17 19:07:20,Social
Threads,BUSYERI BUSYERI,اَللَّهُمَّ صَلّ وَ سَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدٍ ﻭَﻋَﻠﮱ ﺁﻝِ سَيِّدِ ﻧَﺂ مُحَمَّدٍﷺاَللَّهُمَّ صَلّ وَ سَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدٍ ﻭَﻋَﻠﮱ ﺁﻝِ سَيِّدِ ﻧَﺂ مُحَمَّدٍﷺاَللَّهُمَّ صَلّ وَ سَلِّمْ عَلَى سَيِّدِنَا مُحَمَّدٍ ﻭَﻋَﻠﮱ ﺁﻝِ سَيِّدِ ﻧَﺂ مُحَمَّدٍﷺ,5,2024-10-17 19:00:31,Social
Threads,Elfrida Jusniati,keren,5,2024-10-17 18:53:22,Social
Threads,Wieska desy R,Informasi lengkap.,5,2024-10-17 18:31:52,Social
Threads,Uranium Trend,Baru pasang jd pasang tiga bintang dlh.kalau bagus baru tambah lagi,3,2024-10-17 18:17:29,Social
Threads,Musram Lp,Good,5,2024-10-17 17:54:37,Social
Threads,Agus Salim,Minta di perbarui terus,3,2024-10-17 16:35:35,Social
Threads,Wulan Wulandari,Sangat bagus,5,2024-10-17 15:51:12,Social
Threads,Mumud Dah,"Tolonglah jangan dirubah , jangan ada live , mesenger, / semacamnya, tetap seperti ini. App ini lebih menyehatkan dibanding app lain. Kalau bisa jangan ada iklan promo, sangat mengganggu",5,2024-10-17 15:28:06,Social
Threads,wina dewi,very nice..i like it..thank's 🥰🥰,3,2024-10-17 09:44:34,Social
Threads,Dedi Junaidi,✌💖💖💖,5,2024-10-17 09:13:18,Social
Threads,Abdullah Muaz,B aja,2,2024-10-17 08:18:37,Social
Threads,Ari Fajarriyanto,ok mantap,5,2024-10-17 07:54:12,Social
Threads,Fina Ledis,Bagus kali,5,2024-10-17 07:48:58,Social
Threads,laode hafid,Sangat baik,5,2024-10-17 07:07:02,Social
Threads,Delmy Koli,🤷,2,2024-10-17 06:14:34,Social
Threads,Endyc Resky,Keren,5,2024-10-17 05:43:52,Social
Threads,Intan Puji,seru bgt ygy,5,2024-10-17 05:00:59,Social
Threads,Mbok Tukiyem,"Padahal nih apk bagus lih, byk peminatnya pula. Kenapa dikit"" banned ya.. Akun treads teman"" sya pun lama bgt ga balik"" jgn gtu lah pdhl dengan instak apk ini bentuk kita menghargai apk ini loh",3,2024-10-17 00:38:35,Social
Threads,nikson kebkole kebkole,Kren banget aplikasi nya,5,2024-10-16 23:56:57,Social
Threads,jevuska sharon,Membosankan,1,2024-10-16 23:18:56,Social
Threads,King Project,Aingg jadi di tuduh wae bgst,1,2024-10-16 23:08:00,Social
Threads,Mar Wan,Sler,3,2024-10-16 22:39:15,Social
Threads,Riri Riyawan,good,4,2024-10-16 22:31:00,Social
Threads,Eko Budi,Baik,4,2024-10-16 21:38:55,Social
Threads,Ainol Budrih,Mantab,5,2024-10-16 20:50:20,Social
Threads,Adrian Iyan,tolong akun saya di kasi pyp posting nya🙏,5,2024-10-16 20:24:50,Social
Threads,Safara M. Muda,Ii bagus,5,2024-10-16 20:16:38,Social
Threads,Farah Maulida,threads me 🧕🏻,5,2024-10-16 19:48:46,Social
Threads,Tu Tur,Bgus,5,2024-10-16 19:42:28,Social
Threads,Iwan Ridwan,Saya Suka sama aplikasi ini,5,2024-10-16 19:07:22,Social
Threads,Ignatius Benny,Sangat puas. Cm algoritma anggap spamnya aj yg perlu diperhatikan. Terima kasih. Sukses Selalu.,5,2024-10-16 18:53:16,Social
Threads,Fitri Muliana,Bgus aja,3,2024-10-16 17:49:39,Social
Threads,Edo Siregar,Oyayaya,5,2024-10-16 16:49:14,Social
Threads,Tri Sartono,Untuk memperbaharui threads terkendala mohon untuk bisa di perbaiki 🥺..,2,2024-10-16 16:25:16,Social
Threads,Rahma Nuramalia,"aplikasi ini udah bagus cuman,coba bikin lebih bagus lagi",5,2024-10-16 16:17:39,Social
