appName,userName,reviews,rating,at,category
TikTok Lite,Togi Manroe,Mantappp👍👍,5,2024-10-19 00:35:22,Social
TikTok Lite,Saruli Hutabarat,Apakah aplikasi ini gak bisa live lagi ya?.,2,2024-10-19 00:28:03,Social
TikTok Lite,Beni Jontor,Bagus banget menambah pertemanan,5,2024-10-19 00:21:23,Social
TikTok Lite,Santo Ponsel,Baik,5,2024-10-19 00:19:08,Social
TikTok Lite,Readmi Dolok,keren,5,2024-10-19 00:09:20,Social
TikTok Lite,Latif Zaelani,Mantap,5,2024-10-18 23:44:52,Social
TikTok Lite,Nega Ra,best,5,2024-10-18 23:37:15,Social
TikTok Lite,Andi Andi,Buka youtube,1,2024-10-18 23:25:02,Social
TikTok Lite,Rison Sinaga,Sangat bagus,5,2024-10-18 23:18:37,Social
TikTok Lite,Ripki 932,Saya suka tpi tidak bisa belanja,5,2024-10-18 23:14:41,Social
TikTok Lite,Atar Simorangkir,Sangat bagus,5,2024-10-18 23:04:50,Social
TikTok Lite,Bambang Sugiharto,Yes lah pokonamah,2,2024-10-18 23:03:34,Social
TikTok Lite,Mala Nurkomala,Mantap menn,5,2024-10-18 23:01:34,Social
TikTok Lite,Mateos tuan Tuan,Sangat keren,3,2024-10-18 22:53:33,Social
TikTok Lite,Ahmad Mohammad,Aku suka aplikasi ini,4,2024-10-18 22:48:04,Social
TikTok Lite,Sarah Sarah,oke lah..buat hiburan,4,2024-10-18 22:44:36,Social
TikTok Lite,Tino Bastian,good job,5,2024-10-18 22:36:28,Social
TikTok Lite,Itsme Jumiyati,Oky jga,5,2024-10-18 22:09:21,Social
TikTok Lite,Realme Rangkas,Bgus,4,2024-10-18 22:08:11,Social
TikTok Lite,Gaga,Pemula bos,5,2024-10-18 22:08:09,Social
TikTok Lite,Davan Azkan putra,Kurang menarik MB nya juga gede ga asik 👎,1,2024-10-18 22:07:06,Social
TikTok Lite,Dadan Suwanda,good,5,2024-10-18 22:02:09,Social
TikTok Lite,Adila Nursalimah,🥰🥰,5,2024-10-18 21:58:25,Social
TikTok Lite,Dinda Ayu,"banyak iklan nya 2 kali vidio iklan 2 kali vidio iklan sampe bosen liat nya, di ilangin jg ga bisa, ngelag trs padahal jaringan bagus",1,2024-10-18 21:56:42,Social
TikTok Lite,Nisa,👌,4,2024-10-18 21:55:12,Social
TikTok Lite,Thari Lestari,Seruuuuuu,5,2024-10-18 21:53:51,Social
TikTok Lite,Damiri Damiri,Aktifitas nelayan,5,2024-10-18 21:51:01,Social
TikTok Lite,Satriono Satrio,Seng penting yakin,4,2024-10-18 21:50:39,Social
TikTok Lite,sadika dika,Dengan tiktok ini aku bisabanyak teman danberinteraksi dgn yg lain,5,2024-10-18 21:49:30,Social
TikTok Lite,mamang,bagus sekali👍,5,2024-10-18 21:46:02,Social
TikTok Lite,Ejon tea,bagussss,5,2024-10-18 21:42:04,Social
TikTok Lite,SATRIAIREYIRAWAN IRAWAN,"Jangan sering sering,diupdate",5,2024-10-18 21:38:05,Social
