appName,userName,reviews,rating,at,category
TikTok,Mei Anggraeni,Sangat memuwaskan,5,2024-10-18 23:15:20,Video Players & Editors
TikTok,Tisenisen,Sngat memuaskan.,5,2024-10-18 23:13:56,Video Players & Editors
TikTok,Wahyuu Herexx,sangat baik,4,2024-10-18 23:12:57,Video Players & Editors
TikTok,Eko Sumadi,Nice👍,5,2024-10-18 23:11:14,Video Players & Editors
TikTok,Ririn Fatmawati,sangat bagus,5,2024-10-18 23:10:13,Video Players & Editors
TikTok,Heni Susilowati,Oke banget saya knp tiktok,5,2024-10-18 23:10:12,Video Players & Editors
TikTok,Bagus Waluyo,Keren,5,2024-10-18 23:10:10,Video Players & Editors
TikTok,Kasman Simanjuntak (Kasman simanjuntak),(Baros batak toba juntak sunda minang),5,2024-10-18 23:08:54,Video Players & Editors
TikTok,Angga Clone,Apk nya bagus banget jujur sii gwe suka sma apk nyaah💖👍,5,2024-10-18 23:07:31,Video Players & Editors
TikTok,Angga Prasetya,Sepp,5,2024-10-18 23:07:31,Video Players & Editors
TikTok,Zahratusyita,Aplikasinya bagus tapi kadang kadang ngga bisa ke download,5,2024-10-18 23:07:31,Video Players & Editors
TikTok,Chianra 'Liny,"ajerr fitur fotonya kagak ad, udah di coba berkali-kali tetep gk bisa ad yg kek gw gk? fitur fotonya ilang yg ada cuma vidio am teks",1,2024-10-18 23:05:04,Video Players & Editors
TikTok,Irwan K Irfan,Semoga bermanfaat,4,2024-10-18 23:03:19,Video Players & Editors
TikTok,ida comel,Ok,5,2024-10-18 23:02:34,Video Players & Editors
TikTok,Muslot Pede,Sekarang makin berat ini bikin hp cepat panas,3,2024-10-18 23:01:24,Video Players & Editors
TikTok,afdi romo,Good 👍,5,2024-10-18 22:59:39,Video Players & Editors
TikTok,Ida Pian,Ba<us,5,2024-10-18 22:58:35,Video Players & Editors
TikTok,padli pohan padli pohan,kenapa un install lama tolong bantu saya Kaka ku ya,5,2024-10-18 22:56:21,Video Players & Editors
TikTok,project inside,Hiburan yg dapat menghasilkan,4,2024-10-18 22:50:34,Video Players & Editors
TikTok,Estepanus Dere,Aplikasihnya gampang d mengerti,4,2024-10-18 22:50:33,Video Players & Editors
TikTok,Tegar Muhammad Risky,"gajelas masa tiba tiba gabisa masuk ada warning ""aplikasi ini tidak tersedia di wilayah anda"" tolong dong",1,2024-10-18 22:50:22,Video Players & Editors
TikTok,Hery Petel,Pemula Kaka,5,2024-10-18 22:49:49,Video Players & Editors
TikTok,Sihab Mataram,Gak bisa ke buka susah,1,2024-10-18 22:49:26,Video Players & Editors
TikTok,Dino Arfandi,Apa saja yg penting halal,3,2024-10-18 22:48:18,Video Players & Editors
TikTok,Saidah Aja,Kenapa yah saya nonton video tidak mendapatkan koin,1,2024-10-18 22:48:17,Video Players & Editors
TikTok,Akhmad Syarifuddin,Memotivasi untuk semua orang,5,2024-10-18 22:47:03,Video Players & Editors
TikTok,Urip pauzi,Tik tok nya baik banget,5,2024-10-18 22:45:59,Video Players & Editors
TikTok,Ddin Uud,Good,5,2024-10-18 22:45:16,Video Players & Editors
TikTok,puisi sendiri,"knp ya vidio yng udh kita liat muncul terus"" an dan anehnya jarak waktu yg berdekatan hadehhhh",3,2024-10-18 22:45:10,Video Players & Editors
TikTok,Susi Susia,Kenapa apk tiktok saya gak ada keranjang belanja ny y,1,2024-10-18 22:44:48,Video Players & Editors
TikTok,Sowir,Sering tdk bisa di buka,4,2024-10-18 22:41:16,Video Players & Editors
TikTok,Samson jawa Jawa,Bagus,5,2024-10-18 22:41:08,Video Players & Editors
TikTok,Irfan putra,Suman susah fyp,5,2024-10-18 22:41:06,Video Players & Editors
TikTok,George Albert,JANGAN BUAT PACAR AKU YANG CANTIK DAN MENGGEMASKAN ITU OVERTHINKING TERUS YA😡,1,2024-10-18 22:39:00,Video Players & Editors
TikTok,Dandi Saputra,Baguss,5,2024-10-18 22:37:23,Video Players & Editors
TikTok,Fazel05,Mantap deh,5,2024-10-18 22:37:06,Video Players & Editors
TikTok,nita 88,Aplikasi dg paket komplit 🥳mau hiburan/ pengetahuan semua lengkap,5,2024-10-18 22:36:12,Video Players & Editors
TikTok,adiSPTR,di gua doang apa gimana yaa kek vt hampir semua ada kresek² nya gitu? ato hp gw? ato emg lagi ada bug ya? kalo ada yg sama mungkin ini bug and hp gw gapapa😭,1,2024-10-18 22:35:53,Video Players & Editors
TikTok,Budisalwa,Vidio di dalam Tiktok sangat lah seru dan di dalam tiktok banyak banget video yang sesuai dengan kita 😊☺☺☺☺😍😍😍😍😍😍😘😘😘😘😘😇,4,2024-10-18 22:35:21,Video Players & Editors
TikTok,Solihin Solikhin,Tik tok kenapa sekarang sering eror apa karna jaringan apa gimana jadi lelet,5,2024-10-18 22:35:05,Video Players & Editors
TikTok,Putu Pandak,"Tiktok saya bermasalah sudah lebih 3 hari pake tetep tidak bisa mengikuti orang,, sudah mengikuti saran yg ada di tiktoks tetep saja tidak mau ,, 👎",1,2024-10-18 22:34:56,Video Players & Editors
TikTok,Nyong Timur,Mantap,5,2024-10-18 22:34:17,Video Players & Editors
TikTok,Dody Setia99,Mantap,5,2024-10-18 22:33:23,Video Players & Editors
TikTok,Dedy Wahyudi,Sangat mmbantu,5,2024-10-18 22:32:54,Video Players & Editors
TikTok,sekobel hambali,Puas,5,2024-10-18 22:32:43,Video Players & Editors
TikTok,Agus Apriansyah,Bagus bg aplikasi nya,5,2024-10-18 22:32:42,Video Players & Editors
TikTok,ARI WIDODO,Siapa yang pernah nonton tiktok kalo ada yang pernah nonton tiktok ayo tonton Tonton tiktok videonya seru2 bagus bagus ayo tonton tiktok dan kasih rating bintang 5 ya,5,2024-10-18 22:31:42,Video Players & Editors
TikTok,Ahmad Iklil official,Mantap,5,2024-10-18 22:30:41,Video Players & Editors
TikTok,Akun Khusus main game,"Terimakasih untuk tiktok karena sudah menghancurkan hidup saya dengan standar-standar kalian yang terlalu tinggi yang membuat pasangan saya menjadi sangat sangat merendahkan saya sebagai laki laki. Sungguh Sangat berdampak besar kepada hidup saya.,yang membuat saya selalu difitnah yang sama sekali saya tidak pernah melakukan ""hal yang dituduhkan,banding-bandingkan,dicaci maki,direndahkan setiap harinya. Saya sangat berterimakasih kepada kalian yang benar-benar menghancurkan hidup saya.",1,2024-10-18 22:30:29,Video Players & Editors
TikTok,Wawi Kasnawi,OK,5,2024-10-18 22:30:23,Video Players & Editors
TikTok,Dodi Irawan,"Apknya bagus tapi ada beberapa fitur-fitur yg harusnya membantu tapi justru malah merugikan, contohnya verifikasi identitas bukannya membatu malah merugikan tolong ya tiktok untuk menghapus fitur ini atau paling tidak berikan penggunaan untuk memverifikasi identitas paling tidak 1-3 kali",1,2024-10-18 22:29:43,Video Players & Editors
TikTok,Daniel Daniel,Susah di instal yaaaaaa,5,2024-10-18 22:29:40,Video Players & Editors
TikTok,Matz Mamat,Bagu sih.tapi ko saya lagi enak enak scrol tiba tiba ngelag padahal Kouta masih banyak banget,2,2024-10-18 22:28:33,Video Players & Editors
TikTok,Subhan Boy,Bagus,5,2024-10-18 22:28:11,Video Players & Editors
TikTok,Wedomu Chenk,Sangat bagus,5,2024-10-18 22:25:58,Video Players & Editors
TikTok,Seri Yanti,sanaga bala kahyda,4,2024-10-18 22:25:47,Video Players & Editors
TikTok,Fardila MZ,Susah di buka,1,2024-10-18 22:23:48,Video Players & Editors
TikTok,Ana Mulyana,Aplikasi aneh tidak bisa reset pasword,1,2024-10-18 22:22:22,Video Players & Editors
TikTok,Praba Agni,Ok,5,2024-10-18 22:21:44,Video Players & Editors
TikTok,Deddy irawan,"Kenap akhir - akhir ini aplikasi tiktok ini di hp saya sering gak bisa di buka, sehingga harus di hapus dulu dan downlod ulang baru bisa lagi di buka",5,2024-10-18 22:19:43,Video Players & Editors
TikTok,Aswita Risa,Asl main titok ya pasti lemot plus perbaikan,4,2024-10-18 22:18:23,Video Players & Editors
TikTok,muhamad Rio,DERIL,5,2024-10-18 22:17:59,Video Players & Editors
TikTok,Astri Hanifa,Tik tok bagus untuk liat fidio terimakasih yang pambuat Tik Tok 🥰❤️,5,2024-10-18 22:17:55,Video Players & Editors
TikTok,hanry paul msen,Sangat cocok untuk Anda,5,2024-10-18 22:17:05,Video Players & Editors
TikTok,Nabutar,Lemot,3,2024-10-18 22:16:51,Video Players & Editors
TikTok,Hasun Abusiri,Terbaik,5,2024-10-18 22:16:37,Video Players & Editors
TikTok,Amat Rahmat (Wa prabu),Tiktok sangat membantu luas dalam ber Solmed menambah teman dan kerabat,5,2024-10-18 22:14:55,Video Players & Editors
TikTok,Lailiyah Ely,B aj,2,2024-10-18 22:14:45,Video Players & Editors
TikTok,Asep Risman,Tiktok memang ok untuk menghasilkan cuan,5,2024-10-18 22:13:23,Video Players & Editors
TikTok,boy irawan,Sangat menghibur,5,2024-10-18 22:11:52,Video Players & Editors
