appName,userName,reviews,rating,at,category
Tokopedia Guncang 11.11,handi triy,ok,5,2024-10-19 01:21:41,Shopping
Tokopedia Guncang 11.11,uz alonercreew,"Toko nya banyak yang tidak amanah? Tidak sesuai pesanan..buang"" duit.",1,2024-10-19 00:48:56,Shopping
Tokopedia Guncang 11.11,andry Cesper,𝒔𝒎𝒐𝒈𝒂 𝒕𝒊𝒅𝒂𝒌 𝒎𝒏𝒈𝒄𝒘𝒆𝒌𝒂𝒏,4,2024-10-19 00:36:07,Shopping
Tokopedia Guncang 11.11,Solihin Jamaludin,😌,5,2024-10-19 00:18:50,Shopping
Tokopedia Guncang 11.11,WINGKY WIKS,"buruk, diskon pengguna baru gajelas, pembayaran langsung di tolak sistem",1,2024-10-18 23:52:02,Shopping
Tokopedia Guncang 11.11,Raffi Abqori,fitur pengguna barunya mantap!!!!,5,2024-10-18 23:49:13,Shopping
Tokopedia Guncang 11.11,darmala wati,Pelayanan cepat,5,2024-10-18 23:47:18,Shopping
Tokopedia Guncang 11.11,memi helmi,mantab 👍,4,2024-10-18 23:46:26,Shopping
Tokopedia Guncang 11.11,Indra Moker,bagus,5,2024-10-18 23:29:05,Shopping
Tokopedia Guncang 11.11,Hermanto Ardiwinata,banyak kupon Free ongkir,5,2024-10-18 23:16:41,Shopping
Tokopedia Guncang 11.11,Syaila Anwary916,Udah gak bisa cod bayar pake ovo gak bisa,1,2024-10-18 22:55:49,Shopping
Tokopedia Guncang 11.11,Evan sur Van,Jelek nggak bisa cod,1,2024-10-18 22:43:35,Shopping
Tokopedia Guncang 11.11,fadhilah setyoarum,"MASIH ADA KUPON TAPI MALAH GA BISA DIPAKAII, SEKALI DIPAKAI MALAH BARANGANYA NGGA DATANG, NYASAR KERUMAH ORG. MAU AJUKAN KOMPLIN TAPI MALAH SURUH BAYARRR. GIMANAAA SIII GA REKOMEN BGT!!!!. MENDING SHOPE AJA LEBIH AMAN DAN TERPECAYA.",1,2024-10-18 22:43:00,Shopping
Tokopedia Guncang 11.11,Maha Ansori,mantap,5,2024-10-18 22:37:03,Shopping
Tokopedia Guncang 11.11,wilsya syabilla,manjut,5,2024-10-18 22:34:42,Shopping
Tokopedia Guncang 11.11,Fatih Nabiel,"Woy, masa gak ada fitur delete pada barang rekomendasi ""buat kamu"" sih, udah nyoba delete rekomendasi barang yang ada unsur 18+ gak bisa bisa, padahal aku gak pernah nyari barang gituan... sumpah ganggu banget",1,2024-10-18 22:32:56,Shopping
Tokopedia Guncang 11.11,Duwi Susilo rhmad,Payah sumpah toko pedia payah..,1,2024-10-18 22:32:02,Shopping
Tokopedia Guncang 11.11,Mustofa Jubaedah,Alhamdulillah byk promo'a,5,2024-10-18 22:30:33,Shopping
Tokopedia Guncang 11.11,Arsenio,sangat menyenangkan,5,2024-10-18 22:29:56,Shopping
Tokopedia Guncang 11.11,Muhammad Karuniamuda,mantapp bangettt apk nyaaa😆😆😆😆😆,5,2024-10-18 22:29:16,Shopping
Tokopedia Guncang 11.11,D 005,Terlalu sering update bikin berat hp,2,2024-10-18 22:29:04,Shopping
Tokopedia Guncang 11.11,Akun coc,Online shop tertolol paket salah antar terus niat jadi online shop ga sih mending hapus aja apk ya gw nyesel beli pake apk ini,1,2024-10-18 22:27:43,Shopping
Tokopedia Guncang 11.11,perawat homecare,"barang berhari hari gak sampai mentok diam di gudang sortir dan gk ada pergerakan,kupon potongan cuma pajangan modus pas beli kena potongan ongkir, pengiriman gak jelas , kupon cuma ngeprank, kapok tobat, mending pake shope lebih ptofesional dan akurat juga nyata",1,2024-10-18 22:27:29,Shopping
Tokopedia Guncang 11.11,Mohamad Sandy Amir,simple top,5,2024-10-18 22:24:23,Shopping
Tokopedia Guncang 11.11,Arif Yudha,sangat bagus,5,2024-10-18 22:23:21,Shopping
