appName,userName,reviews,rating,at,category
WeTV: Asian & Local Drama,Pabuarn Ponsell,bagus,5,2024-10-19 00:31:17,Entertainment
WeTV: Asian & Local Drama,Tri Indah,"Udah langganan sebulan ,pas nonton film yg episode agk panjng malah disuruh bayar lagi tiap episode nya!!APLIKASI NONTON PALING GA RECOMENDDED",1,2024-10-18 23:53:10,Entertainment
WeTV: Asian & Local Drama,Rio Kurniawan,GAK MASUK AKAL!!! UDAH BAYAR VIP TERUS MAU NONTON HARUS BAYAR 6 RIBU HADEHHH NYESAL BAYAR VIP MAHAL MAHAL!!!,1,2024-10-18 22:49:05,Entertainment
WeTV: Asian & Local Drama,Ambassador,Lelet parah,1,2024-10-18 22:43:44,Entertainment
WeTV: Asian & Local Drama,Oyoo ii nanang,WeTV,5,2024-10-18 21:39:51,Entertainment
WeTV: Asian & Local Drama,Dayu Widnyani,"Knp tidak bisa di instal ya pdhl udh ter unduh tapi tdk ter instal"",bolak balik instl tapi ttp aja gitu",5,2024-10-18 21:39:29,Entertainment
WeTV: Asian & Local Drama,Bogatama Tsbt,Mau nonton film malah banyak iklan sama aja nonton iklan konyol,1,2024-10-18 19:56:32,Entertainment
WeTV: Asian & Local Drama,Ali Marcel,Isinya iklan doang aplikasi berak,1,2024-10-18 19:55:53,Entertainment
WeTV: Asian & Local Drama,Mugiwara Denis,Kebanyakan iklan,1,2024-10-18 19:35:40,Entertainment
WeTV: Asian & Local Drama,the last human,Padahal udah beli paket VIP eh pas mau nonton di suruh lagi beli paket VVIP wkwkw..buat bisa nonton dlu wkwkkw,1,2024-10-18 18:49:58,Entertainment
WeTV: Asian & Local Drama,Bunga Indriani,"Jangan mempersulit pelanggan yg ingin menonton, apa"" semua harus berbayar dan iklan dimana"".. Gak lagi""download yg sprti ini, mnding nnton di FB, IG, Tiktok bhkan tlegram jg ada,.",1,2024-10-18 18:23:16,Entertainment
WeTV: Asian & Local Drama,Asmi Adhelina,Sudah diinstal tp tdk bisa dibuka. Kenapa ya?,1,2024-10-18 17:18:10,Entertainment
WeTV: Asian & Local Drama,Huzwatul Ramadhny,"Apk nya bagus dan bagus-bagus juga dramanya, tapi suka keluar dari apk nya, dan saat diberhentikan dan dimundurkan atau diimajukan tidak mau, sudah diulang berkali-kali, tetapi tetap tidak mau.",2,2024-10-18 16:44:24,Entertainment
WeTV: Asian & Local Drama,Rangga Veriawan,Tolong dong saya mau buka member kok mggak bisa,1,2024-10-18 16:32:37,Entertainment
WeTV: Asian & Local Drama,siti marifah p,"Udah langganan,padahal belum tanggal tagihan udah harus bayar lagi",1,2024-10-18 14:01:14,Entertainment
WeTV: Asian & Local Drama,Marenza Zyyan,Ndak bisa di download knapa ya,1,2024-10-18 13:05:45,Entertainment
WeTV: Asian & Local Drama,Ellia Chaniago,"Tolong pihak we tv indo, itu konten variety show love actually season3 subtitle indonya diperbaiki... Masa udah berlangganan vip tapi kualitas konten vipnya ga maksimal? Tolong diperbaiki lagi konten konten yg subtitle indonya berantakan kadang ga ada",3,2024-10-18 11:23:16,Entertainment
WeTV: Asian & Local Drama,Dinie Disca,Cara berlangganan wetv bagaimana,5,2024-10-18 08:12:21,Entertainment
WeTV: Asian & Local Drama,Fatimah ima,Apaan udh berhasil transfer ke play store masih blom bisa nonton uang ke mana masuk nya itu,1,2024-10-18 07:13:54,Entertainment
WeTV: Asian & Local Drama,Nining Winarsih,"Nontonin iklannya dong, iklannya bejibun. Eps jg ga bisa ditonton semua, cuma bbrp aja",1,2024-10-18 00:34:13,Entertainment
WeTV: Asian & Local Drama,Rey_sya,Berlanggannan pertama gak berpungsi harga tetap mahal,1,2024-10-17 23:05:39,Entertainment
WeTV: Asian & Local Drama,Mhmmd juliansya,"Iklannya ga ngotak, bisa sampe 6 video gabisa diskip",1,2024-10-17 23:04:35,Entertainment
WeTV: Asian & Local Drama,Novi Riskyani,"Aku udah bayar 1 bulan via m banking BCA, baru kali ini ga bisa jadi VIP, terus tulisan nya kadaluwarsa, itu gimana maksud nya?",3,2024-10-17 19:53:08,Entertainment
WeTV: Asian & Local Drama,Lisa Yanamo,Koo di app MyTelkomsel sdh berlangganan malah gk bisa jadi VIP di app we TV.. Persaan lalu gk ke gitu,3,2024-10-17 19:46:39,Entertainment
WeTV: Asian & Local Drama,Hery Kavianto,Baguss tapi menurut akuh susah buat daftar,4,2024-10-17 19:06:50,Entertainment
WeTV: Asian & Local Drama,Agus Setiawan,"Mohon Maaf Bintang 1, padahal sudah VIP, tapi suruh bayar 6k untuk menonton lebih awal, sedang kan di TELEGRAM sudah ada episode terbaru tanpa bayar2. Luar biasa",1,2024-10-17 18:21:06,Entertainment
WeTV: Asian & Local Drama,Oppo A12,Muantapppp blokkk,5,2024-10-17 14:08:53,Entertainment
WeTV: Asian & Local Drama,Muhammad Kahfi,bagus saya suka deramanya,5,2024-10-17 13:25:39,Entertainment
WeTV: Asian & Local Drama,Annisa Nawang Arum,Kak mau tanya kalo cara berhentiin langganan vip gimana ya?,4,2024-10-17 13:06:17,Entertainment
WeTV: Asian & Local Drama,zando mpn,Aplikasih taiii saya sdh beli malah mau nonton beli lagi untuk episode ya taii aplikasi ini tidak usah di download,1,2024-10-17 12:42:25,Entertainment
WeTV: Asian & Local Drama,Jason Sebayang,"Sudah di bayar aplikasi we tv nyaa,saat di tonton filmnya gak bisa dibuka dan harus bayar lagi,tolong dibantu dan tanggapan gimana selanjutnya karna smua filmnya jdi terkunci gak bisa ditonton",1,2024-10-17 12:26:58,Entertainment
