appName,userName,reviews,rating,at,category
WhatsApp Messenger,Zomby Hunter,Ok deh,4,2024-10-18 23:22:46,Communication
WhatsApp Messenger,Jaswadi 123,Sangat membantu,5,2024-10-18 23:22:31,Communication
WhatsApp Messenger,FASY FASY TEL,Sangat bagus,5,2024-10-18 23:21:59,Communication
WhatsApp Messenger,August Andry,ok,5,2024-10-18 23:21:35,Communication
WhatsApp Messenger,Hanang Choirul,"Setelah unggah video , jadi blur semua setelah wa fb di kendalikan meta, malah tambah hancur dan rusak (eror)",1,2024-10-18 23:20:18,Communication
WhatsApp Messenger,Nurgin J,"min tolong wa saya ada yang spam virtex, tolong hapuss dari akun saya soalnya saya tidak bisa masukk",3,2024-10-18 23:20:15,Communication
WhatsApp Messenger,Rasya,Mohon ini developer WhatsApp kenapa WhatsApp saya tidak dapat dibuka tolong diperbaiki lagi ini gimana kok gabisa masuk,2,2024-10-18 23:18:01,Communication
WhatsApp Messenger,Kalimjaya Jaya,Tidak bisa daftar wapsap,5,2024-10-18 23:17:33,Communication
WhatsApp Messenger,vitta tumorang,Bagus,5,2024-10-18 23:16:57,Communication
WhatsApp Messenger,Hamdan Dani,Lagi.merana,5,2024-10-18 23:16:17,Communication
WhatsApp Messenger,Ezza Ezza,Sudah cukup asik saya punya aplikasi.Wa low cobain daeh buruin dowload,5,2024-10-18 23:14:37,Communication
WhatsApp Messenger,Zulfa Faiqoh,T. O. P,5,2024-10-18 23:12:45,Communication
WhatsApp Messenger,Hasan Lubis,baik,5,2024-10-18 23:09:19,Communication
WhatsApp Messenger,Mohammad Arif Sidiq,Jgn blokir saya.karna saya kurir shopee,5,2024-10-18 23:09:05,Communication
WhatsApp Messenger,Isom 2332,"Y,bgs,berguna buat semuanya akan dunia",5,2024-10-18 23:08:42,Communication
WhatsApp Messenger,Pak Cik,Mantap dan lugas dalam menbantu,5,2024-10-18 23:06:49,Communication
WhatsApp Messenger,Putra Abangg21,Info dong,5,2024-10-18 23:06:47,Communication
WhatsApp Messenger,Nayla Nur alivia,di hp saya kalo update Telat bgt,4,2024-10-18 23:06:00,Communication
