appName,userName,reviews,rating,at,category
wondr by BNI,HUNTAL HUNTAL,Wondr,1,2024-10-19 01:46:21,Finance
wondr by BNI,Ridwan Perdana,Susah verivikasi wajahnya,1,2024-10-19 00:50:05,Finance
wondr by BNI,Nadratul Maysura,"Aplikasi nya membingungkan, Gak ada notifikasi seperti Brimo, Keterangan uang masuk dan keluar pun gak ada, jadi bingung, kayak misal Ada Tranfseran masuk yaudah cuma sekedar tulisan transfer masuk sama jumlah, gak ada Keterangan dari siapa nya kan aneh, dan pas uang masuk/keluar gak ada notifikasi kayak di BRImo, tolong dong tingkat kan lagi aplikasi nya, uang yg masuk itu padahal di atas 1 jt, tapi hari ini masuk besok nya baru DTG notifikasi nya, Bagusan Brimo 😌",1,2024-10-19 00:22:40,Finance
wondr by BNI,078_ARVEL SAVERO KUSUMA,dana terpendam 50k tidak bisa ditarik,1,2024-10-18 23:40:46,Finance
wondr by BNI,NgowoztR86 BRB,"bagus dan lebih simple, tapi sayang kok kurang lengkap, untuk pembayaran, seperti gas kok malah tidak ada",5,2024-10-18 23:33:41,Finance
wondr by BNI,Yudi Smtimks,"Sejak kemarin gak bisa registrasi verifikasi wajah, minat narik konsumen gak sih bank bni ?",1,2024-10-18 22:58:43,Finance
wondr by BNI,Sri Wati,"Sangat mmbantu,, pokoke ish the best👍👍👍",5,2024-10-18 22:48:21,Finance
wondr by BNI,Ely,"App Hobi Amnesia, terlalu mengganggu sampe borderline unusable. Ketika ganti Pin Wondr, app mendadak lupa Password, begitupun sebaliknya. Gak worth it utk dipasang.",2,2024-10-18 22:03:08,Finance
wondr by BNI,tonny fehr,Bagus,5,2024-10-18 21:42:17,Finance
wondr by BNI,Dennis Tesa,Weeerrrr,5,2024-10-18 21:26:40,Finance
wondr by BNI,Kang Adi Qudroti,"Aplikasi yang sangat membantu bagi pengguna BNI, Semoga kedepannya fitur menu nya segera di kembangkan lebih jauh,",5,2024-10-18 21:26:35,Finance
wondr by BNI,Nur Hidayat,"Kalo ada bintang di bawah 1, aku pilih bintang 0, aplikasi gk guna, sudah lama pakai BNI mobil banking, d sruh instal wondr, malah ndak bisa di pakai, kembali ke BNI mobile aja, hapus aja aplikasi wondr, terima kasih...",3,2024-10-18 21:24:57,Finance
wondr by BNI,Farid H Sholeh,Oke siip,5,2024-10-18 21:23:14,Finance
wondr by BNI,wawan suherman,"Sumpah parah, emang bagus sih buat keamanan tapi kalau kayak gini mah ngeriibetin udah ngikutin verifikasi mukanya masih aja katanya verifikasinya tidak sesuai, suruh nengok baru mau nengok udah berubah lagi perintahnya alhasil suruh dicoba besok lagi males... Mendingan pakai BNI mobile banking langsung kaga ribet-ribet",1,2024-10-18 21:17:09,Finance
wondr by BNI,Fadilah Mesuji,Masih bagusan aplikasi yg lama. Aplikas yg terbaru tidak tampil rincian saldo masuk sisa dan yg di keluarkan. Itu aja sihh.,2,2024-10-18 20:18:12,Finance
wondr by BNI,Agus Stp,Masa tidak ada menu tarik tunai. Terus gimana kalau mau tarik tunai di atm tanpa kartu .. ?? Coba deh study banding dengan b*iMO,1,2024-10-18 19:52:01,Finance
wondr by BNI,Tommy Carlos,Kalian bisa menyelesaikan masalah saldo saya yang tidak kembali apakah kalian bisa menyelesaikan nya atau tidak jangan kayak bocah SD banyak bertele kayak taik.,1,2024-10-18 19:44:49,Finance
wondr by BNI,Toony baretto,Sangat amat baik,4,2024-10-18 19:39:11,Finance
wondr by BNI,adiman Simanjuntak,Aplikasi ini mantap betul,5,2024-10-18 19:16:35,Finance
wondr by BNI,Haris Hidayat,"Wondr by bni di versi 1.0.3 Sudah tambah pembayaran zakat Yg perlu di perbaiki pada saat aplikasi wondr di hapus dari hp, lantas kita instal lagi wondrnya, kekurangannya kita harus daftar lagi dari awal, padahal di aplikasi wondr sudah punya akun, mohon di perbaiki.",4,2024-10-18 19:11:53,Finance
wondr by BNI,Gugun Sulaeman,Min kok di wondr gak bisa bayar kuliah sih min,4,2024-10-18 18:19:41,Finance
wondr by BNI,acaswari jalu,Cukup mantap,4,2024-10-18 18:07:37,Finance
wondr by BNI,Romli Romadhon,Menurut gue bagus lancar2 aj trim kasih,5,2024-10-18 17:22:51,Finance
wondr by BNI,uwon marwah,Wondr by bni tolong dong rincian pembukuannya disamakan sama aplikasi bni yg lama seperti kalau ada uang masuk total saldonya kalau ada uang keluar total saldonya langsung kelihatan seperti rincian dibuku manual,5,2024-10-18 16:51:05,Finance
wondr by BNI,Was Toro,Ok,5,2024-10-18 15:57:19,Finance
wondr by BNI,lintang nuridina,"Buka aplikasi aja loadingnya lama banget. Masih bagusan BNI Mobile Banking, aplikasi baru bukannya lebih bagus malah nambah ribet. Mau bayar pake QRIS dikasir sampe malu karena kelamaan nunggu loading buka aplikasi, mana yg antri dibelakangku banyak orang",1,2024-10-18 15:51:24,Finance
wondr by BNI,Pablo,Di cs bilangnya tanpa verifikasi pin atm,1,2024-10-18 15:18:19,Finance
wondr by BNI,Kaka Cil,"Berulang ulang input otp untuk konfirmasi gagal terus,,,,,why",1,2024-10-18 14:55:53,Finance
wondr by BNI,Delva Fajar,❤️🎃🎃🎃💯💯wonder by BNI ttp tangguh selalu handal semakin terpercaya 🇮🇩🇮🇩🇮🇩🤲,5,2024-10-18 14:27:47,Finance
